Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Brandon Clarke,Shared Games with Danny Green,Shared Games with David Roddy,Shared Games with Desmond Bane,Shared Games with Dillon Brooks,Shared Games with Ja Morant,Shared Games with Jacob Gilyard,Shared Games with Jake LaRavia,Shared Games with Jaren Jackson Jr.,Shared Games with John Konchar,Shared Games with Kennedy Chandler,Shared Games with Kenneth Lofton Jr.,Shared Games with Santi Aldama,Shared Games with Steven Adams,Shared Games with Tyus Jones,Shared Games with Vince Williams Jr.,Shared Games with Ziaire Williams,Brandon Clarke,Danny Green,David Roddy,Desmond Bane,Dillon Brooks,Ja Morant,Jacob Gilyard,Jake LaRavia,Jaren Jackson Jr.,John Konchar,Kennedy Chandler,Kenneth Lofton Jr.,Santi Aldama,Steven Adams,Tyus Jones,Vince Williams Jr.,Ziaire Williams,co_inf with Brandon Clarke,co_inf with Danny Green,co_inf with David Roddy,co_inf with Desmond Bane,co_inf with Dillon Brooks,co_inf with Ja Morant,co_inf with Jacob Gilyard,co_inf with Jake LaRavia,co_inf with Jaren Jackson Jr.,co_inf with John Konchar,co_inf with Kennedy Chandler,co_inf with Kenneth Lofton Jr.,co_inf with Santi Aldama,co_inf with Steven Adams,co_inf with Tyus Jones,co_inf with Vince Williams Jr.,co_inf with Ziaire Williams,Shared Games with Luke Kennard,Luke Kennard,Trae Young,co_inf with Luke Kennard,co_inf with Trae Young,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
11.0,8.0,2022-11-07,23-299,MEM,BOS,0,17.316666666666666,1.0,2.0,.500,0.0,1.0,.000,0,0.0,,1.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0,2.0,2.9,+3,1.0,1.0,1.0,37,3,54,47,53,43,1,26,49,52,31,20,58,23,60,12,30,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,37.0,0.6607142857142857,0.2727272727272727,0.7714285714285715,0.8103448275862069,0.726027397260274,0.7049180327868853,1.0,0.7428571428571429,0.7777777777777778,0.7222222222222222,0.8611111111111112,0.8333333333333334,0.7532467532467533,0.5476190476190477,0.75,0.8,0.8108108108108109,20,59.0,73.0,0.3389830508474576,0.0,18,5.0,76.0,4.222222222222222,2.8999999999999995,77.99999999999999,4.333333333333332,0.0447480963805152,L (-3),L (-3)
12.0,,2022-11-09,23-301,MEM,SAS,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,37,3,54,47,53,43,1,26,49,52,31,20,58,23,60,12,30,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,37.0,0.6607142857142857,0.2727272727272727,0.7714285714285715,0.8103448275862069,0.726027397260274,0.7049180327868853,1.0,0.7428571428571429,0.7777777777777778,0.7222222222222222,0.8611111111111112,0.8333333333333334,0.7532467532467533,0.5476190476190477,0.75,0.8,0.8108108108108109,20,59.0,73.0,0.3389830508474576,0.0,18,,87.0,4.833333333333333,0.0,99.3,5.516666666666667,0.0447480963805152,W (+2),W (+2)
13.0,,2022-11-11,23-303,MEM,MIN,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,37,3,54,47,53,43,1,26,49,52,31,20,58,23,60,12,30,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,37.0,0.6607142857142857,0.2727272727272727,0.7714285714285715,0.8103448275862069,0.726027397260274,0.7049180327868853,1.0,0.7428571428571429,0.7777777777777778,0.7222222222222222,0.8611111111111112,0.8333333333333334,0.7532467532467533,0.5476190476190477,0.75,0.8,0.8108108108108109,20,59.0,73.0,0.3389830508474576,0.0,18,,75.0,4.166666666666667,0.0,90.39999999999998,5.022222222222221,0.0447480963805152,W (+11),W (+11)
14.0,,2022-11-13,23-305,MEM,WAS,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,37,3,54,47,53,43,1,26,49,52,31,20,58,23,60,12,30,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,37.0,0.6607142857142857,0.2727272727272727,0.7714285714285715,0.8103448275862069,0.726027397260274,0.7049180327868853,1.0,0.7428571428571429,0.7777777777777778,0.7222222222222222,0.8611111111111112,0.8333333333333334,0.7532467532467533,0.5476190476190477,0.75,0.8,0.8108108108108109,20,59.0,73.0,0.3389830508474576,0.0,18,,66.0,3.6666666666666665,0.0,61.79999999999999,3.4333333333333327,0.0447480963805152,L (-10),L (-10)
15.0,,2022-11-15,23-307,MEM,NOP,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,37,3,54,47,53,43,1,26,49,52,31,20,58,23,60,12,30,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,37.0,0.6607142857142857,0.2727272727272727,0.7714285714285715,0.8103448275862069,0.726027397260274,0.7049180327868853,1.0,0.7428571428571429,0.7777777777777778,0.7222222222222222,0.8611111111111112,0.8333333333333334,0.7532467532467533,0.5476190476190477,0.75,0.8,0.8108108108108109,20,59.0,73.0,0.3389830508474576,0.0,18,,69.0,3.8333333333333335,0.0,69.60000000000001,3.866666666666667,0.0447480963805152,L (-11),L (-11)
16.0,,2022-11-18,23-310,MEM,OKC,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,37,3,54,47,53,43,1,26,49,52,31,20,58,23,60,12,30,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,37.0,0.6607142857142857,0.2727272727272727,0.7714285714285715,0.8103448275862069,0.726027397260274,0.7049180327868853,1.0,0.7428571428571429,0.7777777777777778,0.7222222222222222,0.8611111111111112,0.8333333333333334,0.7532467532467533,0.5476190476190477,0.75,0.8,0.8108108108108109,20,59.0,73.0,0.3389830508474576,0.0,18,,89.0,4.944444444444445,0.0,90.3,5.016666666666667,0.0447480963805152,W (+11),W (+11)
17.0,9.0,2022-11-20,23-312,MEM,BRK,0,2.65,1.0,1.0,1.000,0.0,0.0,,0,1.0,.000,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.3,+5,1.0,1.0,1.0,37,3,54,47,53,43,1,26,49,52,31,20,58,23,60,12,30,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,37.0,0.6607142857142857,0.2727272727272727,0.7714285714285715,0.8103448275862069,0.726027397260274,0.7049180327868853,1.0,0.7428571428571429,0.7777777777777778,0.7222222222222222,0.8611111111111112,0.8333333333333334,0.7532467532467533,0.5476190476190477,0.75,0.8,0.8108108108108109,20,59.0,73.0,0.3389830508474576,0.0,18,1.0,63.0,3.5,2.3000000000000003,84.4,4.688888888888889,0.0447480963805152,L (-12),L (-12)
18.0,,2022-11-22,23-314,MEM,SAC,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,37,3,54,47,53,43,1,26,49,52,31,20,58,23,60,12,30,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,37.0,0.6607142857142857,0.2727272727272727,0.7714285714285715,0.8103448275862069,0.726027397260274,0.7049180327868853,1.0,0.7428571428571429,0.7777777777777778,0.7222222222222222,0.8611111111111112,0.8333333333333334,0.7532467532467533,0.5476190476190477,0.75,0.8,0.8108108108108109,20,59.0,73.0,0.3389830508474576,0.0,18,,78.0,4.333333333333333,0.0,79.6,4.422222222222222,0.0447480963805152,L (-4),L (-4)
19.0,,2022-11-25,23-317,MEM,NOP,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,37,3,54,47,53,43,1,26,49,52,31,20,58,23,60,12,30,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,37.0,0.6607142857142857,0.2727272727272727,0.7714285714285715,0.8103448275862069,0.726027397260274,0.7049180327868853,1.0,0.7428571428571429,0.7777777777777778,0.7222222222222222,0.8611111111111112,0.8333333333333334,0.7532467532467533,0.5476190476190477,0.75,0.8,0.8108108108108109,20,59.0,73.0,0.3389830508474576,0.0,18,,82.0,4.555555555555555,0.0,98.3,5.461111111111111,0.0447480963805152,W (+21),W (+21)
20.0,,2022-11-27,23-319,MEM,NYK,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,37,3,54,47,53,43,1,26,49,52,31,20,58,23,60,12,30,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,37.0,0.6607142857142857,0.2727272727272727,0.7714285714285715,0.8103448275862069,0.726027397260274,0.7049180327868853,1.0,0.7428571428571429,0.7777777777777778,0.7222222222222222,0.8611111111111112,0.8333333333333334,0.7532467532467533,0.5476190476190477,0.75,0.8,0.8108108108108109,20,59.0,73.0,0.3389830508474576,0.0,18,,89.0,4.944444444444445,0.0,96.5,5.361111111111111,0.0447480963805152,W (+4),W (+4)
21.0,,2022-11-30,23-322,MEM,MIN,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,37,3,54,47,53,43,1,26,49,52,31,20,58,23,60,12,30,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,37.0,0.6607142857142857,0.2727272727272727,0.7714285714285715,0.8103448275862069,0.726027397260274,0.7049180327868853,1.0,0.7428571428571429,0.7777777777777778,0.7222222222222222,0.8611111111111112,0.8333333333333334,0.7532467532467533,0.5476190476190477,0.75,0.8,0.8108108108108109,20,59.0,73.0,0.3389830508474576,0.0,18,,55.0,3.055555555555556,0.0,58.29999999999998,3.238888888888888,0.0447480963805152,,
22.0,,2022-12-02,23-324,MEM,PHI,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,37,3,54,47,53,43,1,26,49,52,31,20,58,23,60,12,30,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,37.0,0.6607142857142857,0.2727272727272727,0.7714285714285715,0.8103448275862069,0.726027397260274,0.7049180327868853,1.0,0.7428571428571429,0.7777777777777778,0.7222222222222222,0.8611111111111112,0.8333333333333334,0.7532467532467533,0.5476190476190477,0.75,0.8,0.8108108108108109,20,59.0,73.0,0.3389830508474576,0.0,18,,94.0,5.222222222222222,0.0,91.3,5.072222222222222,0.0447480963805152,L (-8),L (-8)
23.0,10.0,2022-12-04,23-326,MEM,DET,0,18.183333333333334,2.0,4.0,.500,1.0,1.0,1.000,1,2.0,.500,2.0,2.0,4.0,1.0,2.0,2.0,0.0,4.0,6.0,8.1,+5,3.0,1.0,0.3333333333333333,37,3,54,47,53,43,1,26,49,52,31,20,58,23,60,12,30,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,37.0,0.6607142857142857,0.2727272727272727,0.7714285714285715,0.8103448275862069,0.726027397260274,0.7049180327868853,1.0,0.7428571428571429,0.7777777777777778,0.7222222222222222,0.8611111111111112,0.8333333333333334,0.7532467532467533,0.5476190476190477,0.75,0.8,0.8108108108108109,20,59.0,73.0,0.3389830508474576,0.0,18,9.0,67.0,3.7222222222222223,7.699999999999997,84.80000000000001,4.711111111111112,0.0447480963805152,W (+8),W (+8)
24.0,11.0,2022-12-05,23-327,MEM,MIA,0,14.383333333333333,2.0,5.0,.400,0.0,1.0,.000,0,0.0,,2.0,2.0,4.0,1.0,1.0,1.0,0.0,1.0,4.0,5.3,+2,4.0,2.0,0.5,37,3,54,47,53,43,1,26,49,52,31,20,58,23,60,12,30,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,37.0,0.6607142857142857,0.2727272727272727,0.7714285714285715,0.8103448275862069,0.726027397260274,0.7049180327868853,1.0,0.7428571428571429,0.7777777777777778,0.7222222222222222,0.8611111111111112,0.8333333333333334,0.7532467532467533,0.5476190476190477,0.75,0.8,0.8108108108108109,20,59.0,73.0,0.3389830508474576,0.0,18,6.0,66.0,3.6666666666666665,5.299999999999997,72.8,4.044444444444444,0.0447480963805152,W (+10),W (+10)
25.0,12.0,2022-12-07,23-329,MEM,OKC,0,2.333333333333333,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,,37,3,54,47,53,43,1,26,49,52,31,20,58,23,60,12,30,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,37.0,0.6607142857142857,0.2727272727272727,0.7714285714285715,0.8103448275862069,0.726027397260274,0.7049180327868853,1.0,0.7428571428571429,0.7777777777777778,0.7222222222222222,0.8611111111111112,0.8333333333333334,0.7532467532467533,0.5476190476190477,0.75,0.8,0.8108108108108109,20,59.0,73.0,0.3389830508474576,0.0,18,1.0,112.0,6.222222222222222,1.0,116.4,6.466666666666667,0.0447480963805152,W (+8),W (+8)
26.0,13.0,2022-12-09,23-331,MEM,DET,0,1.05,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,0.0,0.0,,37,3,54,47,53,43,1,26,49,52,31,20,58,23,60,12,30,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,37.0,0.6607142857142857,0.2727272727272727,0.7714285714285715,0.8103448275862069,0.726027397260274,0.7049180327868853,1.0,0.7428571428571429,0.7777777777777778,0.7222222222222222,0.8611111111111112,0.8333333333333334,0.7532467532467533,0.5476190476190477,0.75,0.8,0.8108108108108109,20,59.0,73.0,0.3389830508474576,0.0,18,0.0,80.0,4.444444444444445,0.0,90.3,5.016666666666667,0.0447480963805152,W (+21),W (+21)
27.0,14.0,2022-12-12,23-334,MEM,ATL,0,20.28333333333333,5.0,6.0,.833,0.0,0.0,,0,0.0,,2.0,2.0,4.0,0.0,1.0,1.0,0.0,2.0,10.0,10.7,+5,6.0,5.0,0.8333333333333334,37,3,54,47,53,43,1,26,49,52,31,20,58,23,60,12,30,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,37.0,0.6607142857142857,0.2727272727272727,0.7714285714285715,0.8103448275862069,0.726027397260274,0.7049180327868853,1.0,0.7428571428571429,0.7777777777777778,0.7222222222222222,0.8611111111111112,0.8333333333333334,0.7532467532467533,0.5476190476190477,0.75,0.8,0.8108108108108109,20,59.0,73.0,0.3389830508474576,0.0,18,10.0,106.0,5.888888888888889,10.7,106.1,5.894444444444444,0.0447480963805152,W (+11),W (+11)
28.0,15.0,2022-12-15,23-337,MEM,MIL,0,12.0,3.0,3.0,1.000,0.0,0.0,,2,2.0,1.000,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,8.0,7.7,-5,3.0,3.0,1.0,37,3,54,47,53,43,1,26,49,52,31,20,58,23,60,12,30,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,37.0,0.6607142857142857,0.2727272727272727,0.7714285714285715,0.8103448275862069,0.726027397260274,0.7049180327868853,1.0,0.7428571428571429,0.7777777777777778,0.7222222222222222,0.8611111111111112,0.8333333333333334,0.7532467532467533,0.5476190476190477,0.75,0.8,0.8108108108108109,20,59.0,73.0,0.3389830508474576,0.0,18,5.0,113.0,6.277777777777778,6.9,125.2,6.955555555555556,0.0447480963805152,W (+25),W (+25)
