Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anthony Gill,Shared Games with Bradley Beal,Shared Games with Corey Kispert,Shared Games with Daniel Gafford,Shared Games with Deni Avdija,Shared Games with Devon Dotson,Shared Games with Isaiah Todd,Shared Games with Johnny Davis,Shared Games with Jordan Goodwin,Shared Games with Kristaps Porziņģis,Shared Games with Kyle Kuzma,Shared Games with Monte Morris,Shared Games with Quenton Jackson,Shared Games with Rui Hachimura,Shared Games with Taj Gibson,Shared Games with Vernon Carey Jr.,Shared Games with Will Barton,Anthony Gill,Bradley Beal,Corey Kispert,Daniel Gafford,Deni Avdija,Devon Dotson,Isaiah Todd,Jay Huff,Johnny Davis,Jordan Goodwin,Jordan Schakel,Kristaps Porziņģis,Kyle Kuzma,Monte Morris,Quenton Jackson,Rui Hachimura,Taj Gibson,Vernon Carey Jr.,Will Barton,Xavier Cooks,co_inf with Anthony Gill,co_inf with Bradley Beal,co_inf with Corey Kispert,co_inf with Daniel Gafford,co_inf with Deni Avdija,co_inf with Devon Dotson,co_inf with Isaiah Todd,co_inf with Jay Huff,co_inf with Johnny Davis,co_inf with Jordan Goodwin,co_inf with Jordan Schakel,co_inf with Kristaps Porziņģis,co_inf with Kyle Kuzma,co_inf with Monte Morris,co_inf with Quenton Jackson,co_inf with Rui Hachimura,co_inf with Taj Gibson,co_inf with Vernon Carey Jr.,co_inf with Will Barton,co_inf with Xavier Cooks,A.J. Green,A.J. Lawson,Aaron Gordon,Aaron Holiday,Aaron Nesmith,Aaron Wiggins,Admiral Schofield,AJ Griffin,Al Horford,Alec Burks,Aleksej Pokusevski,Alex Caruso,Alex Len,Alize Johnson,Alondes Williams,Alperen Şengün,Amir Coffey,Andre Drummond,Andre Iguodala,Andrew Nembhard,Andrew Wiggins,Anfernee Simons,Marcus Smart,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,,2022-11-07,30-195,WAS,@,CHO,W (+8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,33,33,46,47,48,1,1,17,34,40,36,38,3,17,30,8,13,59.0,50.0,74.0,78.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.559322033898305,0.66,0.6216216216216216,0.6025641025641025,0.631578947368421,0.1666666666666666,0.1666666666666666,0.0,0.6071428571428571,0.5483870967741935,0.0,0.6153846153846154,0.5625,0.6129032258064516,0.3333333333333333,0.2698412698412698,0.6122448979591837,0.7272727272727273,0.2321428571428571,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,17,,76.0,4.470588235294118,0.0,77.39999999999999,4.552941176470588
11,12,,2022-11-10,30-198,WAS,,DAL,W (+8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,33,33,46,47,48,1,1,17,34,40,36,38,3,17,30,8,13,59.0,50.0,74.0,78.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.559322033898305,0.66,0.6216216216216216,0.6025641025641025,0.631578947368421,0.1666666666666666,0.1666666666666666,0.0,0.6071428571428571,0.5483870967741935,0.0,0.6153846153846154,0.5625,0.6129032258064516,0.3333333333333333,0.2698412698412698,0.6122448979591837,0.7272727272727273,0.2321428571428571,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,17,,94.0,5.529411764705882,0.0,80.80000000000001,4.752941176470589
12,13,,2022-11-12,30-200,WAS,,UTA,W (+9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,33,33,46,47,48,1,1,17,34,40,36,38,3,17,30,8,13,59.0,50.0,74.0,78.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.559322033898305,0.66,0.6216216216216216,0.6025641025641025,0.631578947368421,0.1666666666666666,0.1666666666666666,0.0,0.6071428571428571,0.5483870967741935,0.0,0.6153846153846154,0.5625,0.6129032258064516,0.3333333333333333,0.2698412698412698,0.6122448979591837,0.7272727272727273,0.2321428571428571,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,17,,92.0,5.411764705882353,0.0,102.09999999999998,6.005882352941176
13,14,,2022-11-13,30-201,WAS,,MEM,W (+10),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,33,33,46,47,48,1,1,17,34,40,36,38,3,17,30,8,13,59.0,50.0,74.0,78.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.559322033898305,0.66,0.6216216216216216,0.6025641025641025,0.631578947368421,0.1666666666666666,0.1666666666666666,0.0,0.6071428571428571,0.5483870967741935,0.0,0.6153846153846154,0.5625,0.6129032258064516,0.3333333333333333,0.2698412698412698,0.6122448979591837,0.7272727272727273,0.2321428571428571,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,17,,68.0,4.0,0.0,75.89999999999999,4.46470588235294
14,15,,2022-11-16,30-204,WAS,,OKC,L (-1),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,33,33,46,47,48,1,1,17,34,40,36,38,3,17,30,8,13,59.0,50.0,74.0,78.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.559322033898305,0.66,0.6216216216216216,0.6025641025641025,0.631578947368421,0.1666666666666666,0.1666666666666666,0.0,0.6071428571428571,0.5483870967741935,0.0,0.6153846153846154,0.5625,0.6129032258064516,0.3333333333333333,0.2698412698412698,0.6122448979591837,0.7272727272727273,0.2321428571428571,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,17,,84.0,4.941176470588236,0.0,94.20000000000002,5.541176470588236
15,16,,2022-11-18,30-206,WAS,,MIA,W (+1),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,33,33,46,47,48,1,1,17,34,40,36,38,3,17,30,8,13,59.0,50.0,74.0,78.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.559322033898305,0.66,0.6216216216216216,0.6025641025641025,0.631578947368421,0.1666666666666666,0.1666666666666666,0.0,0.6071428571428571,0.5483870967741935,0.0,0.6153846153846154,0.5625,0.6129032258064516,0.3333333333333333,0.2698412698412698,0.6122448979591837,0.7272727272727273,0.2321428571428571,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,17,,79.0,4.647058823529412,0.0,76.90000000000002,4.523529411764707
16,17,,2022-11-20,30-208,WAS,,CHO,W (+4),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,33,33,46,47,48,1,1,17,34,40,36,38,3,17,30,8,13,59.0,50.0,74.0,78.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.559322033898305,0.66,0.6216216216216216,0.6025641025641025,0.631578947368421,0.1666666666666666,0.1666666666666666,0.0,0.6071428571428571,0.5483870967741935,0.0,0.6153846153846154,0.5625,0.6129032258064516,0.3333333333333333,0.2698412698412698,0.6122448979591837,0.7272727272727273,0.2321428571428571,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,17,,69.0,4.0588235294117645,0.0,75.5,4.4411764705882355
17,18,,2022-11-23,30-211,WAS,@,MIA,L (-8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,33,33,46,47,48,1,1,17,34,40,36,38,3,17,30,8,13,59.0,50.0,74.0,78.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.559322033898305,0.66,0.6216216216216216,0.6025641025641025,0.631578947368421,0.1666666666666666,0.1666666666666666,0.0,0.6071428571428571,0.5483870967741935,0.0,0.6153846153846154,0.5625,0.6129032258064516,0.3333333333333333,0.2698412698412698,0.6122448979591837,0.7272727272727273,0.2321428571428571,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,17,,80.0,4.705882352941177,0.0,75.00000000000001,4.411764705882354
18,19,,2022-11-25,30-213,WAS,@,MIA,L (-3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,33,33,46,47,48,1,1,17,34,40,36,38,3,17,30,8,13,59.0,50.0,74.0,78.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.559322033898305,0.66,0.6216216216216216,0.6025641025641025,0.631578947368421,0.1666666666666666,0.1666666666666666,0.0,0.6071428571428571,0.5483870967741935,0.0,0.6153846153846154,0.5625,0.6129032258064516,0.3333333333333333,0.2698412698412698,0.6122448979591837,0.7272727272727273,0.2321428571428571,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,17,,86.0,5.0588235294117645,0.0,82.89999999999999,4.876470588235294
19,20,,2022-11-27,30-215,WAS,@,BOS,L (-9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,33,33,46,47,48,1,1,17,34,40,36,38,3,17,30,8,13,59.0,50.0,74.0,78.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.559322033898305,0.66,0.6216216216216216,0.6025641025641025,0.631578947368421,0.1666666666666666,0.1666666666666666,0.0,0.6071428571428571,0.5483870967741935,0.0,0.6153846153846154,0.5625,0.6129032258064516,0.3333333333333333,0.2698412698412698,0.6122448979591837,0.7272727272727273,0.2321428571428571,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,17,,65.0,3.823529411764706,0.0,89.3,5.252941176470588
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,33,33,46,47,48,1,1,17,34,40,36,38,3,17,30,8,13,59.0,50.0,74.0,78.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.559322033898305,0.66,0.6216216216216216,0.6025641025641025,0.631578947368421,0.1666666666666666,0.1666666666666666,0.0,0.6071428571428571,0.5483870967741935,0.0,0.6153846153846154,0.5625,0.6129032258064516,0.3333333333333333,0.2698412698412698,0.6122448979591837,0.7272727272727273,0.2321428571428571,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,17,,0.0,0.0,0.0,0.0,0.0
21,21,,2022-11-28,30-216,WAS,,MIN,W (+15),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,33,33,46,47,48,1,1,17,34,40,36,38,3,17,30,8,13,59.0,50.0,74.0,78.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.559322033898305,0.66,0.6216216216216216,0.6025641025641025,0.631578947368421,0.1666666666666666,0.1666666666666666,0.0,0.6071428571428571,0.5483870967741935,0.0,0.6153846153846154,0.5625,0.6129032258064516,0.3333333333333333,0.2698412698412698,0.6122448979591837,0.7272727272727273,0.2321428571428571,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,17,,100.0,5.882352941176471,0.0,122.2,7.188235294117647
22,22,,2022-11-30,30-218,WAS,@,BRK,L (-6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,33,33,46,47,48,1,1,17,34,40,36,38,3,17,30,8,13,59.0,50.0,74.0,78.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.559322033898305,0.66,0.6216216216216216,0.6025641025641025,0.631578947368421,0.1666666666666666,0.1666666666666666,0.0,0.6071428571428571,0.5483870967741935,0.0,0.6153846153846154,0.5625,0.6129032258064516,0.3333333333333333,0.2698412698412698,0.6122448979591837,0.7272727272727273,0.2321428571428571,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,17,,51.0,3.0,0.0,68.0,4.0
