Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anthony Gill,Shared Games with Bradley Beal,Shared Games with Corey Kispert,Shared Games with Daniel Gafford,Shared Games with Delon Wright,Shared Games with Deni Avdija,Shared Games with Jay Huff,Shared Games with Jordan Goodwin,Shared Games with Kristaps Porziņģis,Shared Games with Kyle Kuzma,Shared Games with Monte Morris,Shared Games with Rui Hachimura,Shared Games with Taj Gibson,Shared Games with Will Barton,Anthony Gill,Bradley Beal,Corey Kispert,Daniel Gafford,Delon Wright,Deni Avdija,Devon Dotson,Isaiah Todd,Jay Huff,Johnny Davis,Jordan Goodwin,Jordan Schakel,Kristaps Porziņģis,Kyle Kuzma,Monte Morris,Rui Hachimura,Taj Gibson,Vernon Carey Jr.,Will Barton,Xavier Cooks,co_inf with Anthony Gill,co_inf with Bradley Beal,co_inf with Corey Kispert,co_inf with Daniel Gafford,co_inf with Delon Wright,co_inf with Deni Avdija,co_inf with Devon Dotson,co_inf with Isaiah Todd,co_inf with Jay Huff,co_inf with Johnny Davis,co_inf with Jordan Goodwin,co_inf with Jordan Schakel,co_inf with Kristaps Porziņģis,co_inf with Kyle Kuzma,co_inf with Monte Morris,co_inf with Rui Hachimura,co_inf with Taj Gibson,co_inf with Vernon Carey Jr.,co_inf with Will Barton,co_inf with Xavier Cooks,A.J. Green,A.J. Lawson,Aaron Gordon,Aaron Holiday,Aaron Nesmith,Aaron Wiggins,Admiral Schofield,AJ Griffin,Al Horford,Alec Burks,Aleksej Pokusevski,Alex Caruso,Alex Len,Alize Johnson,Alondes Williams,Alperen Şengün,Amir Coffey,Andre Drummond,Andre Iguodala,Andrew Nembhard,Andrew Wiggins,Anfernee Simons,Marcus Smart,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11,,2023-03-07,24-173,WAS,DET,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,9,5,6,9,3,9,1,6,9,9,6,3,5,7,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,63.0,49.0,11.0,56.0,10.0,0.1525423728813559,0.1,0.081081081081081,0.1153846153846153,0.06,0.1184210526315789,0.0,0.0,0.1428571428571428,0.0,0.0967741935483871,0.0,0.1384615384615384,0.140625,0.0967741935483871,0.0476190476190476,0.1020408163265306,0.0,0.125,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,14,,76.0,5.428571428571429,0.0,74.59999999999998,5.328571428571427,12.2,0.2,-5.1,-3.7,-1.5,0.0060351330962388,0.542,0.286,0.524,-0.1,0.1,W (+2),W (+2)
12,,2023-03-08,24-174,WAS,ATL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,9,5,6,9,3,9,1,6,9,9,6,3,5,7,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,63.0,49.0,11.0,56.0,10.0,0.1525423728813559,0.1,0.081081081081081,0.1153846153846153,0.06,0.1184210526315789,0.0,0.0,0.1428571428571428,0.0,0.0967741935483871,0.0,0.1384615384615384,0.140625,0.0967741935483871,0.0476190476190476,0.1020408163265306,0.0,0.125,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,14,,94.0,6.714285714285714,0.0,83.50000000000001,5.964285714285715,12.2,0.2,-5.1,-3.7,-1.5,0.0060351330962388,0.542,0.286,0.524,-0.1,0.1,L (-2),L (-2)
13,,2023-03-10,24-176,WAS,ATL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,9,5,6,9,3,9,1,6,9,9,6,3,5,7,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,63.0,49.0,11.0,56.0,10.0,0.1525423728813559,0.1,0.081081081081081,0.1153846153846153,0.06,0.1184210526315789,0.0,0.0,0.1428571428571428,0.0,0.0967741935483871,0.0,0.1384615384615384,0.140625,0.0967741935483871,0.0476190476190476,0.1020408163265306,0.0,0.125,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,14,,92.0,6.571428571428571,0.0,101.5,7.25,12.2,0.2,-5.1,-3.7,-1.5,0.0060351330962388,0.542,0.286,0.524,-0.1,0.1,L (-7),L (-7)
14,,2023-03-12,24-178,WAS,PHI,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,9,5,6,9,3,9,1,6,9,9,6,3,5,7,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,63.0,49.0,11.0,56.0,10.0,0.1525423728813559,0.1,0.081081081081081,0.1153846153846153,0.06,0.1184210526315789,0.0,0.0,0.1428571428571428,0.0,0.0967741935483871,0.0,0.1384615384615384,0.140625,0.0967741935483871,0.0476190476190476,0.1020408163265306,0.0,0.125,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,14,,68.0,4.857142857142857,0.0,75.89999999999999,5.421428571428571,12.2,0.2,-5.1,-3.7,-1.5,0.0060351330962388,0.542,0.286,0.524,-0.1,0.1,L (-19),L (-19)
15,,2023-03-14,24-180,WAS,DET,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,9,5,6,9,3,9,1,6,9,9,6,3,5,7,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,63.0,49.0,11.0,56.0,10.0,0.1525423728813559,0.1,0.081081081081081,0.1153846153846153,0.06,0.1184210526315789,0.0,0.0,0.1428571428571428,0.0,0.0967741935483871,0.0,0.1384615384615384,0.140625,0.0967741935483871,0.0476190476190476,0.1020408163265306,0.0,0.125,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,14,,84.0,6.0,0.0,94.20000000000002,6.7285714285714295,12.2,0.2,-5.1,-3.7,-1.5,0.0060351330962388,0.542,0.286,0.524,-0.1,0.1,W (+20),W (+20)
16,,2023-03-17,24-183,WAS,CLE,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,9,5,6,9,3,9,1,6,9,9,6,3,5,7,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,63.0,49.0,11.0,56.0,10.0,0.1525423728813559,0.1,0.081081081081081,0.1153846153846153,0.06,0.1184210526315789,0.0,0.0,0.1428571428571428,0.0,0.0967741935483871,0.0,0.1384615384615384,0.140625,0.0967741935483871,0.0476190476190476,0.1020408163265306,0.0,0.125,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,14,,79.0,5.642857142857143,0.0,76.90000000000002,5.492857142857145,12.2,0.2,-5.1,-3.7,-1.5,0.0060351330962388,0.542,0.286,0.524,-0.1,0.1,L (-23),L (-23)
17,,2023-03-18,24-184,WAS,SAC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,9,5,6,9,3,9,1,6,9,9,6,3,5,7,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,63.0,49.0,11.0,56.0,10.0,0.1525423728813559,0.1,0.081081081081081,0.1153846153846153,0.06,0.1184210526315789,0.0,0.0,0.1428571428571428,0.0,0.0967741935483871,0.0,0.1384615384615384,0.140625,0.0967741935483871,0.0476190476190476,0.1020408163265306,0.0,0.125,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,14,,69.0,4.928571428571429,0.0,76.3,5.45,12.2,0.2,-5.1,-3.7,-1.5,0.0060351330962388,0.542,0.286,0.524,-0.1,0.1,L (-14),L (-14)
18,,2023-03-21,24-187,WAS,ORL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,9,5,6,9,3,9,1,6,9,9,6,3,5,7,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,63.0,49.0,11.0,56.0,10.0,0.1525423728813559,0.1,0.081081081081081,0.1153846153846153,0.06,0.1184210526315789,0.0,0.0,0.1428571428571428,0.0,0.0967741935483871,0.0,0.1384615384615384,0.140625,0.0967741935483871,0.0476190476190476,0.1020408163265306,0.0,0.125,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,14,,80.0,5.714285714285714,0.0,88.90000000000002,6.350000000000001,12.2,0.2,-5.1,-3.7,-1.5,0.0060351330962388,0.542,0.286,0.524,-0.1,0.1,L (-10),L (-10)
19,4,2023-03-22,24-188,WAS,DEN,0,3.65,1.0,3.0,.333,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.3,+6,2.0,1.0,0.5,9,5,6,9,3,9,1,6,9,9,6,3,5,7,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,63.0,49.0,11.0,56.0,10.0,0.1525423728813559,0.1,0.081081081081081,0.1153846153846153,0.06,0.1184210526315789,0.0,0.0,0.1428571428571428,0.0,0.0967741935483871,0.0,0.1384615384615384,0.140625,0.0967741935483871,0.0476190476190476,0.1020408163265306,0.0,0.125,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,14,0.0,86.0,6.142857142857143,1.3000000000000005,97.2,6.942857142857143,12.2,0.2,-5.1,-3.7,-1.5,0.0060351330962388,0.542,0.286,0.524,-0.1,0.1,L (-14),L (-14)
20,,2023-03-24,24-190,WAS,SAS,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,9,5,6,9,3,9,1,6,9,9,6,3,5,7,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,63.0,49.0,11.0,56.0,10.0,0.1525423728813559,0.1,0.081081081081081,0.1153846153846153,0.06,0.1184210526315789,0.0,0.0,0.1428571428571428,0.0,0.0967741935483871,0.0,0.1384615384615384,0.140625,0.0967741935483871,0.0476190476190476,0.1020408163265306,0.0,0.125,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,14,,65.0,4.642857142857143,0.0,97.5,6.964285714285714,12.2,0.2,-5.1,-3.7,-1.5,0.0060351330962388,0.542,0.286,0.524,-0.1,0.1,W (+12),W (+12)
Rk,G,Date,Age,Tm,Opp,GS,0.0,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,9,5,6,9,3,9,1,6,9,9,6,3,5,7,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,63.0,49.0,11.0,56.0,10.0,0.1525423728813559,0.1,0.081081081081081,0.1153846153846153,0.06,0.1184210526315789,0.0,0.0,0.1428571428571428,0.0,0.0967741935483871,0.0,0.1384615384615384,0.140625,0.0967741935483871,0.0476190476190476,0.1020408163265306,0.0,0.125,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,14,,0.0,0.0,0.0,0.0,0.0,12.2,0.2,-5.1,-3.7,-1.5,0.0060351330962388,0.542,0.286,0.524,-0.1,0.1,,
21,,2023-03-26,24-192,WAS,TOR,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,9,5,6,9,3,9,1,6,9,9,6,3,5,7,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,63.0,49.0,11.0,56.0,10.0,0.1525423728813559,0.1,0.081081081081081,0.1153846153846153,0.06,0.1184210526315789,0.0,0.0,0.1428571428571428,0.0,0.0967741935483871,0.0,0.1384615384615384,0.140625,0.0967741935483871,0.0476190476190476,0.1020408163265306,0.0,0.125,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,14,,100.0,7.142857142857143,0.0,125.7,8.97857142857143,12.2,0.2,-5.1,-3.7,-1.5,0.0060351330962388,0.542,0.286,0.524,-0.1,0.1,L (-10),L (-10)
