Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Holiday,Shared Games with AJ Griffin,Shared Games with Bogdan Bogdanović,Shared Games with Clint Capela,Shared Games with De'Andre Hunter,Shared Games with Donovan Williams,Shared Games with Frank Kaminsky,Shared Games with Jalen Johnson,Shared Games with Jarrett Culver,Shared Games with John Collins,Shared Games with Justin Holiday,Shared Games with Onyeka Okongwu,Shared Games with Trae Young,Shared Games with Trent Forrest,Shared Games with Tyrese Martin,Shared Games with Vit Krejci,Aaron Holiday,AJ Griffin,Bogdan Bogdanović,Clint Capela,De'Andre Hunter,Derrick Favors,Donovan Williams,Frank Kaminsky,Jalen Johnson,Jarrett Culver,John Collins,Justin Holiday,Onyeka Okongwu,Trae Young,Trent Forrest,Tyrese Martin,Vit Krejci,co_inf with Aaron Holiday,co_inf with AJ Griffin,co_inf with Bogdan Bogdanović,co_inf with Clint Capela,co_inf with De'Andre Hunter,co_inf with Derrick Favors,co_inf with Donovan Williams,co_inf with Frank Kaminsky,co_inf with Jalen Johnson,co_inf with Jarrett Culver,co_inf with John Collins,co_inf with Justin Holiday,co_inf with Onyeka Okongwu,co_inf with Trae Young,co_inf with Trent Forrest,co_inf with Tyrese Martin,co_inf with Vit Krejci,Shared Games with Dejounte Murray,Shared Games with Saddiq Bey,Shared Games with Bruno Fernando,Shared Games with Garrison Mathews,Bruno Fernando,Garrison Mathews,Saddiq Bey,co_inf with Saddiq Bey,co_inf with Bruno Fernando,co_inf with Garrison Mathews,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,11,2022-11-09,26-051,ATL,,UTA,L (-6),1,37:49,11.0,20.0,.550,1.0,5.0,.200,3,4.0,.750,1.0,5.0,6.0,5.0,0.0,1.0,3.0,4.0,26.0,17.8,-7,15.0,10.0,0.6666666666666666,56,64,48,60,60,1,31,64,6,69,33,72,67,16,13,25,63.0,72.0,54.0,65.0,67.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9230769230769232,0.8955223880597015,,0.5,0.8611111111111112,0.9142857142857144,0.6,0.971830985915493,0.717391304347826,0.9,0.9178082191780822,0.6956521739130435,0.8125,0.8620689655172413,74,22,8,7,39.0,54.0,77.0,0.2857142857142857,0.2051282051282051,0.1296296296296296,20,11.0,85.0,4.25,16.599999999999994,106.09999999999998,5.304999999999999
11,12,12,2022-11-10,26-052,ATL,,PHI,W (+9),1,34:42,5.0,13.0,.385,0.0,4.0,.000,0,0.0,,0.0,3.0,3.0,8.0,2.0,0.0,2.0,1.0,10.0,9.0,-14,9.0,5.0,0.5555555555555556,56,64,48,60,60,1,31,64,6,69,33,72,67,16,13,25,63.0,72.0,54.0,65.0,67.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9230769230769232,0.8955223880597015,,0.5,0.8611111111111112,0.9142857142857144,0.6,0.971830985915493,0.717391304347826,0.9,0.9178082191780822,0.6956521739130435,0.8125,0.8620689655172413,74,22,8,7,39.0,54.0,77.0,0.2857142857142857,0.2051282051282051,0.1296296296296296,20,8.0,52.0,2.6,9.0,69.0,3.45
12,13,13,2022-11-12,26-054,ATL,@,PHI,L (-12),1,38:19,9.0,23.0,.391,1.0,4.0,.250,4,4.0,1.000,3.0,5.0,8.0,7.0,2.0,0.0,0.0,1.0,23.0,20.6,-21,19.0,8.0,0.4210526315789473,56,64,48,60,60,1,31,64,6,69,33,72,67,16,13,25,63.0,72.0,54.0,65.0,67.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9230769230769232,0.8955223880597015,,0.5,0.8611111111111112,0.9142857142857144,0.6,0.971830985915493,0.717391304347826,0.9,0.9178082191780822,0.6956521739130435,0.8125,0.8620689655172413,74,22,8,7,39.0,54.0,77.0,0.2857142857142857,0.2051282051282051,0.1296296296296296,20,13.0,39.0,1.95,19.000000000000004,65.8,3.29
13,14,14,2022-11-14,26-056,ATL,@,MIL,W (+15),1,36:01,6.0,14.0,.429,1.0,4.0,.250,6,7.0,.857,0.0,8.0,8.0,5.0,0.0,0.0,1.0,2.0,19.0,15.3,+6,10.0,5.0,0.5,56,64,48,60,60,1,31,64,6,69,33,72,67,16,13,25,63.0,72.0,54.0,65.0,67.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9230769230769232,0.8955223880597015,,0.5,0.8611111111111112,0.9142857142857144,0.6,0.971830985915493,0.717391304347826,0.9,0.9178082191780822,0.6956521739130435,0.8125,0.8620689655172413,74,22,8,7,39.0,54.0,77.0,0.2857142857142857,0.2051282051282051,0.1296296296296296,20,10.0,67.0,3.35,12.9,89.3,4.465
14,15,15,2022-11-16,26-058,ATL,,BOS,L (-25),1,33:43,9.0,17.0,.529,1.0,3.0,.333,0,0.0,,0.0,3.0,3.0,5.0,1.0,0.0,3.0,3.0,19.0,11.9,-24,14.0,8.0,0.5714285714285714,56,64,48,60,60,1,31,64,6,69,33,72,67,16,13,25,63.0,72.0,54.0,65.0,67.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9230769230769232,0.8955223880597015,,0.5,0.8611111111111112,0.9142857142857144,0.6,0.971830985915493,0.717391304347826,0.9,0.9178082191780822,0.6956521739130435,0.8125,0.8620689655172413,74,22,8,7,39.0,54.0,77.0,0.2857142857142857,0.2051282051282051,0.1296296296296296,20,8.0,55.0,2.75,11.900000000000002,73.2,3.66
15,16,16,2022-11-19,26-061,ATL,,TOR,W (+2),1,40:21,7.0,18.0,.389,1.0,6.0,.167,2,2.0,1.000,0.0,7.0,7.0,4.0,2.0,0.0,2.0,0.0,17.0,12.1,+13,12.0,6.0,0.5,56,64,48,60,60,1,31,64,6,69,33,72,67,16,13,25,63.0,72.0,54.0,65.0,67.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9230769230769232,0.8955223880597015,,0.5,0.8611111111111112,0.9142857142857144,0.6,0.971830985915493,0.717391304347826,0.9,0.9178082191780822,0.6956521739130435,0.8125,0.8620689655172413,74,22,8,7,39.0,54.0,77.0,0.2857142857142857,0.2051282051282051,0.1296296296296296,20,8.0,79.0,3.95,11.300000000000002,95.0,4.75
16,17,17,2022-11-21,26-063,ATL,@,CLE,L (-12),1,37:19,4.0,17.0,.235,1.0,4.0,.250,2,2.0,1.000,1.0,3.0,4.0,6.0,1.0,0.0,4.0,1.0,11.0,3.1,-6,13.0,3.0,0.2307692307692307,56,64,48,60,60,1,31,64,6,69,33,72,67,16,13,25,63.0,72.0,54.0,65.0,67.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9230769230769232,0.8955223880597015,,0.5,0.8611111111111112,0.9142857142857144,0.6,0.971830985915493,0.717391304347826,0.9,0.9178082191780822,0.6956521739130435,0.8125,0.8620689655172413,74,22,8,7,39.0,54.0,77.0,0.2857142857142857,0.2051282051282051,0.1296296296296296,20,-1.0,57.0,2.85,2.3,71.49999999999999,3.5749999999999993
17,18,18,2022-11-23,26-065,ATL,,SAC,W (+9),1,34:59,5.0,16.0,.313,1.0,4.0,.250,4,4.0,1.000,1.0,6.0,7.0,4.0,3.0,0.0,2.0,2.0,15.0,11.3,+7,12.0,4.0,0.3333333333333333,56,64,48,60,60,1,31,64,6,69,33,72,67,16,13,25,63.0,72.0,54.0,65.0,67.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9230769230769232,0.8955223880597015,,0.5,0.8611111111111112,0.9142857142857144,0.6,0.971830985915493,0.717391304347826,0.9,0.9178082191780822,0.6956521739130435,0.8125,0.8620689655172413,74,22,8,7,39.0,54.0,77.0,0.2857142857142857,0.2051282051282051,0.1296296296296296,20,7.0,87.0,4.35,9.7,104.9,5.245
18,19,19,2022-11-25,26-067,ATL,@,HOU,L (-6),1,35:39,14.0,24.0,.583,8.0,13.0,.615,3,3.0,1.000,0.0,3.0,3.0,3.0,2.0,0.0,3.0,2.0,39.0,29.0,-6,11.0,6.0,0.5454545454545454,56,64,48,60,60,1,31,64,6,69,33,72,67,16,13,25,63.0,72.0,54.0,65.0,67.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9230769230769232,0.8955223880597015,,0.5,0.8611111111111112,0.9142857142857144,0.6,0.971830985915493,0.717391304347826,0.9,0.9178082191780822,0.6956521739130435,0.8125,0.8620689655172413,74,22,8,7,39.0,54.0,77.0,0.2857142857142857,0.2051282051282051,0.1296296296296296,20,17.0,53.0,2.65,27.800000000000004,82.5,4.125
19,20,20,2022-11-27,26-069,ATL,,MIA,L (-8),1,38:49,5.0,16.0,.313,2.0,8.0,.250,1,2.0,.500,0.0,5.0,5.0,2.0,1.0,0.0,2.0,0.0,13.0,5.3,-13,8.0,3.0,0.375,56,64,48,60,60,1,31,64,6,69,33,72,67,16,13,25,63.0,72.0,54.0,65.0,67.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9230769230769232,0.8955223880597015,,0.5,0.8611111111111112,0.9142857142857144,0.6,0.971830985915493,0.717391304347826,0.9,0.9178082191780822,0.6956521739130435,0.8125,0.8620689655172413,74,22,8,7,39.0,54.0,77.0,0.2857142857142857,0.2051282051282051,0.1296296296296296,20,1.0,54.0,2.7,4.9,68.2,3.41
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,56,64,48,60,60,1,31,64,6,69,33,72,67,16,13,25,63.0,72.0,54.0,65.0,67.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9230769230769232,0.8955223880597015,,0.5,0.8611111111111112,0.9142857142857144,0.6,0.971830985915493,0.717391304347826,0.9,0.9178082191780822,0.6956521739130435,0.8125,0.8620689655172413,74,22,8,7,39.0,54.0,77.0,0.2857142857142857,0.2051282051282051,0.1296296296296296,20,,0.0,0.0,0.0,0.0,0.0
21,21,21,2022-11-28,26-070,ATL,@,PHI,L (-3),1,40:29,6.0,13.0,.462,3.0,6.0,.500,2,2.0,1.000,1.0,4.0,5.0,6.0,1.0,1.0,7.0,3.0,17.0,9.9,-2,7.0,3.0,0.4285714285714285,56,64,48,60,60,1,31,64,6,69,33,72,67,16,13,25,63.0,72.0,54.0,65.0,67.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9230769230769232,0.8955223880597015,,0.5,0.8611111111111112,0.9142857142857144,0.6,0.971830985915493,0.717391304347826,0.9,0.9178082191780822,0.6956521739130435,0.8125,0.8620689655172413,74,22,8,7,39.0,54.0,77.0,0.2857142857142857,0.2051282051282051,0.1296296296296296,20,8.0,63.0,3.15,9.099999999999994,66.29999999999998,3.314999999999999
22,22,22,2022-11-30,26-072,ATL,@,ORL,W (+17),1,38:59,11.0,23.0,.478,3.0,8.0,.375,2,3.0,.667,0.0,3.0,3.0,6.0,2.0,1.0,5.0,1.0,27.0,17.3,+8,15.0,8.0,0.5333333333333333,56,64,48,60,60,1,31,64,6,69,33,72,67,16,13,25,63.0,72.0,54.0,65.0,67.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9230769230769232,0.8955223880597015,,0.5,0.8611111111111112,0.9142857142857144,0.6,0.971830985915493,0.717391304347826,0.9,0.9178082191780822,0.6956521739130435,0.8125,0.8620689655172413,74,22,8,7,39.0,54.0,77.0,0.2857142857142857,0.2051282051282051,0.1296296296296296,20,8.0,108.0,5.4,16.500000000000007,126.99999999999996,6.349999999999998
23,23,23,2022-12-02,26-074,ATL,,DEN,W (+8),1,35:28,13.0,22.0,.591,4.0,7.0,.571,4,6.0,.667,1.0,2.0,3.0,8.0,0.0,1.0,1.0,1.0,34.0,29.2,+3,15.0,9.0,0.6,56,64,48,60,60,1,31,64,6,69,33,72,67,16,13,25,63.0,72.0,54.0,65.0,67.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9230769230769232,0.8955223880597015,,0.5,0.8611111111111112,0.9142857142857144,0.6,0.971830985915493,0.717391304347826,0.9,0.9178082191780822,0.6956521739130435,0.8125,0.8620689655172413,74,22,8,7,39.0,54.0,77.0,0.2857142857142857,0.2051282051282051,0.1296296296296296,20,17.0,89.0,4.45,27.600000000000016,106.5,5.325
24,24,24,2022-12-05,26-077,ATL,,OKC,L (-7),1,38:25,10.0,21.0,.476,3.0,5.0,.600,1,3.0,.333,3.0,3.0,6.0,3.0,2.0,2.0,3.0,4.0,24.0,16.4,-2,16.0,7.0,0.4375,56,64,48,60,60,1,31,64,6,69,33,72,67,16,13,25,63.0,72.0,54.0,65.0,67.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9230769230769232,0.8955223880597015,,0.5,0.8611111111111112,0.9142857142857144,0.6,0.971830985915493,0.717391304347826,0.9,0.9178082191780822,0.6956521739130435,0.8125,0.8620689655172413,74,22,8,7,39.0,54.0,77.0,0.2857142857142857,0.2051282051282051,0.1296296296296296,20,10.0,66.0,3.3,16.0,85.79999999999998,4.289999999999999
25,25,25,2022-12-07,26-079,ATL,@,NYK,L (-24),1,3:34,0.0,0.0,,0.0,0.0,,2,2.0,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,-4,0.0,0.0,,56,64,48,60,60,1,31,64,6,69,33,72,67,16,13,25,63.0,72.0,54.0,65.0,67.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9230769230769232,0.8955223880597015,,0.5,0.8611111111111112,0.9142857142857144,0.6,0.971830985915493,0.717391304347826,0.9,0.9178082191780822,0.6956521739130435,0.8125,0.8620689655172413,74,22,8,7,39.0,54.0,77.0,0.2857142857142857,0.2051282051282051,0.1296296296296296,20,0.0,46.0,2.3,1.2,64.0,3.2
26,26,,2022-12-09,26-081,ATL,@,BRK,L (-4),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,56,64,48,60,60,1,31,64,6,69,33,72,67,16,13,25,63.0,72.0,54.0,65.0,67.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9230769230769232,0.8955223880597015,,0.5,0.8611111111111112,0.9142857142857144,0.6,0.971830985915493,0.717391304347826,0.9,0.9178082191780822,0.6956521739130435,0.8125,0.8620689655172413,74,22,8,7,39.0,54.0,77.0,0.2857142857142857,0.2051282051282051,0.1296296296296296,20,,65.0,3.25,0.0,102.8,5.14
27,27,,2022-12-11,26-083,ATL,,CHI,W (+1),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,56,64,48,60,60,1,31,64,6,69,33,72,67,16,13,25,63.0,72.0,54.0,65.0,67.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9230769230769232,0.8955223880597015,,0.5,0.8611111111111112,0.9142857142857144,0.6,0.971830985915493,0.717391304347826,0.9,0.9178082191780822,0.6956521739130435,0.8125,0.8620689655172413,74,22,8,7,39.0,54.0,77.0,0.2857142857142857,0.2051282051282051,0.1296296296296296,20,,80.0,4.0,0.0,111.8,5.59
