Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Holiday,Shared Games with AJ Griffin,Shared Games with Bogdan Bogdanović,Shared Games with De'Andre Hunter,Shared Games with Dejounte Murray,Shared Games with Donovan Williams,Shared Games with Frank Kaminsky,Shared Games with Jalen Johnson,Shared Games with Jarrett Culver,Shared Games with John Collins,Shared Games with Justin Holiday,Shared Games with Onyeka Okongwu,Shared Games with Trae Young,Shared Games with Trent Forrest,Shared Games with Tyrese Martin,Shared Games with Vit Krejci,Aaron Holiday,AJ Griffin,Bogdan Bogdanović,De'Andre Hunter,Dejounte Murray,Derrick Favors,Donovan Williams,Frank Kaminsky,Jalen Johnson,Jarrett Culver,John Collins,Justin Holiday,Onyeka Okongwu,Trae Young,Trent Forrest,Tyrese Martin,Vit Krejci,co_inf with Aaron Holiday,co_inf with AJ Griffin,co_inf with Bogdan Bogdanović,co_inf with De'Andre Hunter,co_inf with Dejounte Murray,co_inf with Derrick Favors,co_inf with Donovan Williams,co_inf with Frank Kaminsky,co_inf with Jalen Johnson,co_inf with Jarrett Culver,co_inf with John Collins,co_inf with Justin Holiday,co_inf with Onyeka Okongwu,co_inf with Trae Young,co_inf with Trent Forrest,co_inf with Tyrese Martin,co_inf with Vit Krejci,Shared Games with Clint Capela,Shared Games with Saddiq Bey,Shared Games with Bruno Fernando,Shared Games with Garrison Mathews,Bruno Fernando,Garrison Mathews,Saddiq Bey,co_inf with Saddiq Bey,co_inf with Bruno Fernando,co_inf with Garrison Mathews,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
10,11.0,11.0,2022-11-09,28-175,ATL,,UTA,L (-6),1.0,26.183333333333334,7.0,13.0,0.538,0.0,0.0,,1.0,2.0,0.5,10.0,9.0,19.0,1.0,0.0,2.0,1.0,1.0,15.0,18.7,7.0,13.0,7.0,0.5384615384615384,47,55,42,53,60,1,21,53,8,57,33,63,60,17,12,24,63.0,72.0,54.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.746031746031746,0.7638888888888888,0.7777777777777778,0.7910447761194029,0.8108108108108109,,0.5,0.5833333333333334,0.7571428571428571,0.8,0.8028169014084507,0.717391304347826,0.7875,0.821917808219178,0.7391304347826086,0.75,0.8275862068965517,65,24,8,9,39.0,54.0,77.0,0.3116883116883117,0.2051282051282051,0.1666666666666666,20,21.0,85.0,4.25,18.3,106.09999999999998,5.304999999999999,22.1,7.2,2.2,2.3,-0.1,0.080218309,0.656,0.002,0.244,1.8,4.9,L (-6),L (-6)
11,12.0,12.0,2022-11-10,28-176,ATL,,PHI,W (+9),1.0,26.366666666666667,7.0,10.0,0.7,0.0,0.0,,4.0,6.0,0.667,5.0,15.0,20.0,0.0,0.0,0.0,1.0,2.0,18.0,19.2,24.0,10.0,7.0,0.7,47,55,42,53,60,1,21,53,8,57,33,63,60,17,12,24,63.0,72.0,54.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.746031746031746,0.7638888888888888,0.7777777777777778,0.7910447761194029,0.8108108108108109,,0.5,0.5833333333333334,0.7571428571428571,0.8,0.8028169014084507,0.717391304347826,0.7875,0.821917808219178,0.7391304347826086,0.75,0.8275862068965517,65,24,8,9,39.0,54.0,77.0,0.3116883116883117,0.2051282051282051,0.1666666666666666,20,21.0,52.0,2.6,17.599999999999998,69.0,3.45,22.1,7.2,2.2,2.3,-0.1,0.080218309,0.656,0.002,0.244,1.8,4.9,W (+9),W (+9)
12,13.0,13.0,2022-11-12,28-178,ATL,@,PHI,L (-12),1.0,33.11666666666667,7.0,9.0,0.778,0.0,0.0,,0.0,0.0,,6.0,9.0,15.0,0.0,0.0,0.0,4.0,3.0,14.0,12.2,-20.0,9.0,7.0,0.7777777777777778,47,55,42,53,60,1,21,53,8,57,33,63,60,17,12,24,63.0,72.0,54.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.746031746031746,0.7638888888888888,0.7777777777777778,0.7910447761194029,0.8108108108108109,,0.5,0.5833333333333334,0.7571428571428571,0.8,0.8028169014084507,0.717391304347826,0.7875,0.821917808219178,0.7391304347826086,0.75,0.8275862068965517,65,24,8,9,39.0,54.0,77.0,0.3116883116883117,0.2051282051282051,0.1666666666666666,20,16.0,39.0,1.95,12.2,65.8,3.29,22.1,7.2,2.2,2.3,-0.1,0.080218309,0.656,0.002,0.244,1.8,4.9,L (-12),L (-12)
13,14.0,14.0,2022-11-14,28-180,ATL,@,MIL,W (+15),1.0,30.0,9.0,11.0,0.818,0.0,0.0,,1.0,4.0,0.25,7.0,3.0,10.0,2.0,0.0,2.0,1.0,2.0,19.0,20.5,14.0,11.0,9.0,0.8181818181818182,47,55,42,53,60,1,21,53,8,57,33,63,60,17,12,24,63.0,72.0,54.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.746031746031746,0.7638888888888888,0.7777777777777778,0.7910447761194029,0.8108108108108109,,0.5,0.5833333333333334,0.7571428571428571,0.8,0.8028169014084507,0.717391304347826,0.7875,0.821917808219178,0.7391304347826086,0.75,0.8275862068965517,65,24,8,9,39.0,54.0,77.0,0.3116883116883117,0.2051282051282051,0.1666666666666666,20,17.0,67.0,3.35,20.099999999999994,89.29999999999998,4.464999999999999,22.1,7.2,2.2,2.3,-0.1,0.080218309,0.656,0.002,0.244,1.8,4.9,W (+15),W (+15)
14,15.0,15.0,2022-11-16,28-182,ATL,,BOS,L (-25),1.0,18.416666666666668,3.0,3.0,1.0,0.0,0.0,,1.0,2.0,0.5,2.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,7.0,8.9,-9.0,3.0,3.0,1.0,47,55,42,53,60,1,21,53,8,57,33,63,60,17,12,24,63.0,72.0,54.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.746031746031746,0.7638888888888888,0.7777777777777778,0.7910447761194029,0.8108108108108109,,0.5,0.5833333333333334,0.7571428571428571,0.8,0.8028169014084507,0.717391304347826,0.7875,0.821917808219178,0.7391304347826086,0.75,0.8275862068965517,65,24,8,9,39.0,54.0,77.0,0.3116883116883117,0.2051282051282051,0.1666666666666666,20,10.0,55.0,2.75,8.499999999999998,73.2,3.66,22.1,7.2,2.2,2.3,-0.1,0.080218309,0.656,0.002,0.244,1.8,4.9,L (-25),L (-25)
15,16.0,16.0,2022-11-19,28-185,ATL,,TOR,W (+2),1.0,34.35,9.0,13.0,0.692,0.0,0.0,,0.0,0.0,,6.0,8.0,14.0,1.0,0.0,3.0,0.0,4.0,18.0,20.3,10.0,13.0,9.0,0.6923076923076923,47,55,42,53,60,1,21,53,8,57,33,63,60,17,12,24,63.0,72.0,54.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.746031746031746,0.7638888888888888,0.7777777777777778,0.7910447761194029,0.8108108108108109,,0.5,0.5833333333333334,0.7571428571428571,0.8,0.8028169014084507,0.717391304347826,0.7875,0.821917808219178,0.7391304347826086,0.75,0.8275862068965517,65,24,8,9,39.0,54.0,77.0,0.3116883116883117,0.2051282051282051,0.1666666666666666,20,23.0,79.0,3.95,20.3,95.0,4.75,22.1,7.2,2.2,2.3,-0.1,0.080218309,0.656,0.002,0.244,1.8,4.9,W (+2),W (+2)
16,17.0,17.0,2022-11-21,28-187,ATL,@,CLE,L (-12),1.0,27.133333333333333,2.0,5.0,0.4,0.0,0.0,,0.0,0.0,,2.0,10.0,12.0,3.0,2.0,2.0,1.0,4.0,4.0,8.6,-14.0,5.0,2.0,0.4,47,55,42,53,60,1,21,53,8,57,33,63,60,17,12,24,63.0,72.0,54.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.746031746031746,0.7638888888888888,0.7777777777777778,0.7910447761194029,0.8108108108108109,,0.5,0.5833333333333334,0.7571428571428571,0.8,0.8028169014084507,0.717391304347826,0.7875,0.821917808219178,0.7391304347826086,0.75,0.8275862068965517,65,24,8,9,39.0,54.0,77.0,0.3116883116883117,0.2051282051282051,0.1666666666666666,20,17.0,57.0,2.85,8.6,71.49999999999999,3.575,22.1,7.2,2.2,2.3,-0.1,0.080218309,0.656,0.002,0.244,1.8,4.9,L (-12),L (-12)
17,18.0,18.0,2022-11-23,28-189,ATL,,SAC,W (+9),1.0,28.266666666666666,5.0,10.0,0.5,0.0,0.0,,1.0,1.0,1.0,4.0,10.0,14.0,1.0,0.0,3.0,0.0,3.0,11.0,13.4,6.0,10.0,5.0,0.5,47,55,42,53,60,1,21,53,8,57,33,63,60,17,12,24,63.0,72.0,54.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.746031746031746,0.7638888888888888,0.7777777777777778,0.7910447761194029,0.8108108108108109,,0.5,0.5833333333333334,0.7571428571428571,0.8,0.8028169014084507,0.717391304347826,0.7875,0.821917808219178,0.7391304347826086,0.75,0.8275862068965517,65,24,8,9,39.0,54.0,77.0,0.3116883116883117,0.2051282051282051,0.1666666666666666,20,18.0,87.0,4.35,13.0,104.9,5.245,22.1,7.2,2.2,2.3,-0.1,0.080218309,0.656,0.002,0.244,1.8,4.9,W (+9),W (+9)
18,19.0,,2022-11-25,28-191,ATL,@,HOU,L (-6),,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,47,55,42,53,60,1,21,53,8,57,33,63,60,17,12,24,63.0,72.0,54.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.746031746031746,0.7638888888888888,0.7777777777777778,0.7910447761194029,0.8108108108108109,,0.5,0.5833333333333334,0.7571428571428571,0.8,0.8028169014084507,0.717391304347826,0.7875,0.821917808219178,0.7391304347826086,0.75,0.8275862068965517,65,24,8,9,39.0,54.0,77.0,0.3116883116883117,0.2051282051282051,0.1666666666666666,20,,53.0,2.65,0.0,82.5,4.125,22.1,7.2,2.2,2.3,-0.1,0.080218309,0.656,0.002,0.244,1.8,4.9,L (-6),L (-6)
19,20.0,,2022-11-27,28-193,ATL,,MIA,L (-8),,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,47,55,42,53,60,1,21,53,8,57,33,63,60,17,12,24,63.0,72.0,54.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.746031746031746,0.7638888888888888,0.7777777777777778,0.7910447761194029,0.8108108108108109,,0.5,0.5833333333333334,0.7571428571428571,0.8,0.8028169014084507,0.717391304347826,0.7875,0.821917808219178,0.7391304347826086,0.75,0.8275862068965517,65,24,8,9,39.0,54.0,77.0,0.3116883116883117,0.2051282051282051,0.1666666666666666,20,,54.0,2.7,0.0,68.2,3.41,22.1,7.2,2.2,2.3,-0.1,0.080218309,0.656,0.002,0.244,1.8,4.9,L (-8),L (-8)
21,21.0,19.0,2022-11-28,28-194,ATL,@,PHI,L (-3),1.0,33.0,4.0,9.0,0.444,0.0,0.0,,2.0,4.0,0.5,4.0,12.0,16.0,0.0,1.0,0.0,1.0,3.0,10.0,9.7,-4.0,9.0,4.0,0.4444444444444444,47,55,42,53,60,1,21,53,8,57,33,63,60,17,12,24,63.0,72.0,54.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.746031746031746,0.7638888888888888,0.7777777777777778,0.7910447761194029,0.8108108108108109,,0.5,0.5833333333333334,0.7571428571428571,0.8,0.8028169014084507,0.717391304347826,0.7875,0.821917808219178,0.7391304347826086,0.75,0.8275862068965517,65,24,8,9,39.0,54.0,77.0,0.3116883116883117,0.2051282051282051,0.1666666666666666,20,13.0,63.0,3.15,8.899999999999999,66.3,3.315,22.1,7.2,2.2,2.3,-0.1,0.080218309,0.656,0.002,0.244,1.8,4.9,,
22,22.0,20.0,2022-11-30,28-196,ATL,@,ORL,W (+17),1.0,29.466666666666665,9.0,10.0,0.9,0.0,0.0,,2.0,2.0,1.0,5.0,7.0,12.0,1.0,1.0,0.0,0.0,4.0,20.0,22.3,21.0,10.0,9.0,0.9,47,55,42,53,60,1,21,53,8,57,33,63,60,17,12,24,63.0,72.0,54.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.746031746031746,0.7638888888888888,0.7777777777777778,0.7910447761194029,0.8108108108108109,,0.5,0.5833333333333334,0.7571428571428571,0.8,0.8028169014084507,0.717391304347826,0.7875,0.821917808219178,0.7391304347826086,0.75,0.8275862068965517,65,24,8,9,39.0,54.0,77.0,0.3116883116883117,0.2051282051282051,0.1666666666666666,20,22.0,108.0,5.4,21.5,127.0,6.35,22.1,7.2,2.2,2.3,-0.1,0.080218309,0.656,0.002,0.244,1.8,4.9,L (-3),L (-3)
23,23.0,21.0,2022-12-02,28-198,ATL,,DEN,W (+8),1.0,30.53333333333333,5.0,10.0,0.5,0.0,0.0,,2.0,4.0,0.5,6.0,5.0,11.0,0.0,1.0,0.0,0.0,4.0,12.0,11.3,-2.0,10.0,5.0,0.5,47,55,42,53,60,1,21,53,8,57,33,63,60,17,12,24,63.0,72.0,54.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.746031746031746,0.7638888888888888,0.7777777777777778,0.7910447761194029,0.8108108108108109,,0.5,0.5833333333333334,0.7571428571428571,0.8,0.8028169014084507,0.717391304347826,0.7875,0.821917808219178,0.7391304347826086,0.75,0.8275862068965517,65,24,8,9,39.0,54.0,77.0,0.3116883116883117,0.2051282051282051,0.1666666666666666,20,10.0,89.0,4.45,10.5,106.5,5.325,22.1,7.2,2.2,2.3,-0.1,0.080218309,0.656,0.002,0.244,1.8,4.9,W (+17),W (+17)
24,24.0,22.0,2022-12-05,28-201,ATL,,OKC,L (-7),1.0,30.4,7.0,10.0,0.7,0.0,0.0,,0.0,0.0,,7.0,9.0,16.0,0.0,0.0,2.0,4.0,4.0,14.0,13.2,-2.0,10.0,7.0,0.7,47,55,42,53,60,1,21,53,8,57,33,63,60,17,12,24,63.0,72.0,54.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.746031746031746,0.7638888888888888,0.7777777777777778,0.7910447761194029,0.8108108108108109,,0.5,0.5833333333333334,0.7571428571428571,0.8,0.8028169014084507,0.717391304347826,0.7875,0.821917808219178,0.7391304347826086,0.75,0.8275862068965517,65,24,8,9,39.0,54.0,77.0,0.3116883116883117,0.2051282051282051,0.1666666666666666,20,18.0,66.0,3.3,13.199999999999996,85.79999999999997,4.289999999999998,22.1,7.2,2.2,2.3,-0.1,0.080218309,0.656,0.002,0.244,1.8,4.9,W (+8),W (+8)
