Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Caris LeVert,Shared Games with Cedi Osman,Shared Games with Darius Garland,Shared Games with Dean Wade,Shared Games with Donovan Mitchell,Shared Games with Evan Mobley,Shared Games with Isaac Okoro,Shared Games with Isaiah Mobley,Shared Games with Jarrett Allen,Shared Games with Kevin Love,Shared Games with Lamar Stevens,Shared Games with Mamadi Diakite,Shared Games with Raul Neto,Shared Games with Ricky Rubio,Caris LeVert,Cedi Osman,Darius Garland,Dean Wade,Donovan Mitchell,Dylan Windler,Evan Mobley,Isaac Okoro,Isaiah Mobley,Jarrett Allen,Kevin Love,Lamar Stevens,Mamadi Diakite,Raul Neto,Ricky Rubio,Sam Merrill,co_inf with Caris LeVert,co_inf with Cedi Osman,co_inf with Darius Garland,co_inf with Dean Wade,co_inf with Donovan Mitchell,co_inf with Dylan Windler,co_inf with Evan Mobley,co_inf with Isaac Okoro,co_inf with Isaiah Mobley,co_inf with Jarrett Allen,co_inf with Kevin Love,co_inf with Lamar Stevens,co_inf with Mamadi Diakite,co_inf with Raul Neto,co_inf with Ricky Rubio,co_inf with Sam Merrill,Shared Games with Danny Green,Danny Green,Dejounte Murray,co_inf with Danny Green,co_inf with Dejounte Murray,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,7,2022-11-09,34-222,CLE,@,SAC,L (-7),0,3:21,0.0,0.0,,0.0,0.0,,0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,-3,0.0,0.0,,30,35,27,23,30,34,34,10,27,18,28,15,29,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,5.0,0.4054054054054054,0.4545454545454545,0.391304347826087,0.5227272727272727,0.4411764705882353,0.0,0.430379746835443,0.4473684210526316,0.8333333333333334,0.3970588235294117,0.2903225806451613,0.4516129032258064,0.6818181818181818,0.6041666666666666,0.303030303030303,0.0,2,11.0,74.0,0.1818181818181818,0.0,15,2.0,69.0,4.6,1.0,91.3,6.086666666666667
11,12,,2022-11-11,34-224,CLE,@,GSW,L (-5),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,35,27,23,30,34,34,10,27,18,28,15,29,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,5.0,0.4054054054054054,0.4545454545454545,0.391304347826087,0.5227272727272727,0.4411764705882353,0.0,0.430379746835443,0.4473684210526316,0.8333333333333334,0.3970588235294117,0.2903225806451613,0.4516129032258064,0.6818181818181818,0.6041666666666666,0.303030303030303,0.0,2,11.0,74.0,0.1818181818181818,0.0,15,,55.0,3.6666666666666665,0.0,71.9,4.793333333333334
12,13,8,2022-11-13,34-226,CLE,,MIN,L (-5),0,16:14,2.0,4.0,.500,0.0,0.0,,1,1.0,1.000,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,5.0,2.8,+6,4.0,2.0,0.5,30,35,27,23,30,34,34,10,27,18,28,15,29,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,5.0,0.4054054054054054,0.4545454545454545,0.391304347826087,0.5227272727272727,0.4411764705882353,0.0,0.430379746835443,0.4473684210526316,0.8333333333333334,0.3970588235294117,0.2903225806451613,0.4516129032258064,0.6818181818181818,0.6041666666666666,0.303030303030303,0.0,2,11.0,74.0,0.1818181818181818,0.0,15,2.0,60.0,4.0,2.3999999999999995,92.0,6.133333333333334
13,14,9,2022-11-16,34-229,CLE,@,MIL,L (-15),0,13:41,0.0,2.0,.000,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.5,-3,2.0,0.0,0.0,30,35,27,23,30,34,34,10,27,18,28,15,29,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,5.0,0.4054054054054054,0.4545454545454545,0.391304347826087,0.5227272727272727,0.4411764705882353,0.0,0.430379746835443,0.4473684210526316,0.8333333333333334,0.3970588235294117,0.2903225806451613,0.4516129032258064,0.6818181818181818,0.6041666666666666,0.303030303030303,0.0,2,11.0,74.0,0.1818181818181818,0.0,15,-1.0,61.0,4.066666666666666,-1.5,81.00000000000001,5.400000000000001
14,15,,2022-11-18,34-231,CLE,,CHO,W (+10),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,35,27,23,30,34,34,10,27,18,28,15,29,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,5.0,0.4054054054054054,0.4545454545454545,0.391304347826087,0.5227272727272727,0.4411764705882353,0.0,0.430379746835443,0.4473684210526316,0.8333333333333334,0.3970588235294117,0.2903225806451613,0.4516129032258064,0.6818181818181818,0.6041666666666666,0.303030303030303,0.0,2,11.0,74.0,0.1818181818181818,0.0,15,,78.0,5.2,0.0,100.5,6.7
15,16,10,2022-11-20,34-233,CLE,,MIA,W (+26),0,7:53,1.0,1.0,1.000,0.0,0.0,,0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,1.3,-4,1.0,1.0,1.0,30,35,27,23,30,34,34,10,27,18,28,15,29,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,5.0,0.4054054054054054,0.4545454545454545,0.391304347826087,0.5227272727272727,0.4411764705882353,0.0,0.430379746835443,0.4473684210526316,0.8333333333333334,0.3970588235294117,0.2903225806451613,0.4516129032258064,0.6818181818181818,0.6041666666666666,0.303030303030303,0.0,2,11.0,74.0,0.1818181818181818,0.0,15,2.0,97.0,6.466666666666667,1.2999999999999998,104.10000000000002,6.940000000000001
16,17,11,2022-11-21,34-234,CLE,,ATL,W (+12),0,10:15,3.0,3.0,1.000,0.0,0.0,,0,0.0,,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,6.0,7.4,+5,3.0,3.0,1.0,30,35,27,23,30,34,34,10,27,18,28,15,29,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,5.0,0.4054054054054054,0.4545454545454545,0.391304347826087,0.5227272727272727,0.4411764705882353,0.0,0.430379746835443,0.4473684210526316,0.8333333333333334,0.3970588235294117,0.2903225806451613,0.4516129032258064,0.6818181818181818,0.6041666666666666,0.303030303030303,0.0,2,11.0,74.0,0.1818181818181818,0.0,15,7.0,74.0,4.933333333333334,7.4,95.5,6.366666666666666
17,18,12,2022-11-23,34-236,CLE,,POR,W (+18),0,5:11,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-0.8,-1,0.0,0.0,,30,35,27,23,30,34,34,10,27,18,28,15,29,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,5.0,0.4054054054054054,0.4545454545454545,0.391304347826087,0.5227272727272727,0.4411764705882353,0.0,0.430379746835443,0.4473684210526316,0.8333333333333334,0.3970588235294117,0.2903225806451613,0.4516129032258064,0.6818181818181818,0.6041666666666666,0.303030303030303,0.0,2,11.0,74.0,0.1818181818181818,0.0,15,0.0,77.0,5.133333333333334,-0.8,96.6,6.4399999999999995
18,19,13,2022-11-25,34-238,CLE,@,MIL,L (-15),0,19:08,3.0,6.0,.500,0.0,0.0,,2,3.0,.667,3.0,0.0,3.0,1.0,0.0,0.0,2.0,4.0,8.0,3.8,-6,6.0,3.0,0.5,30,35,27,23,30,34,34,10,27,18,28,15,29,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,5.0,0.4054054054054054,0.4545454545454545,0.391304347826087,0.5227272727272727,0.4411764705882353,0.0,0.430379746835443,0.4473684210526316,0.8333333333333334,0.3970588235294117,0.2903225806451613,0.4516129032258064,0.6818181818181818,0.6041666666666666,0.303030303030303,0.0,2,11.0,74.0,0.1818181818181818,0.0,15,1.0,60.0,4.0,2.9999999999999982,88.4,5.8933333333333335
19,20,14,2022-11-27,34-240,CLE,@,DET,W (+8),1,3:48,1.0,2.0,.500,0.0,0.0,,0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.9,-8,2.0,1.0,0.5,30,35,27,23,30,34,34,10,27,18,28,15,29,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,5.0,0.4054054054054054,0.4545454545454545,0.391304347826087,0.5227272727272727,0.4411764705882353,0.0,0.430379746835443,0.4473684210526316,0.8333333333333334,0.3970588235294117,0.2903225806451613,0.4516129032258064,0.6818181818181818,0.6041666666666666,0.303030303030303,0.0,2,11.0,74.0,0.1818181818181818,0.0,15,1.0,40.0,2.6666666666666665,0.8999999999999997,62.0,4.133333333333334
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,30,35,27,23,30,34,34,10,27,18,28,15,29,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,5.0,0.4054054054054054,0.4545454545454545,0.391304347826087,0.5227272727272727,0.4411764705882353,0.0,0.430379746835443,0.4473684210526316,0.8333333333333334,0.3970588235294117,0.2903225806451613,0.4516129032258064,0.6818181818181818,0.6041666666666666,0.303030303030303,0.0,2,11.0,74.0,0.1818181818181818,0.0,15,,0.0,0.0,0.0,0.0,0.0
21,21,15,2022-11-28,34-241,CLE,@,TOR,L (-12),0,17:48,3.0,6.0,.500,0.0,0.0,,3,3.0,1.000,2.0,1.0,3.0,2.0,0.0,0.0,1.0,2.0,9.0,7.3,-9,6.0,3.0,0.5,30,35,27,23,30,34,34,10,27,18,28,15,29,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,5.0,0.4054054054054054,0.4545454545454545,0.391304347826087,0.5227272727272727,0.4411764705882353,0.0,0.430379746835443,0.4473684210526316,0.8333333333333334,0.3970588235294117,0.2903225806451613,0.4516129032258064,0.6818181818181818,0.6041666666666666,0.303030303030303,0.0,2,11.0,74.0,0.1818181818181818,0.0,15,4.0,55.0,3.6666666666666665,6.100000000000001,62.1,4.14
22,22,16,2022-11-30,34-243,CLE,,PHI,W (+28),0,14:08,2.0,2.0,1.000,0.0,0.0,,0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,4.0,1.4,-3,2.0,2.0,1.0,30,35,27,23,30,34,34,10,27,18,28,15,29,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,5.0,0.4054054054054054,0.4545454545454545,0.391304347826087,0.5227272727272727,0.4411764705882353,0.0,0.430379746835443,0.4473684210526316,0.8333333333333334,0.3970588235294117,0.2903225806451613,0.4516129032258064,0.6818181818181818,0.6041666666666666,0.303030303030303,0.0,2,11.0,74.0,0.1818181818181818,0.0,15,1.0,99.0,6.6,1.3999999999999986,113.20000000000002,7.546666666666668
23,23,17,2022-12-02,34-245,CLE,,ORL,W (+11),0,3:06,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8,0.0,0.0,,30,35,27,23,30,34,34,10,27,18,28,15,29,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,5.0,0.4054054054054054,0.4545454545454545,0.391304347826087,0.5227272727272727,0.4411764705882353,0.0,0.430379746835443,0.4473684210526316,0.8333333333333334,0.3970588235294117,0.2903225806451613,0.4516129032258064,0.6818181818181818,0.6041666666666666,0.303030303030303,0.0,2,11.0,74.0,0.1818181818181818,0.0,15,0.0,71.0,4.733333333333333,0.0,97.90000000000003,6.526666666666669
24,24,18,2022-12-04,34-247,CLE,@,NYK,L (-11),0,2:38,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.4,-7,0.0,0.0,,30,35,27,23,30,34,34,10,27,18,28,15,29,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,5.0,0.4054054054054054,0.4545454545454545,0.391304347826087,0.5227272727272727,0.4411764705882353,0.0,0.430379746835443,0.4473684210526316,0.8333333333333334,0.3970588235294117,0.2903225806451613,0.4516129032258064,0.6818181818181818,0.6041666666666666,0.303030303030303,0.0,2,11.0,74.0,0.1818181818181818,0.0,15,-1.0,39.0,2.6,-1.4,58.7,3.9133333333333336
25,25,,2022-12-06,34-249,CLE,,LAL,W (+14),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,35,27,23,30,34,34,10,27,18,28,15,29,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,5.0,0.4054054054054054,0.4545454545454545,0.391304347826087,0.5227272727272727,0.4411764705882353,0.0,0.430379746835443,0.4473684210526316,0.8333333333333334,0.3970588235294117,0.2903225806451613,0.4516129032258064,0.6818181818181818,0.6041666666666666,0.303030303030303,0.0,2,11.0,74.0,0.1818181818181818,0.0,15,,81.0,5.4,0.0,97.60000000000002,6.506666666666669
26,26,,2022-12-09,34-252,CLE,,SAC,L (-11),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,35,27,23,30,34,34,10,27,18,28,15,29,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,5.0,0.4054054054054054,0.4545454545454545,0.391304347826087,0.5227272727272727,0.4411764705882353,0.0,0.430379746835443,0.4473684210526316,0.8333333333333334,0.3970588235294117,0.2903225806451613,0.4516129032258064,0.6818181818181818,0.6041666666666666,0.303030303030303,0.0,2,11.0,74.0,0.1818181818181818,0.0,15,,42.0,2.8,0.0,54.1,3.606666666666667
27,27,19,2022-12-10,34-253,CLE,,OKC,W (+8),0,5:11,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,+3,1.0,1.0,1.0,30,35,27,23,30,34,34,10,27,18,28,15,29,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,5.0,0.4054054054054054,0.4545454545454545,0.391304347826087,0.5227272727272727,0.4411764705882353,0.0,0.430379746835443,0.4473684210526316,0.8333333333333334,0.3970588235294117,0.2903225806451613,0.4516129032258064,0.6818181818181818,0.6041666666666666,0.303030303030303,0.0,2,11.0,74.0,0.1818181818181818,0.0,15,3.0,68.0,4.533333333333333,2.0,82.99999999999999,5.533333333333332
28,28,,2022-12-12,34-255,CLE,@,SAS,L (-1),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,35,27,23,30,34,34,10,27,18,28,15,29,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,5.0,0.4054054054054054,0.4545454545454545,0.391304347826087,0.5227272727272727,0.4411764705882353,0.0,0.430379746835443,0.4473684210526316,0.8333333333333334,0.3970588235294117,0.2903225806451613,0.4516129032258064,0.6818181818181818,0.6041666666666666,0.303030303030303,0.0,2,11.0,74.0,0.1818181818181818,0.0,15,,64.0,4.266666666666667,0.0,80.10000000000001,5.340000000000001
29,29,20,2022-12-14,34-257,CLE,@,DAL,W (+15),0,1:16,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7,0,0.0,0.0,,30,35,27,23,30,34,34,10,27,18,28,15,29,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,5.0,0.4054054054054054,0.4545454545454545,0.391304347826087,0.5227272727272727,0.4411764705882353,0.0,0.430379746835443,0.4473684210526316,0.8333333333333334,0.3970588235294117,0.2903225806451613,0.4516129032258064,0.6818181818181818,0.6041666666666666,0.303030303030303,0.0,2,11.0,74.0,0.1818181818181818,0.0,15,1.0,70.0,4.666666666666667,0.7,83.1,5.54
