Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with A.J. Green,Shared Games with Bobby Portis,Shared Games with Brook Lopez,Shared Games with George Hill,Shared Games with Giannis Antetokounmpo,Shared Games with Grayson Allen,Shared Games with Jevon Carter,Shared Games with Jordan Nwora,Shared Games with Jrue Holiday,Shared Games with Khris Middleton,Shared Games with MarJon Beauchamp,Shared Games with Pat Connaughton,Shared Games with Sandro Mamukelashvili,Shared Games with Serge Ibaka,Shared Games with Thanasis Antetokounmpo,Shared Games with Wesley Matthews,A.J. Green,Bobby Portis,Brook Lopez,George Hill,Giannis Antetokounmpo,Grayson Allen,Jevon Carter,Joe Ingles,Jordan Nwora,Jrue Holiday,Khris Middleton,Lindell Wigginton,MarJon Beauchamp,Pat Connaughton,Sandro Mamukelashvili,Serge Ibaka,Thanasis Antetokounmpo,Wesley Matthews,co_inf with A.J. Green,co_inf with Bobby Portis,co_inf with Brook Lopez,co_inf with George Hill,co_inf with Giannis Antetokounmpo,co_inf with Grayson Allen,co_inf with Jevon Carter,co_inf with Joe Ingles,co_inf with Jordan Nwora,co_inf with Jrue Holiday,co_inf with Khris Middleton,co_inf with Lindell Wigginton,co_inf with MarJon Beauchamp,co_inf with Pat Connaughton,co_inf with Sandro Mamukelashvili,co_inf with Serge Ibaka,co_inf with Thanasis Antetokounmpo,co_inf with Wesley Matthews,Goran Dragić,Jae Crowder,Tyrese Martin,co_inf with Goran Dragić,co_inf with Jae Crowder,co_inf with Tyrese Martin,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,,2023-03-14,31-015,MIL,@,PHO,W (+12),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,4,9,8,9,7,7,9,8,7,2,3,3,5,5,5,6,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,61.0,43.0,16.0,37.0,52.0,0.1142857142857142,0.1285714285714285,0.1025641025641025,0.1956521739130435,0.1111111111111111,0.0972222222222222,0.1111111111111111,0.0,0.1290322580645161,0.1044776119402985,0.0606060606060606,0.0,0.0576923076923076,0.0491803278688524,0.1162790697674418,0.3125,0.1351351351351351,0.1153846153846153,58.0,18.0,16.0,0.0,0.0,0.0,16,,82.0,5.125,0.0,84.30000000000001,5.268750000000001
11,12,6,2023-03-16,31-017,MIL,,IND,L (-16),0,16:19,4.0,4.0,1.000,1.0,1.0,1.000,1,2.0,.500,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,10.0,8.9,-4,3.0,3.0,1.0,4,9,8,9,7,7,9,8,7,2,3,3,5,5,5,6,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,61.0,43.0,16.0,37.0,52.0,0.1142857142857142,0.1285714285714285,0.1025641025641025,0.1956521739130435,0.1111111111111111,0.0972222222222222,0.1111111111111111,0.0,0.1290322580645161,0.1044776119402985,0.0606060606060606,0.0,0.0576923076923076,0.0491803278688524,0.1162790697674418,0.3125,0.1351351351351351,0.1153846153846153,58.0,18.0,16.0,0.0,0.0,0.0,16,7.0,33.0,2.0625,8.499999999999998,39.8,2.4875
12,13,,2023-03-19,31-020,MIL,,TOR,W (+7),Did Not Dress,Did Not Dress,0.0,0.0,Did Not Dress,,,Did Not Dress,Did Not Dress,0.0,Did Not Dress,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Dress,Did Not Dress,,,,4,9,8,9,7,7,9,8,7,2,3,3,5,5,5,6,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,61.0,43.0,16.0,37.0,52.0,0.1142857142857142,0.1285714285714285,0.1025641025641025,0.1956521739130435,0.1111111111111111,0.0972222222222222,0.1111111111111111,0.0,0.1290322580645161,0.1044776119402985,0.0606060606060606,0.0,0.0576923076923076,0.0491803278688524,0.1162790697674418,0.3125,0.1351351351351351,0.1153846153846153,58.0,18.0,16.0,0.0,0.0,0.0,16,,31.0,1.9375,0.0,44.2,2.7625
13,14,,2023-03-22,31-023,MIL,,SAS,W (+36),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,4,9,8,9,7,7,9,8,7,2,3,3,5,5,5,6,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,61.0,43.0,16.0,37.0,52.0,0.1142857142857142,0.1285714285714285,0.1025641025641025,0.1956521739130435,0.1111111111111111,0.0972222222222222,0.1111111111111111,0.0,0.1290322580645161,0.1044776119402985,0.0606060606060606,0.0,0.0576923076923076,0.0491803278688524,0.1162790697674418,0.3125,0.1351351351351351,0.1153846153846153,58.0,18.0,16.0,0.0,0.0,0.0,16,,65.0,4.0625,0.0,59.9,3.74375
14,15,,2023-03-24,31-025,MIL,@,UTA,W (+28),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,4,9,8,9,7,7,9,8,7,2,3,3,5,5,5,6,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,61.0,43.0,16.0,37.0,52.0,0.1142857142857142,0.1285714285714285,0.1025641025641025,0.1956521739130435,0.1111111111111111,0.0972222222222222,0.1111111111111111,0.0,0.1290322580645161,0.1044776119402985,0.0606060606060606,0.0,0.0576923076923076,0.0491803278688524,0.1162790697674418,0.3125,0.1351351351351351,0.1153846153846153,58.0,18.0,16.0,0.0,0.0,0.0,16,,54.0,3.375,0.0,58.1,3.63125
15,16,,2023-03-25,31-026,MIL,@,DEN,L (-23),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,4,9,8,9,7,7,9,8,7,2,3,3,5,5,5,6,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,61.0,43.0,16.0,37.0,52.0,0.1142857142857142,0.1285714285714285,0.1025641025641025,0.1956521739130435,0.1111111111111111,0.0972222222222222,0.1111111111111111,0.0,0.1290322580645161,0.1044776119402985,0.0606060606060606,0.0,0.0576923076923076,0.0491803278688524,0.1162790697674418,0.3125,0.1351351351351351,0.1153846153846153,58.0,18.0,16.0,0.0,0.0,0.0,16,,77.0,4.8125,0.0,92.4,5.775
16,17,,2023-03-27,31-028,MIL,@,DET,W (+9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,4,9,8,9,7,7,9,8,7,2,3,3,5,5,5,6,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,61.0,43.0,16.0,37.0,52.0,0.1142857142857142,0.1285714285714285,0.1025641025641025,0.1956521739130435,0.1111111111111111,0.0972222222222222,0.1111111111111111,0.0,0.1290322580645161,0.1044776119402985,0.0606060606060606,0.0,0.0576923076923076,0.0491803278688524,0.1162790697674418,0.3125,0.1351351351351351,0.1153846153846153,58.0,18.0,16.0,0.0,0.0,0.0,16,,75.0,4.6875,0.0,69.6,4.35
17,18,,2023-03-29,31-030,MIL,@,IND,W (+13),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,4,9,8,9,7,7,9,8,7,2,3,3,5,5,5,6,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,61.0,43.0,16.0,37.0,52.0,0.1142857142857142,0.1285714285714285,0.1025641025641025,0.1956521739130435,0.1111111111111111,0.0972222222222222,0.1111111111111111,0.0,0.1290322580645161,0.1044776119402985,0.0606060606060606,0.0,0.0576923076923076,0.0491803278688524,0.1162790697674418,0.3125,0.1351351351351351,0.1153846153846153,58.0,18.0,16.0,0.0,0.0,0.0,16,,77.0,4.8125,0.0,84.29999999999998,5.268749999999999
18,19,,2023-03-30,31-031,MIL,,BOS,L (-41),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,4,9,8,9,7,7,9,8,7,2,3,3,5,5,5,6,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,61.0,43.0,16.0,37.0,52.0,0.1142857142857142,0.1285714285714285,0.1025641025641025,0.1956521739130435,0.1111111111111111,0.0972222222222222,0.1111111111111111,0.0,0.1290322580645161,0.1044776119402985,0.0606060606060606,0.0,0.0576923076923076,0.0491803278688524,0.1162790697674418,0.3125,0.1351351351351351,0.1153846153846153,58.0,18.0,16.0,0.0,0.0,0.0,16,,76.0,4.75,0.0,93.2,5.825
19,20,,2023-04-02,31-034,MIL,,PHI,W (+13),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,4,9,8,9,7,7,9,8,7,2,3,3,5,5,5,6,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,61.0,43.0,16.0,37.0,52.0,0.1142857142857142,0.1285714285714285,0.1025641025641025,0.1956521739130435,0.1111111111111111,0.0972222222222222,0.1111111111111111,0.0,0.1290322580645161,0.1044776119402985,0.0606060606060606,0.0,0.0576923076923076,0.0491803278688524,0.1162790697674418,0.3125,0.1351351351351351,0.1153846153846153,58.0,18.0,16.0,0.0,0.0,0.0,16,,73.0,4.5625,0.0,80.1,5.00625
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,4,9,8,9,7,7,9,8,7,2,3,3,5,5,5,6,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,61.0,43.0,16.0,37.0,52.0,0.1142857142857142,0.1285714285714285,0.1025641025641025,0.1956521739130435,0.1111111111111111,0.0972222222222222,0.1111111111111111,0.0,0.1290322580645161,0.1044776119402985,0.0606060606060606,0.0,0.0576923076923076,0.0491803278688524,0.1162790697674418,0.3125,0.1351351351351351,0.1153846153846153,58.0,18.0,16.0,0.0,0.0,0.0,16,,0.0,0.0,0.0,0.0,0.0
21,21,,2023-04-04,31-036,MIL,@,WAS,W (+12),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,4,9,8,9,7,7,9,8,7,2,3,3,5,5,5,6,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,61.0,43.0,16.0,37.0,52.0,0.1142857142857142,0.1285714285714285,0.1025641025641025,0.1956521739130435,0.1111111111111111,0.0972222222222222,0.1111111111111111,0.0,0.1290322580645161,0.1044776119402985,0.0606060606060606,0.0,0.0576923076923076,0.0491803278688524,0.1162790697674418,0.3125,0.1351351351351351,0.1153846153846153,58.0,18.0,16.0,0.0,0.0,0.0,16,,83.0,5.1875,0.0,102.8,6.425
22,22,7,2023-04-05,31-037,MIL,,CHI,W (+13),0,6:31,0.0,2.0,.000,0.0,1.0,.000,0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,-0.8,-9,1.0,0.0,0.0,4,9,8,9,7,7,9,8,7,2,3,3,5,5,5,6,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,61.0,43.0,16.0,37.0,52.0,0.1142857142857142,0.1285714285714285,0.1025641025641025,0.1956521739130435,0.1111111111111111,0.0972222222222222,0.1111111111111111,0.0,0.1290322580645161,0.1044776119402985,0.0606060606060606,0.0,0.0576923076923076,0.0491803278688524,0.1162790697674418,0.3125,0.1351351351351351,0.1153846153846153,58.0,18.0,16.0,0.0,0.0,0.0,16,0.0,61.0,3.8125,-0.8,49.9,3.11875
23,23,8,2023-04-07,31-039,MIL,,MEM,L (-23),1,25:53,3.0,9.0,.333,1.0,5.0,.200,2,2.0,1.000,3.0,4.0,7.0,0.0,0.0,0.0,3.0,4.0,9.0,2.6,-4,4.0,2.0,0.5,4,9,8,9,7,7,9,8,7,2,3,3,5,5,5,6,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,61.0,43.0,16.0,37.0,52.0,0.1142857142857142,0.1285714285714285,0.1025641025641025,0.1956521739130435,0.1111111111111111,0.0972222222222222,0.1111111111111111,0.0,0.1290322580645161,0.1044776119402985,0.0606060606060606,0.0,0.0576923076923076,0.0491803278688524,0.1162790697674418,0.3125,0.1351351351351351,0.1153846153846153,58.0,18.0,16.0,0.0,0.0,0.0,16,2.0,53.0,3.3125,1.799999999999999,63.49999999999999,3.9687499999999996
24,24,9,2023-04-09,31-041,MIL,@,TOR,L (-16),1,30:35,3.0,4.0,.750,1.0,2.0,.500,3,3.0,1.000,5.0,7.0,12.0,1.0,1.0,0.0,1.0,3.0,10.0,13.5,-10,2.0,2.0,1.0,4,9,8,9,7,7,9,8,7,2,3,3,5,5,5,6,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,61.0,43.0,16.0,37.0,52.0,0.1142857142857142,0.1285714285714285,0.1025641025641025,0.1956521739130435,0.1111111111111111,0.0972222222222222,0.1111111111111111,0.0,0.1290322580645161,0.1044776119402985,0.0606060606060606,0.0,0.0576923076923076,0.0491803278688524,0.1162790697674418,0.3125,0.1351351351351351,0.1153846153846153,58.0,18.0,16.0,0.0,0.0,0.0,16,16.0,85.0,5.3125,12.3,102.0,6.375
