Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with A.J. Lawson,Shared Games with Anthony Edwards,Shared Games with Austin Rivers,Shared Games with Bryn Forbes,Shared Games with D'Angelo Russell,Shared Games with Jaden McDaniels,Shared Games with Jaylen Nowell,Shared Games with Josh Minott,Shared Games with Karl-Anthony Towns,Shared Games with Kyle Anderson,Shared Games with Luka Garza,Shared Games with Nathan Knight,Shared Games with Naz Reid,Shared Games with Rudy Gobert,Shared Games with Taurean Prince,Shared Games with Wendell Moore Jr.,A.J. Lawson,Anthony Edwards,Austin Rivers,Bryn Forbes,D'Angelo Russell,Jaden McDaniels,Jaylen Nowell,Josh Minott,Karl-Anthony Towns,Kyle Anderson,Luka Garza,Nathan Knight,Naz Reid,Rudy Gobert,Taurean Prince,Wendell Moore Jr.,co_inf with A.J. Lawson,co_inf with Anthony Edwards,co_inf with Austin Rivers,co_inf with Bryn Forbes,co_inf with D'Angelo Russell,co_inf with Jaden McDaniels,co_inf with Jaylen Nowell,co_inf with Josh Minott,co_inf with Karl-Anthony Towns,co_inf with Kyle Anderson,co_inf with Luka Garza,co_inf with Nathan Knight,co_inf with Naz Reid,co_inf with Rudy Gobert,co_inf with Taurean Prince,co_inf with Wendell Moore Jr.,Shared Games with Matt Ryan,Shared Games with Mike Conley,Shared Games with Nickeil Alexander-Walker,Matt Ryan,Mike Conley,Nickeil Alexander-Walker,Vit Krejci,co_inf with Matt Ryan,co_inf with Mike Conley,co_inf with Nickeil Alexander-Walker,co_inf with Vit Krejci,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,9,2022-11-07,26-212,MIN,,NYK,L (-13),0,15:50,1.0,4.0,.250,0.0,3.0,.000,2,2.0,1.000,0.0,1.0,1.0,4.0,0.0,1.0,2.0,2.0,4.0,2.6,-13,1.0,1.0,1.0,1,41,17,9,20,43,27,8,21,37,10,15,34,39,36,13,15.0,79.0,52.0,25.0,71.0,79.0,65.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.5189873417721519,0.3269230769230769,0.36,0.2816901408450704,0.5443037974683544,0.4153846153846154,0.5333333333333333,0.7241379310344828,0.5362318840579711,0.3571428571428571,0.3947368421052631,0.5,0.5571428571428572,0.6666666666666666,0.4482758620689655,5,22,21,34.0,67.0,59.0,29.0,0.1470588235294117,0.3283582089552239,0.3559322033898305,0.0,19,2.0,70.0,3.684210526315789,1.7999999999999998,77.9,4.1000000000000005
11,12,10,2022-11-09,26-214,MIN,,PHO,L (-12),0,6:58,0.0,1.0,.000,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-6,1.0,0.0,0.0,1,41,17,9,20,43,27,8,21,37,10,15,34,39,36,13,15.0,79.0,52.0,25.0,71.0,79.0,65.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.5189873417721519,0.3269230769230769,0.36,0.2816901408450704,0.5443037974683544,0.4153846153846154,0.5333333333333333,0.7241379310344828,0.5362318840579711,0.3571428571428571,0.3947368421052631,0.5,0.5571428571428572,0.6666666666666666,0.4482758620689655,5,22,21,34.0,67.0,59.0,29.0,0.1470588235294117,0.3283582089552239,0.3559322033898305,0.0,19,0.0,70.0,3.684210526315789,-0.3999999999999999,82.5,4.342105263157895
12,13,11,2022-11-11,26-216,MIN,@,MEM,L (-11),0,7:36,0.0,1.0,.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.7,0,1.0,0.0,0.0,1,41,17,9,20,43,27,8,21,37,10,15,34,39,36,13,15.0,79.0,52.0,25.0,71.0,79.0,65.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.5189873417721519,0.3269230769230769,0.36,0.2816901408450704,0.5443037974683544,0.4153846153846154,0.5333333333333333,0.7241379310344828,0.5362318840579711,0.3571428571428571,0.3947368421052631,0.5,0.5571428571428572,0.6666666666666666,0.4482758620689655,5,22,21,34.0,67.0,59.0,29.0,0.1470588235294117,0.3283582089552239,0.3559322033898305,0.0,19,1.0,72.0,3.789473684210526,0.7,84.00000000000001,4.421052631578948
13,14,12,2022-11-13,26-218,MIN,@,CLE,W (+5),0,14:31,1.0,4.0,.250,0.0,1.0,.000,0,0.0,,2.0,2.0,4.0,6.0,0.0,0.0,2.0,0.0,2.0,3.8,+7,3.0,1.0,0.3333333333333333,1,41,17,9,20,43,27,8,21,37,10,15,34,39,36,13,15.0,79.0,52.0,25.0,71.0,79.0,65.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.5189873417721519,0.3269230769230769,0.36,0.2816901408450704,0.5443037974683544,0.4153846153846154,0.5333333333333333,0.7241379310344828,0.5362318840579711,0.3571428571428571,0.3947368421052631,0.5,0.5571428571428572,0.6666666666666666,0.4482758620689655,5,22,21,34.0,67.0,59.0,29.0,0.1470588235294117,0.3283582089552239,0.3559322033898305,0.0,19,6.0,63.0,3.3157894736842106,3.799999999999998,69.4,3.6526315789473687
14,15,13,2022-11-16,26-221,MIN,@,ORL,W (+18),0,19:34,4.0,6.0,.667,1.0,3.0,.333,0,0.0,,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,9.0,12.5,+7,3.0,3.0,1.0,1,41,17,9,20,43,27,8,21,37,10,15,34,39,36,13,15.0,79.0,52.0,25.0,71.0,79.0,65.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.5189873417721519,0.3269230769230769,0.36,0.2816901408450704,0.5443037974683544,0.4153846153846154,0.5333333333333333,0.7241379310344828,0.5362318840579711,0.3571428571428571,0.3947368421052631,0.5,0.5571428571428572,0.6666666666666666,0.4482758620689655,5,22,21,34.0,67.0,59.0,29.0,0.1470588235294117,0.3283582089552239,0.3559322033898305,0.0,19,10.0,70.0,3.684210526315789,12.5,83.9,4.415789473684211
15,16,14,2022-11-19,26-224,MIN,@,PHI,W (+3),0,14:27,0.0,2.0,.000,0.0,2.0,.000,0,0.0,,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.4,+8,0.0,0.0,,1,41,17,9,20,43,27,8,21,37,10,15,34,39,36,13,15.0,79.0,52.0,25.0,71.0,79.0,65.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.5189873417721519,0.3269230769230769,0.36,0.2816901408450704,0.5443037974683544,0.4153846153846154,0.5333333333333333,0.7241379310344828,0.5362318840579711,0.3571428571428571,0.3947368421052631,0.5,0.5571428571428572,0.6666666666666666,0.4482758620689655,5,22,21,34.0,67.0,59.0,29.0,0.1470588235294117,0.3283582089552239,0.3559322033898305,0.0,19,1.0,67.0,3.526315789473684,0.3999999999999999,73.1,3.8473684210526313
16,17,15,2022-11-21,26-226,MIN,,MIA,W (+4),0,15:50,4.0,5.0,.800,4.0,5.0,.800,0,0.0,,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,12.0,14.2,+6,0.0,0.0,,1,41,17,9,20,43,27,8,21,37,10,15,34,39,36,13,15.0,79.0,52.0,25.0,71.0,79.0,65.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.5189873417721519,0.3269230769230769,0.36,0.2816901408450704,0.5443037974683544,0.4153846153846154,0.5333333333333333,0.7241379310344828,0.5362318840579711,0.3571428571428571,0.3947368421052631,0.5,0.5571428571428572,0.6666666666666666,0.4482758620689655,5,22,21,34.0,67.0,59.0,29.0,0.1470588235294117,0.3283582089552239,0.3559322033898305,0.0,19,12.0,63.0,3.3157894736842106,14.2,67.69999999999999,3.5631578947368414
17,18,,2022-11-23,26-228,MIN,@,IND,W (+14),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,41,17,9,20,43,27,8,21,37,10,15,34,39,36,13,15.0,79.0,52.0,25.0,71.0,79.0,65.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.5189873417721519,0.3269230769230769,0.36,0.2816901408450704,0.5443037974683544,0.4153846153846154,0.5333333333333333,0.7241379310344828,0.5362318840579711,0.3571428571428571,0.3947368421052631,0.5,0.5571428571428572,0.6666666666666666,0.4482758620689655,5,22,21,34.0,67.0,59.0,29.0,0.1470588235294117,0.3283582089552239,0.3559322033898305,0.0,19,,83.0,4.368421052631579,0.0,82.7,4.352631578947369
18,19,,2022-11-25,26-230,MIN,@,CHO,L (-2),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,41,17,9,20,43,27,8,21,37,10,15,34,39,36,13,15.0,79.0,52.0,25.0,71.0,79.0,65.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.5189873417721519,0.3269230769230769,0.36,0.2816901408450704,0.5443037974683544,0.4153846153846154,0.5333333333333333,0.7241379310344828,0.5362318840579711,0.3571428571428571,0.3947368421052631,0.5,0.5571428571428572,0.6666666666666666,0.4482758620689655,5,22,21,34.0,67.0,59.0,29.0,0.1470588235294117,0.3283582089552239,0.3559322033898305,0.0,19,,45.0,2.3684210526315788,0.0,51.49999999999999,2.7105263157894735
19,20,,2022-11-27,26-232,MIN,,GSW,L (-23),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,41,17,9,20,43,27,8,21,37,10,15,34,39,36,13,15.0,79.0,52.0,25.0,71.0,79.0,65.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.5189873417721519,0.3269230769230769,0.36,0.2816901408450704,0.5443037974683544,0.4153846153846154,0.5333333333333333,0.7241379310344828,0.5362318840579711,0.3571428571428571,0.3947368421052631,0.5,0.5571428571428572,0.6666666666666666,0.4482758620689655,5,22,21,34.0,67.0,59.0,29.0,0.1470588235294117,0.3283582089552239,0.3559322033898305,0.0,19,,35.0,1.8421052631578947,0.0,57.1,3.005263157894737
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,1,41,17,9,20,43,27,8,21,37,10,15,34,39,36,13,15.0,79.0,52.0,25.0,71.0,79.0,65.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.5189873417721519,0.3269230769230769,0.36,0.2816901408450704,0.5443037974683544,0.4153846153846154,0.5333333333333333,0.7241379310344828,0.5362318840579711,0.3571428571428571,0.3947368421052631,0.5,0.5571428571428572,0.6666666666666666,0.4482758620689655,5,22,21,34.0,67.0,59.0,29.0,0.1470588235294117,0.3283582089552239,0.3559322033898305,0.0,19,,0.0,0.0,0.0,0.0,0.0
21,21,,2022-11-28,26-233,MIN,@,WAS,L (-15),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,41,17,9,20,43,27,8,21,37,10,15,34,39,36,13,15.0,79.0,52.0,25.0,71.0,79.0,65.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.5189873417721519,0.3269230769230769,0.36,0.2816901408450704,0.5443037974683544,0.4153846153846154,0.5333333333333333,0.7241379310344828,0.5362318840579711,0.3571428571428571,0.3947368421052631,0.5,0.5571428571428572,0.6666666666666666,0.4482758620689655,5,22,21,34.0,67.0,59.0,29.0,0.1470588235294117,0.3283582089552239,0.3559322033898305,0.0,19,,58.0,3.0526315789473686,0.0,79.8,4.2
22,22,,2022-11-30,26-235,MIN,,MEM,W (+8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,41,17,9,20,43,27,8,21,37,10,15,34,39,36,13,15.0,79.0,52.0,25.0,71.0,79.0,65.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.5189873417721519,0.3269230769230769,0.36,0.2816901408450704,0.5443037974683544,0.4153846153846154,0.5333333333333333,0.7241379310344828,0.5362318840579711,0.3571428571428571,0.3947368421052631,0.5,0.5571428571428572,0.6666666666666666,0.4482758620689655,5,22,21,34.0,67.0,59.0,29.0,0.1470588235294117,0.3283582089552239,0.3559322033898305,0.0,19,,63.0,3.3157894736842106,0.0,79.89999999999999,4.205263157894737
23,23,16,2022-12-03,26-238,MIN,,OKC,L (-7),0,24:20,2.0,7.0,.286,1.0,3.0,.333,3,3.0,1.000,2.0,3.0,5.0,4.0,2.0,1.0,2.0,0.0,8.0,9.7,+6,4.0,1.0,0.25,1,41,17,9,20,43,27,8,21,37,10,15,34,39,36,13,15.0,79.0,52.0,25.0,71.0,79.0,65.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.5189873417721519,0.3269230769230769,0.36,0.2816901408450704,0.5443037974683544,0.4153846153846154,0.5333333333333333,0.7241379310344828,0.5362318840579711,0.3571428571428571,0.3947368421052631,0.5,0.5571428571428572,0.6666666666666666,0.4482758620689655,5,22,21,34.0,67.0,59.0,29.0,0.1470588235294117,0.3283582089552239,0.3559322033898305,0.0,19,8.0,66.0,3.473684210526316,8.500000000000004,71.3,3.7526315789473683
24,24,17,2022-12-07,26-242,MIN,,IND,W (+6),0,21:40,3.0,5.0,.600,0.0,1.0,.000,0,0.0,,1.0,0.0,1.0,4.0,1.0,0.0,3.0,1.0,6.0,4.8,+9,4.0,3.0,0.75,1,41,17,9,20,43,27,8,21,37,10,15,34,39,36,13,15.0,79.0,52.0,25.0,71.0,79.0,65.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.5189873417721519,0.3269230769230769,0.36,0.2816901408450704,0.5443037974683544,0.4153846153846154,0.5333333333333333,0.7241379310344828,0.5362318840579711,0.3571428571428571,0.3947368421052631,0.5,0.5571428571428572,0.6666666666666666,0.4482758620689655,5,22,21,34.0,67.0,59.0,29.0,0.1470588235294117,0.3283582089552239,0.3559322033898305,0.0,19,4.0,66.0,3.473684210526316,4.799999999999999,74.90000000000002,3.9421052631578957
25,25,18,2022-12-09,26-244,MIN,@,UTA,W (+10),0,4:17,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,+1,0.0,0.0,,1,41,17,9,20,43,27,8,21,37,10,15,34,39,36,13,15.0,79.0,52.0,25.0,71.0,79.0,65.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.5189873417721519,0.3269230769230769,0.36,0.2816901408450704,0.5443037974683544,0.4153846153846154,0.5333333333333333,0.7241379310344828,0.5362318840579711,0.3571428571428571,0.3947368421052631,0.5,0.5571428571428572,0.6666666666666666,0.4482758620689655,5,22,21,34.0,67.0,59.0,29.0,0.1470588235294117,0.3283582089552239,0.3559322033898305,0.0,19,0.0,67.0,3.526315789473684,0.0,66.6,3.5052631578947366
26,26,,2022-12-10,26-245,MIN,@,POR,L (-6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,41,17,9,20,43,27,8,21,37,10,15,34,39,36,13,15.0,79.0,52.0,25.0,71.0,79.0,65.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.5189873417721519,0.3269230769230769,0.36,0.2816901408450704,0.5443037974683544,0.4153846153846154,0.5333333333333333,0.7241379310344828,0.5362318840579711,0.3571428571428571,0.3947368421052631,0.5,0.5571428571428572,0.6666666666666666,0.4482758620689655,5,22,21,34.0,67.0,59.0,29.0,0.1470588235294117,0.3283582089552239,0.3559322033898305,0.0,19,,57.0,3.0,0.0,72.00000000000001,3.789473684210527
