Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with A.J. Lawson,Shared Games with Anthony Edwards,Shared Games with Austin Rivers,Shared Games with D'Angelo Russell,Shared Games with Jaden McDaniels,Shared Games with Jaylen Nowell,Shared Games with Jordan McLaughlin,Shared Games with Josh Minott,Shared Games with Karl-Anthony Towns,Shared Games with Kyle Anderson,Shared Games with Luka Garza,Shared Games with Nathan Knight,Shared Games with Naz Reid,Shared Games with Rudy Gobert,Shared Games with Taurean Prince,Shared Games with Wendell Moore Jr.,A.J. Lawson,Anthony Edwards,Austin Rivers,D'Angelo Russell,Jaden McDaniels,Jaylen Nowell,Jordan McLaughlin,Josh Minott,Karl-Anthony Towns,Kyle Anderson,Luka Garza,Nathan Knight,Naz Reid,Rudy Gobert,Taurean Prince,Wendell Moore Jr.,co_inf with A.J. Lawson,co_inf with Anthony Edwards,co_inf with Austin Rivers,co_inf with D'Angelo Russell,co_inf with Jaden McDaniels,co_inf with Jaylen Nowell,co_inf with Jordan McLaughlin,co_inf with Josh Minott,co_inf with Karl-Anthony Towns,co_inf with Kyle Anderson,co_inf with Luka Garza,co_inf with Nathan Knight,co_inf with Naz Reid,co_inf with Rudy Gobert,co_inf with Taurean Prince,co_inf with Wendell Moore Jr.,Shared Games with Matt Ryan,Shared Games with Mike Conley,Shared Games with Nickeil Alexander-Walker,Matt Ryan,Mike Conley,Nickeil Alexander-Walker,Vit Krejci,co_inf with Matt Ryan,co_inf with Mike Conley,co_inf with Nickeil Alexander-Walker,co_inf with Vit Krejci,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
11.0,7.0,2022-11-07,29-107,MIN,NYK,0,8.8,1.0,3.0,.333,1.0,3.0,.333,0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,2.0,0,0.0,0.0,,1,25,19,22,22,25,9,8,11,13,8,16,22,20,13,13,15.0,79.0,52.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.3164556962025316,0.3653846153846153,0.3098591549295774,0.2784810126582278,0.3846153846153846,0.2093023255813953,0.5333333333333333,0.3793103448275862,0.1884057971014492,0.2857142857142857,0.4210526315789473,0.3235294117647059,0.2857142857142857,0.2407407407407407,0.4482758620689655,6,2,1,34.0,67.0,59.0,29.0,0.1764705882352941,0.0298507462686567,0.0169491525423728,0.0,19,1.0,71.0,3.736842105263158,2.000000000000001,77.69999999999999,4.0894736842105255,0.009374341689488,L (-13),L (-13)
12.0,,2022-11-09,29-109,MIN,PHO,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,25,19,22,22,25,9,8,11,13,8,16,22,20,13,13,15.0,79.0,52.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.3164556962025316,0.3653846153846153,0.3098591549295774,0.2784810126582278,0.3846153846153846,0.2093023255813953,0.5333333333333333,0.3793103448275862,0.1884057971014492,0.2857142857142857,0.4210526315789473,0.3235294117647059,0.2857142857142857,0.2407407407407407,0.4482758620689655,6,2,1,34.0,67.0,59.0,29.0,0.1764705882352941,0.0298507462686567,0.0169491525423728,0.0,19,,70.0,3.684210526315789,0.0,82.1,4.321052631578947,0.009374341689488,L (-12),L (-12)
13.0,8.0,2022-11-11,29-111,MIN,MEM,0,18.133333333333333,4.0,8.0,.500,2.0,3.0,.667,0,0.0,,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,10.0,10.7,-5,5.0,2.0,0.4,1,25,19,22,22,25,9,8,11,13,8,16,22,20,13,13,15.0,79.0,52.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.3164556962025316,0.3653846153846153,0.3098591549295774,0.2784810126582278,0.3846153846153846,0.2093023255813953,0.5333333333333333,0.3793103448275862,0.1884057971014492,0.2857142857142857,0.4210526315789473,0.3235294117647059,0.2857142857142857,0.2407407407407407,0.4482758620689655,6,2,1,34.0,67.0,59.0,29.0,0.1764705882352941,0.0298507462686567,0.0169491525423728,0.0,19,8.0,65.0,3.421052631578948,10.7,74.0,3.8947368421052633,0.009374341689488,L (-11),L (-11)
14.0,,2022-11-13,29-113,MIN,CLE,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,25,19,22,22,25,9,8,11,13,8,16,22,20,13,13,15.0,79.0,52.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.3164556962025316,0.3653846153846153,0.3098591549295774,0.2784810126582278,0.3846153846153846,0.2093023255813953,0.5333333333333333,0.3793103448275862,0.1884057971014492,0.2857142857142857,0.4210526315789473,0.3235294117647059,0.2857142857142857,0.2407407407407407,0.4482758620689655,6,2,1,34.0,67.0,59.0,29.0,0.1764705882352941,0.0298507462686567,0.0169491525423728,0.0,19,,69.0,3.631578947368421,0.0,73.2,3.852631578947368,0.009374341689488,W (+5),W (+5)
15.0,,2022-11-16,29-116,MIN,ORL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,25,19,22,22,25,9,8,11,13,8,16,22,20,13,13,15.0,79.0,52.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.3164556962025316,0.3653846153846153,0.3098591549295774,0.2784810126582278,0.3846153846153846,0.2093023255813953,0.5333333333333333,0.3793103448275862,0.1884057971014492,0.2857142857142857,0.4210526315789473,0.3235294117647059,0.2857142857142857,0.2407407407407407,0.4482758620689655,6,2,1,34.0,67.0,59.0,29.0,0.1764705882352941,0.0298507462686567,0.0169491525423728,0.0,19,,80.0,4.2105263157894735,0.0,96.4,5.0736842105263165,0.009374341689488,W (+18),W (+18)
16.0,,2022-11-19,29-119,MIN,PHI,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,25,19,22,22,25,9,8,11,13,8,16,22,20,13,13,15.0,79.0,52.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.3164556962025316,0.3653846153846153,0.3098591549295774,0.2784810126582278,0.3846153846153846,0.2093023255813953,0.5333333333333333,0.3793103448275862,0.1884057971014492,0.2857142857142857,0.4210526315789473,0.3235294117647059,0.2857142857142857,0.2407407407407407,0.4482758620689655,6,2,1,34.0,67.0,59.0,29.0,0.1764705882352941,0.0298507462686567,0.0169491525423728,0.0,19,,68.0,3.5789473684210527,0.0,73.49999999999999,3.8684210526315774,0.009374341689488,W (+3),W (+3)
17.0,9.0,2022-11-21,29-121,MIN,MIA,0,4.183333333333334,0.0,2.0,.000,0.0,2.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.8,0,0.0,0.0,,1,25,19,22,22,25,9,8,11,13,8,16,22,20,13,13,15.0,79.0,52.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.3164556962025316,0.3653846153846153,0.3098591549295774,0.2784810126582278,0.3846153846153846,0.2093023255813953,0.5333333333333333,0.3793103448275862,0.1884057971014492,0.2857142857142857,0.4210526315789473,0.3235294117647059,0.2857142857142857,0.2407407407407407,0.4482758620689655,6,2,1,34.0,67.0,59.0,29.0,0.1764705882352941,0.0298507462686567,0.0169491525423728,0.0,19,-2.0,77.0,4.052631578947368,-1.7999999999999998,83.69999999999999,4.405263157894736,0.009374341689488,W (+4),W (+4)
18.0,,2022-11-23,29-123,MIN,IND,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,25,19,22,22,25,9,8,11,13,8,16,22,20,13,13,15.0,79.0,52.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.3164556962025316,0.3653846153846153,0.3098591549295774,0.2784810126582278,0.3846153846153846,0.2093023255813953,0.5333333333333333,0.3793103448275862,0.1884057971014492,0.2857142857142857,0.4210526315789473,0.3235294117647059,0.2857142857142857,0.2407407407407407,0.4482758620689655,6,2,1,34.0,67.0,59.0,29.0,0.1764705882352941,0.0298507462686567,0.0169491525423728,0.0,19,,83.0,4.368421052631579,0.0,82.7,4.352631578947369,0.009374341689488,W (+14),W (+14)
19.0,,2022-11-25,29-125,MIN,CHO,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,25,19,22,22,25,9,8,11,13,8,16,22,20,13,13,15.0,79.0,52.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.3164556962025316,0.3653846153846153,0.3098591549295774,0.2784810126582278,0.3846153846153846,0.2093023255813953,0.5333333333333333,0.3793103448275862,0.1884057971014492,0.2857142857142857,0.4210526315789473,0.3235294117647059,0.2857142857142857,0.2407407407407407,0.4482758620689655,6,2,1,34.0,67.0,59.0,29.0,0.1764705882352941,0.0298507462686567,0.0169491525423728,0.0,19,,45.0,2.3684210526315788,0.0,51.49999999999999,2.710526315789473,0.009374341689488,L (-2),L (-2)
20.0,10.0,2022-11-27,29-127,MIN,GSW,0,17.033333333333335,4.0,8.0,.500,1.0,4.0,.250,1,1.0,1.000,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,10.0,5.3,+9,4.0,3.0,0.75,1,25,19,22,22,25,9,8,11,13,8,16,22,20,13,13,15.0,79.0,52.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.3164556962025316,0.3653846153846153,0.3098591549295774,0.2784810126582278,0.3846153846153846,0.2093023255813953,0.5333333333333333,0.3793103448275862,0.1884057971014492,0.2857142857142857,0.4210526315789473,0.3235294117647059,0.2857142857142857,0.2407407407407407,0.4482758620689655,6,2,1,34.0,67.0,59.0,29.0,0.1764705882352941,0.0298507462686567,0.0169491525423728,0.0,19,1.0,34.0,1.7894736842105263,4.899999999999999,52.19999999999999,2.747368421052631,0.009374341689488,L (-23),L (-23)
21.0,11.0,2022-11-28,29-128,MIN,WAS,0,11.816666666666666,1.0,4.0,.250,1.0,3.0,.333,2,2.0,1.000,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,2.5,+4,1.0,0.0,0.0,1,25,19,22,22,25,9,8,11,13,8,16,22,20,13,13,15.0,79.0,52.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.3164556962025316,0.3653846153846153,0.3098591549295774,0.2784810126582278,0.3846153846153846,0.2093023255813953,0.5333333333333333,0.3793103448275862,0.1884057971014492,0.2857142857142857,0.4210526315789473,0.3235294117647059,0.2857142857142857,0.2407407407407407,0.4482758620689655,6,2,1,34.0,67.0,59.0,29.0,0.1764705882352941,0.0298507462686567,0.0169491525423728,0.0,19,0.0,58.0,3.0526315789473686,1.7000000000000006,78.1,4.110526315789474,0.009374341689488,,
22.0,12.0,2022-11-30,29-130,MIN,MEM,0,4.033333333333333,1.0,2.0,.500,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,-0.4,-6,1.0,1.0,1.0,1,25,19,22,22,25,9,8,11,13,8,16,22,20,13,13,15.0,79.0,52.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.3164556962025316,0.3653846153846153,0.3098591549295774,0.2784810126582278,0.3846153846153846,0.2093023255813953,0.5333333333333333,0.3793103448275862,0.1884057971014492,0.2857142857142857,0.4210526315789473,0.3235294117647059,0.2857142857142857,0.2407407407407407,0.4482758620689655,6,2,1,34.0,67.0,59.0,29.0,0.1764705882352941,0.0298507462686567,0.0169491525423728,0.0,19,-1.0,64.0,3.3684210526315788,-0.4,80.3,4.226315789473684,0.009374341689488,L (-15),L (-15)
23.0,,2022-12-03,29-133,MIN,OKC,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,25,19,22,22,25,9,8,11,13,8,16,22,20,13,13,15.0,79.0,52.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.3164556962025316,0.3653846153846153,0.3098591549295774,0.2784810126582278,0.3846153846153846,0.2093023255813953,0.5333333333333333,0.3793103448275862,0.1884057971014492,0.2857142857142857,0.4210526315789473,0.3235294117647059,0.2857142857142857,0.2407407407407407,0.4482758620689655,6,2,1,34.0,67.0,59.0,29.0,0.1764705882352941,0.0298507462686567,0.0169491525423728,0.0,19,,74.0,3.8947368421052633,0.0,79.8,4.2,0.009374341689488,W (+8),W (+8)
24.0,,2022-12-07,29-137,MIN,IND,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,25,19,22,22,25,9,8,11,13,8,16,22,20,13,13,15.0,79.0,52.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.3164556962025316,0.3653846153846153,0.3098591549295774,0.2784810126582278,0.3846153846153846,0.2093023255813953,0.5333333333333333,0.3793103448275862,0.1884057971014492,0.2857142857142857,0.4210526315789473,0.3235294117647059,0.2857142857142857,0.2407407407407407,0.4482758620689655,6,2,1,34.0,67.0,59.0,29.0,0.1764705882352941,0.0298507462686567,0.0169491525423728,0.0,19,,70.0,3.684210526315789,0.0,79.70000000000002,4.194736842105264,0.009374341689488,L (-7),L (-7)
25.0,,2022-12-09,29-139,MIN,UTA,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,25,19,22,22,25,9,8,11,13,8,16,22,20,13,13,15.0,79.0,52.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.3164556962025316,0.3653846153846153,0.3098591549295774,0.2784810126582278,0.3846153846153846,0.2093023255813953,0.5333333333333333,0.3793103448275862,0.1884057971014492,0.2857142857142857,0.4210526315789473,0.3235294117647059,0.2857142857142857,0.2407407407407407,0.4482758620689655,6,2,1,34.0,67.0,59.0,29.0,0.1764705882352941,0.0298507462686567,0.0169491525423728,0.0,19,,67.0,3.526315789473684,0.0,66.6,3.5052631578947366,0.009374341689488,W (+6),W (+6)
