Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alec Burks,Shared Games with Bojan Bogdanović,Shared Games with Braxton Key,Shared Games with Cade Cunningham,Shared Games with Cory Joseph,Shared Games with Hamidou Diallo,Shared Games with Isaiah Livers,Shared Games with Isaiah Stewart,Shared Games with Jaden Ivey,Shared Games with Jalen Duren,Shared Games with Kevin Knox,Shared Games with Killian Hayes,Shared Games with Marvin Bagley III,Shared Games with Nerlens Noel,Shared Games with Rodney McGruder,Shared Games with Saddiq Bey,Alec Burks,Bojan Bogdanović,Braxton Key,Buddy Boeheim,Cade Cunningham,Cory Joseph,Hamidou Diallo,Isaiah Livers,Isaiah Stewart,Jaden Ivey,Jalen Duren,Kevin Knox,Killian Hayes,Marvin Bagley III,Nerlens Noel,Rodney McGruder,Saddiq Bey,Stanley Umude,co_inf with Alec Burks,co_inf with Bojan Bogdanović,co_inf with Braxton Key,co_inf with Buddy Boeheim,co_inf with Cade Cunningham,co_inf with Cory Joseph,co_inf with Hamidou Diallo,co_inf with Isaiah Livers,co_inf with Isaiah Stewart,co_inf with Jaden Ivey,co_inf with Jalen Duren,co_inf with Kevin Knox,co_inf with Killian Hayes,co_inf with Marvin Bagley III,co_inf with Nerlens Noel,co_inf with Rodney McGruder,co_inf with Saddiq Bey,co_inf with Stanley Umude,Eugene Omoruyi,Frank Kaminsky,James Wiseman,R.J. Hampton,co_inf with Eugene Omoruyi,co_inf with Frank Kaminsky,co_inf with James Wiseman,co_inf with R.J. Hampton,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,,2023-01-13,23-139,DET,NOP,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,13,12,1,1,10,10,4,11,14,8,12,12,7,5,8,14,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.2549019607843137,0.2033898305084746,0.3333333333333333,0.0,0.0833333333333333,0.1612903225806451,0.1785714285714285,0.0769230769230769,0.22,0.1891891891891892,0.1194029850746268,0.1904761904761904,0.1578947368421052,0.1666666666666666,0.2941176470588235,0.25,0.1818181818181818,0.0,40.0,36.0,45.0,47.0,0.0,0.0,0.0,0.0,16,,59.0,3.6875,0.0,63.19999999999999,3.9499999999999993,6.5,0.1,-6.1,-5.0,-1.1,0.0049751243781094,0.482,0.455,0.136,-0.2,0.0,L (-6),L (-6)
12.0,,2023-01-15,23-141,DET,NYK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,13,12,1,1,10,10,4,11,14,8,12,12,7,5,8,14,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.2549019607843137,0.2033898305084746,0.3333333333333333,0.0,0.0833333333333333,0.1612903225806451,0.1785714285714285,0.0769230769230769,0.22,0.1891891891891892,0.1194029850746268,0.1904761904761904,0.1578947368421052,0.1666666666666666,0.2941176470588235,0.25,0.1818181818181818,0.0,40.0,36.0,45.0,47.0,0.0,0.0,0.0,0.0,16,,61.0,3.8125,0.0,80.3,5.01875,6.5,0.1,-6.1,-5.0,-1.1,0.0049751243781094,0.482,0.455,0.136,-0.2,0.0,L (-13),L (-13)
13.0,,2023-01-19,23-145,DET,CHI,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,13,12,1,1,10,10,4,11,14,8,12,12,7,5,8,14,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.2549019607843137,0.2033898305084746,0.3333333333333333,0.0,0.0833333333333333,0.1612903225806451,0.1785714285714285,0.0769230769230769,0.22,0.1891891891891892,0.1194029850746268,0.1904761904761904,0.1578947368421052,0.1666666666666666,0.2941176470588235,0.25,0.1818181818181818,0.0,40.0,36.0,45.0,47.0,0.0,0.0,0.0,0.0,16,,64.0,4.0,0.0,80.8,5.05,6.5,0.1,-6.1,-5.0,-1.1,0.0049751243781094,0.482,0.455,0.136,-0.2,0.0,L (-18),L (-18)
14.0,,2023-01-23,23-149,DET,MIL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,13,12,1,1,10,10,4,11,14,8,12,12,7,5,8,14,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.2549019607843137,0.2033898305084746,0.3333333333333333,0.0,0.0833333333333333,0.1612903225806451,0.1785714285714285,0.0769230769230769,0.22,0.1891891891891892,0.1194029850746268,0.1904761904761904,0.1578947368421052,0.1666666666666666,0.2941176470588235,0.25,0.1818181818181818,0.0,40.0,36.0,45.0,47.0,0.0,0.0,0.0,0.0,16,,68.0,4.25,0.0,75.89999999999998,4.743749999999999,6.5,0.1,-6.1,-5.0,-1.1,0.0049751243781094,0.482,0.455,0.136,-0.2,0.0,L (-20),L (-20)
15.0,,2023-01-26,23-152,DET,BRK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,13,12,1,1,10,10,4,11,14,8,12,12,7,5,8,14,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.2549019607843137,0.2033898305084746,0.3333333333333333,0.0,0.0833333333333333,0.1612903225806451,0.1785714285714285,0.0769230769230769,0.22,0.1891891891891892,0.1194029850746268,0.1904761904761904,0.1578947368421052,0.1666666666666666,0.2941176470588235,0.25,0.1818181818181818,0.0,40.0,36.0,45.0,47.0,0.0,0.0,0.0,0.0,16,,41.0,2.5625,0.0,65.2,4.075,6.5,0.1,-6.1,-5.0,-1.1,0.0049751243781094,0.482,0.455,0.136,-0.2,0.0,W (+8),W (+8)
16.0,,2023-01-28,23-154,DET,HOU,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,13,12,1,1,10,10,4,11,14,8,12,12,7,5,8,14,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.2549019607843137,0.2033898305084746,0.3333333333333333,0.0,0.0833333333333333,0.1612903225806451,0.1785714285714285,0.0769230769230769,0.22,0.1891891891891892,0.1194029850746268,0.1904761904761904,0.1578947368421052,0.1666666666666666,0.2941176470588235,0.25,0.1818181818181818,0.0,40.0,36.0,45.0,47.0,0.0,0.0,0.0,0.0,16,,28.0,1.75,0.0,40.0,2.5,6.5,0.1,-6.1,-5.0,-1.1,0.0049751243781094,0.482,0.455,0.136,-0.2,0.0,L (-3),L (-3)
17.0,,2023-01-30,23-156,DET,DAL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,13,12,1,1,10,10,4,11,14,8,12,12,7,5,8,14,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.2549019607843137,0.2033898305084746,0.3333333333333333,0.0,0.0833333333333333,0.1612903225806451,0.1785714285714285,0.0769230769230769,0.22,0.1891891891891892,0.1194029850746268,0.1904761904761904,0.1578947368421052,0.1666666666666666,0.2941176470588235,0.25,0.1818181818181818,0.0,40.0,36.0,45.0,47.0,0.0,0.0,0.0,0.0,16,,60.0,3.75,0.0,91.1,5.69375,6.5,0.1,-6.1,-5.0,-1.1,0.0049751243781094,0.482,0.455,0.136,-0.2,0.0,L (-6),L (-6)
18.0,,2023-02-03,23-160,DET,CHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,13,12,1,1,10,10,4,11,14,8,12,12,7,5,8,14,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.2549019607843137,0.2033898305084746,0.3333333333333333,0.0,0.0833333333333333,0.1612903225806451,0.1785714285714285,0.0769230769230769,0.22,0.1891891891891892,0.1194029850746268,0.1904761904761904,0.1578947368421052,0.1666666666666666,0.2941176470588235,0.25,0.1818181818181818,0.0,40.0,36.0,45.0,47.0,0.0,0.0,0.0,0.0,16,,61.0,3.8125,0.0,85.39999999999998,5.337499999999999,6.5,0.1,-6.1,-5.0,-1.1,0.0049751243781094,0.482,0.455,0.136,-0.2,0.0,W (+6),W (+6)
19.0,,2023-02-04,23-161,DET,PHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,13,12,1,1,10,10,4,11,14,8,12,12,7,5,8,14,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.2549019607843137,0.2033898305084746,0.3333333333333333,0.0,0.0833333333333333,0.1612903225806451,0.1785714285714285,0.0769230769230769,0.22,0.1891891891891892,0.1194029850746268,0.1904761904761904,0.1578947368421052,0.1666666666666666,0.2941176470588235,0.25,0.1818181818181818,0.0,40.0,36.0,45.0,47.0,0.0,0.0,0.0,0.0,16,,61.0,3.8125,0.0,73.30000000000001,4.581250000000001,6.5,0.1,-6.1,-5.0,-1.1,0.0049751243781094,0.482,0.455,0.136,-0.2,0.0,L (-16),L (-16)
20.0,,2023-02-06,23-163,DET,BOS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,13,12,1,1,10,10,4,11,14,8,12,12,7,5,8,14,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.2549019607843137,0.2033898305084746,0.3333333333333333,0.0,0.0833333333333333,0.1612903225806451,0.1785714285714285,0.0769230769230769,0.22,0.1891891891891892,0.1194029850746268,0.1904761904761904,0.1578947368421052,0.1666666666666666,0.2941176470588235,0.25,0.1818181818181818,0.0,40.0,36.0,45.0,47.0,0.0,0.0,0.0,0.0,16,,74.0,4.625,0.0,92.99999999999996,5.812499999999997,6.5,0.1,-6.1,-5.0,-1.1,0.0049751243781094,0.482,0.455,0.136,-0.2,0.0,L (-12),L (-12)
21.0,,2023-02-08,23-165,DET,CLE,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,13,12,1,1,10,10,4,11,14,8,12,12,7,5,8,14,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.2549019607843137,0.2033898305084746,0.3333333333333333,0.0,0.0833333333333333,0.1612903225806451,0.1785714285714285,0.0769230769230769,0.22,0.1891891891891892,0.1194029850746268,0.1904761904761904,0.1578947368421052,0.1666666666666666,0.2941176470588235,0.25,0.1818181818181818,0.0,40.0,36.0,45.0,47.0,0.0,0.0,0.0,0.0,16,,47.0,2.9375,0.0,57.79999999999999,3.6125,6.5,0.1,-6.1,-5.0,-1.1,0.0049751243781094,0.482,0.455,0.136,-0.2,0.0,,
22.0,,2023-02-10,23-167,DET,SAS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,13,12,1,1,10,10,4,11,14,8,12,12,7,5,8,14,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.2549019607843137,0.2033898305084746,0.3333333333333333,0.0,0.0833333333333333,0.1612903225806451,0.1785714285714285,0.0769230769230769,0.22,0.1891891891891892,0.1194029850746268,0.1904761904761904,0.1578947368421052,0.1666666666666666,0.2941176470588235,0.25,0.1818181818181818,0.0,40.0,36.0,45.0,47.0,0.0,0.0,0.0,0.0,16,,39.0,2.4375,0.0,49.90000000000001,3.118750000000001,6.5,0.1,-6.1,-5.0,-1.1,0.0049751243781094,0.482,0.455,0.136,-0.2,0.0,L (-28),L (-28)
23.0,,2023-02-12,23-169,DET,TOR,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,13,12,1,1,10,10,4,11,14,8,12,12,7,5,8,14,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.2549019607843137,0.2033898305084746,0.3333333333333333,0.0,0.0833333333333333,0.1612903225806451,0.1785714285714285,0.0769230769230769,0.22,0.1891891891891892,0.1194029850746268,0.1904761904761904,0.1578947368421052,0.1666666666666666,0.2941176470588235,0.25,0.1818181818181818,0.0,40.0,36.0,45.0,47.0,0.0,0.0,0.0,0.0,16,,58.0,3.625,0.0,70.6,4.4125,6.5,0.1,-6.1,-5.0,-1.1,0.0049751243781094,0.482,0.455,0.136,-0.2,0.0,W (+7),W (+7)
24.0,,2023-02-15,23-172,DET,BOS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,13,12,1,1,10,10,4,11,14,8,12,12,7,5,8,14,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.2549019607843137,0.2033898305084746,0.3333333333333333,0.0,0.0833333333333333,0.1612903225806451,0.1785714285714285,0.0769230769230769,0.22,0.1891891891891892,0.1194029850746268,0.1904761904761904,0.1578947368421052,0.1666666666666666,0.2941176470588235,0.25,0.1818181818181818,0.0,40.0,36.0,45.0,47.0,0.0,0.0,0.0,0.0,16,,86.0,5.375,0.0,100.40000000000002,6.275000000000001,6.5,0.1,-6.1,-5.0,-1.1,0.0049751243781094,0.482,0.455,0.136,-0.2,0.0,L (-1),L (-1)
25.0,,2023-02-23,23-180,DET,ORL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,13,12,1,1,10,10,4,11,14,8,12,12,7,5,8,14,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.2549019607843137,0.2033898305084746,0.3333333333333333,0.0,0.0833333333333333,0.1612903225806451,0.1785714285714285,0.0769230769230769,0.22,0.1891891891891892,0.1194029850746268,0.1904761904761904,0.1578947368421052,0.1666666666666666,0.2941176470588235,0.25,0.1818181818181818,0.0,40.0,36.0,45.0,47.0,0.0,0.0,0.0,0.0,16,,64.0,4.0,0.0,70.1,4.38125,6.5,0.1,-6.1,-5.0,-1.1,0.0049751243781094,0.482,0.455,0.136,-0.2,0.0,L (-18),L (-18)
26.0,,2023-02-25,23-182,DET,TOR,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,13,12,1,1,10,10,4,11,14,8,12,12,7,5,8,14,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.2549019607843137,0.2033898305084746,0.3333333333333333,0.0,0.0833333333333333,0.1612903225806451,0.1785714285714285,0.0769230769230769,0.22,0.1891891891891892,0.1194029850746268,0.1904761904761904,0.1578947368421052,0.1666666666666666,0.2941176470588235,0.25,0.1818181818181818,0.0,40.0,36.0,45.0,47.0,0.0,0.0,0.0,0.0,16,,70.0,4.375,0.0,79.2,4.95,6.5,0.1,-6.1,-5.0,-1.1,0.0049751243781094,0.482,0.455,0.136,-0.2,0.0,L (-2),L (-2)
