Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alec Burks,Shared Games with Bojan Bogdanović,Shared Games with Braxton Key,Shared Games with Buddy Boeheim,Shared Games with Cade Cunningham,Shared Games with Cory Joseph,Shared Games with Hamidou Diallo,Shared Games with Isaiah Stewart,Shared Games with Jaden Ivey,Shared Games with Jalen Duren,Shared Games with Jared Rhoden,Shared Games with Kevin Knox,Shared Games with Killian Hayes,Shared Games with Marvin Bagley III,Shared Games with Nerlens Noel,Shared Games with Rodney McGruder,Shared Games with Saddiq Bey,Alec Burks,Bojan Bogdanović,Braxton Key,Buddy Boeheim,Cade Cunningham,Cory Joseph,Hamidou Diallo,Isaiah Stewart,Jaden Ivey,Jalen Duren,Jared Rhoden,Kevin Knox,Killian Hayes,Marvin Bagley III,Nerlens Noel,Rodney McGruder,Saddiq Bey,Stanley Umude,co_inf with Alec Burks,co_inf with Bojan Bogdanović,co_inf with Braxton Key,co_inf with Buddy Boeheim,co_inf with Cade Cunningham,co_inf with Cory Joseph,co_inf with Hamidou Diallo,co_inf with Isaiah Stewart,co_inf with Jaden Ivey,co_inf with Jalen Duren,co_inf with Jared Rhoden,co_inf with Kevin Knox,co_inf with Killian Hayes,co_inf with Marvin Bagley III,co_inf with Nerlens Noel,co_inf with Rodney McGruder,co_inf with Saddiq Bey,co_inf with Stanley Umude,Shared Games with James Wiseman,Shared Games with Eugene Omoruyi,Shared Games with R.J. Hampton,Eugene Omoruyi,Frank Kaminsky,James Wiseman,R.J. Hampton,co_inf with James Wiseman,co_inf with Eugene Omoruyi,co_inf with Frank Kaminsky,co_inf with R.J. Hampton,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,9,2022-11-07,24-102,DET,,OKC,W (+9),0,20:40,2.0,6.0,.333,1.0,3.0,.333,0,0.0,,0.0,5.0,5.0,0.0,1.0,0.0,0.0,1.0,5.0,3.7,-14,3.0,1.0,0.3333333333333333,30,37,2,3,10,35,40,29,45,41,4,23,49,23,10,17,30,51.0,59.0,3.0,10.0,12.0,62.0,56.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.5882352941176471,0.6271186440677966,0.6666666666666666,0.3,0.8333333333333334,0.5645161290322581,0.7142857142857143,0.58,0.6081081081081081,0.6119402985074627,0.2857142857142857,0.365079365079365,0.6447368421052632,0.5476190476190477,0.5882352941176471,0.53125,0.3896103896103896,0.0,17,12,16,40.0,36.0,45.0,47.0,0.3777777777777777,0.3,0.0,0.3404255319148936,20,5.0,54.0,2.7,3.7000000000000015,59.49999999999999,2.9749999999999996
11,12,10,2022-11-09,24-104,DET,@,BOS,L (-16),0,18:26,1.0,3.0,.333,1.0,3.0,.333,0,2.0,.000,0.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,-7,0.0,0.0,,30,37,2,3,10,35,40,29,45,41,4,23,49,23,10,17,30,51.0,59.0,3.0,10.0,12.0,62.0,56.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.5882352941176471,0.6271186440677966,0.6666666666666666,0.3,0.8333333333333334,0.5645161290322581,0.7142857142857143,0.58,0.6081081081081081,0.6119402985074627,0.2857142857142857,0.365079365079365,0.6447368421052632,0.5476190476190477,0.5882352941176471,0.53125,0.3896103896103896,0.0,17,12,16,40.0,36.0,45.0,47.0,0.3777777777777777,0.3,0.0,0.3404255319148936,20,0.0,61.0,3.05,4.440892098500626e-16,80.3,4.015
12,13,11,2022-11-11,24-106,DET,@,NYK,L (-9),0,22:06,3.0,6.0,.500,3.0,6.0,.500,2,2.0,1.000,2.0,2.0,4.0,1.0,0.0,2.0,0.0,2.0,11.0,11.3,-5,0.0,0.0,,30,37,2,3,10,35,40,29,45,41,4,23,49,23,10,17,30,51.0,59.0,3.0,10.0,12.0,62.0,56.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.5882352941176471,0.6271186440677966,0.6666666666666666,0.3,0.8333333333333334,0.5645161290322581,0.7142857142857143,0.58,0.6081081081081081,0.6119402985074627,0.2857142857142857,0.365079365079365,0.6447368421052632,0.5476190476190477,0.5882352941176471,0.53125,0.3896103896103896,0.0,17,12,16,40.0,36.0,45.0,47.0,0.3777777777777777,0.3,0.0,0.3404255319148936,20,10.0,54.0,2.7,10.499999999999996,70.3,3.5149999999999997
13,14,12,2022-11-12,24-107,DET,,BOS,L (-9),0,18:21,1.0,5.0,.200,0.0,3.0,.000,1,2.0,.500,2.0,3.0,5.0,0.0,0.0,1.0,1.0,3.0,3.0,0.3,-7,2.0,1.0,0.5,30,37,2,3,10,35,40,29,45,41,4,23,49,23,10,17,30,51.0,59.0,3.0,10.0,12.0,62.0,56.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.5882352941176471,0.6271186440677966,0.6666666666666666,0.3,0.8333333333333334,0.5645161290322581,0.7142857142857143,0.58,0.6081081081081081,0.6119402985074627,0.2857142857142857,0.365079365079365,0.6447368421052632,0.5476190476190477,0.5882352941176471,0.53125,0.3896103896103896,0.0,17,12,16,40.0,36.0,45.0,47.0,0.3777777777777777,0.3,0.0,0.3404255319148936,20,1.0,67.0,3.35,-0.1000000000000005,75.99999999999999,3.7999999999999994
14,15,13,2022-11-14,24-109,DET,,TOR,L (-4),0,23:26,1.0,5.0,.200,1.0,5.0,.200,4,5.0,.800,1.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,7.0,6.2,+2,0.0,0.0,,30,37,2,3,10,35,40,29,45,41,4,23,49,23,10,17,30,51.0,59.0,3.0,10.0,12.0,62.0,56.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.5882352941176471,0.6271186440677966,0.6666666666666666,0.3,0.8333333333333334,0.5645161290322581,0.7142857142857143,0.58,0.6081081081081081,0.6119402985074627,0.2857142857142857,0.365079365079365,0.6447368421052632,0.5476190476190477,0.5882352941176471,0.53125,0.3896103896103896,0.0,17,12,16,40.0,36.0,45.0,47.0,0.3777777777777777,0.3,0.0,0.3404255319148936,20,2.0,39.0,1.95,4.6,60.6,3.0300000000000002
15,16,14,2022-11-17,24-112,DET,@,LAC,L (-5),0,16:57,2.0,5.0,.400,0.0,3.0,.000,1,1.0,1.000,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,5.0,3.2,-14,2.0,2.0,1.0,30,37,2,3,10,35,40,29,45,41,4,23,49,23,10,17,30,51.0,59.0,3.0,10.0,12.0,62.0,56.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.5882352941176471,0.6271186440677966,0.6666666666666666,0.3,0.8333333333333334,0.5645161290322581,0.7142857142857143,0.58,0.6081081081081081,0.6119402985074627,0.2857142857142857,0.365079365079365,0.6447368421052632,0.5476190476190477,0.5882352941176471,0.53125,0.3896103896103896,0.0,17,12,16,40.0,36.0,45.0,47.0,0.3777777777777777,0.3,0.0,0.3404255319148936,20,1.0,27.0,1.35,2.8,37.2,1.86
16,17,15,2022-11-18,24-113,DET,@,LAL,L (-7),0,15:48,1.0,4.0,.250,1.0,3.0,.333,0,0.0,,1.0,1.0,2.0,1.0,2.0,0.0,2.0,4.0,3.0,0.7,-4,1.0,0.0,0.0,30,37,2,3,10,35,40,29,45,41,4,23,49,23,10,17,30,51.0,59.0,3.0,10.0,12.0,62.0,56.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.5882352941176471,0.6271186440677966,0.6666666666666666,0.3,0.8333333333333334,0.5645161290322581,0.7142857142857143,0.58,0.6081081081081081,0.6119402985074627,0.2857142857142857,0.365079365079365,0.6447368421052632,0.5476190476190477,0.5882352941176471,0.53125,0.3896103896103896,0.0,17,12,16,40.0,36.0,45.0,47.0,0.3777777777777777,0.3,0.0,0.3404255319148936,20,2.0,58.0,2.9,0.6999999999999997,90.4,4.5200000000000005
17,18,16,2022-11-20,24-115,DET,@,SAC,L (-8),1,16:18,2.0,4.0,.500,1.0,3.0,.333,0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,5.0,2.9,+3,1.0,1.0,1.0,30,37,2,3,10,35,40,29,45,41,4,23,49,23,10,17,30,51.0,59.0,3.0,10.0,12.0,62.0,56.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.5882352941176471,0.6271186440677966,0.6666666666666666,0.3,0.8333333333333334,0.5645161290322581,0.7142857142857143,0.58,0.6081081081081081,0.6119402985074627,0.2857142857142857,0.365079365079365,0.6447368421052632,0.5476190476190477,0.5882352941176471,0.53125,0.3896103896103896,0.0,17,12,16,40.0,36.0,45.0,47.0,0.3777777777777777,0.3,0.0,0.3404255319148936,20,3.0,58.0,2.9,2.9,82.49999999999999,4.124999999999999
18,19,17,2022-11-22,24-117,DET,@,DEN,W (+2),1,24:21,2.0,3.0,.667,1.0,2.0,.500,0,0.0,,0.0,2.0,2.0,0.0,0.0,3.0,0.0,1.0,5.0,6.0,-9,1.0,1.0,1.0,30,37,2,3,10,35,40,29,45,41,4,23,49,23,10,17,30,51.0,59.0,3.0,10.0,12.0,62.0,56.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.5882352941176471,0.6271186440677966,0.6666666666666666,0.3,0.8333333333333334,0.5645161290322581,0.7142857142857143,0.58,0.6081081081081081,0.6119402985074627,0.2857142857142857,0.365079365079365,0.6447368421052632,0.5476190476190477,0.5882352941176471,0.53125,0.3896103896103896,0.0,17,12,16,40.0,36.0,45.0,47.0,0.3777777777777777,0.3,0.0,0.3404255319148936,20,7.0,54.0,2.7,6.0,67.30000000000001,3.3650000000000007
19,20,18,2022-11-23,24-118,DET,@,UTA,W (+9),1,19:30,3.0,5.0,.600,1.0,3.0,.333,0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,7.0,4.3,+1,2.0,2.0,1.0,30,37,2,3,10,35,40,29,45,41,4,23,49,23,10,17,30,51.0,59.0,3.0,10.0,12.0,62.0,56.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.5882352941176471,0.6271186440677966,0.6666666666666666,0.3,0.8333333333333334,0.5645161290322581,0.7142857142857143,0.58,0.6081081081081081,0.6119402985074627,0.2857142857142857,0.365079365079365,0.6447368421052632,0.5476190476190477,0.5882352941176471,0.53125,0.3896103896103896,0.0,17,12,16,40.0,36.0,45.0,47.0,0.3777777777777777,0.3,0.0,0.3404255319148936,20,3.0,71.0,3.55,4.299999999999999,88.69999999999997,4.434999999999999
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,30,37,2,3,10,35,40,29,45,41,4,23,49,23,10,17,30,51.0,59.0,3.0,10.0,12.0,62.0,56.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.5882352941176471,0.6271186440677966,0.6666666666666666,0.3,0.8333333333333334,0.5645161290322581,0.7142857142857143,0.58,0.6081081081081081,0.6119402985074627,0.2857142857142857,0.365079365079365,0.6447368421052632,0.5476190476190477,0.5882352941176471,0.53125,0.3896103896103896,0.0,17,12,16,40.0,36.0,45.0,47.0,0.3777777777777777,0.3,0.0,0.3404255319148936,20,,0.0,0.0,0.0,0.0,0.0
21,21,19,2022-11-25,24-120,DET,@,PHO,L (-6),1,30:08,3.0,7.0,.429,1.0,4.0,.250,0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,7.0,4.5,-15,3.0,2.0,0.6666666666666666,30,37,2,3,10,35,40,29,45,41,4,23,49,23,10,17,30,51.0,59.0,3.0,10.0,12.0,62.0,56.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.5882352941176471,0.6271186440677966,0.6666666666666666,0.3,0.8333333333333334,0.5645161290322581,0.7142857142857143,0.58,0.6081081081081081,0.6119402985074627,0.2857142857142857,0.365079365079365,0.6447368421052632,0.5476190476190477,0.5882352941176471,0.53125,0.3896103896103896,0.0,17,12,16,40.0,36.0,45.0,47.0,0.3777777777777777,0.3,0.0,0.3404255319148936,20,3.0,44.0,2.2,4.5,53.29999999999999,2.6649999999999996
22,22,20,2022-11-27,24-122,DET,,CLE,L (-8),1,27:15,2.0,5.0,.400,1.0,4.0,.250,2,3.0,.667,0.0,2.0,2.0,0.0,1.0,3.0,1.0,5.0,7.0,4.6,-7,1.0,1.0,1.0,30,37,2,3,10,35,40,29,45,41,4,23,49,23,10,17,30,51.0,59.0,3.0,10.0,12.0,62.0,56.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.5882352941176471,0.6271186440677966,0.6666666666666666,0.3,0.8333333333333334,0.5645161290322581,0.7142857142857143,0.58,0.6081081081081081,0.6119402985074627,0.2857142857142857,0.365079365079365,0.6447368421052632,0.5476190476190477,0.5882352941176471,0.53125,0.3896103896103896,0.0,17,12,16,40.0,36.0,45.0,47.0,0.3777777777777777,0.3,0.0,0.3404255319148936,20,4.0,35.0,1.75,3.8,46.1,2.305
23,23,21,2022-11-29,24-124,DET,,NYK,L (-30),1,23:10,2.0,5.0,.400,2.0,5.0,.400,0,0.0,,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,6.0,4.9,-23,0.0,0.0,,30,37,2,3,10,35,40,29,45,41,4,23,49,23,10,17,30,51.0,59.0,3.0,10.0,12.0,62.0,56.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.5882352941176471,0.6271186440677966,0.6666666666666666,0.3,0.8333333333333334,0.5645161290322581,0.7142857142857143,0.58,0.6081081081081081,0.6119402985074627,0.2857142857142857,0.365079365079365,0.6447368421052632,0.5476190476190477,0.5882352941176471,0.53125,0.3896103896103896,0.0,17,12,16,40.0,36.0,45.0,47.0,0.3777777777777777,0.3,0.0,0.3404255319148936,20,5.0,53.0,2.65,4.899999999999999,65.69999999999999,3.2849999999999993
24,24,22,2022-12-01,24-126,DET,,DAL,W (+6),1,6:52,2.0,2.0,1.000,2.0,2.0,1.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,4.0,-3,0.0,0.0,,30,37,2,3,10,35,40,29,45,41,4,23,49,23,10,17,30,51.0,59.0,3.0,10.0,12.0,62.0,56.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.5882352941176471,0.6271186440677966,0.6666666666666666,0.3,0.8333333333333334,0.5645161290322581,0.7142857142857143,0.58,0.6081081081081081,0.6119402985074627,0.2857142857142857,0.365079365079365,0.6447368421052632,0.5476190476190477,0.5882352941176471,0.53125,0.3896103896103896,0.0,17,12,16,40.0,36.0,45.0,47.0,0.3777777777777777,0.3,0.0,0.3404255319148936,20,3.0,83.0,4.15,4.0,96.40000000000002,4.820000000000001
25,25,,2022-12-04,24-129,DET,,MEM,L (-10),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,30,37,2,3,10,35,40,29,45,41,4,23,49,23,10,17,30,51.0,59.0,3.0,10.0,12.0,62.0,56.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.5882352941176471,0.6271186440677966,0.6666666666666666,0.3,0.8333333333333334,0.5645161290322581,0.7142857142857143,0.58,0.6081081081081081,0.6119402985074627,0.2857142857142857,0.365079365079365,0.6447368421052632,0.5476190476190477,0.5882352941176471,0.53125,0.3896103896103896,0.0,17,12,16,40.0,36.0,45.0,47.0,0.3777777777777777,0.3,0.0,0.3404255319148936,20,,64.0,3.2,0.0,70.1,3.505
