Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anthony Davis,Shared Games with Austin Reaves,Shared Games with Cole Swider,Shared Games with Damian Jones,Shared Games with Dennis Schröder,Shared Games with Juan Toscano-Anderson,Shared Games with Kendrick Nunn,Shared Games with LeBron James,Shared Games with Lonnie Walker IV,Shared Games with Matt Ryan,Shared Games with Max Christie,Shared Games with Patrick Beverley,Shared Games with Russell Westbrook,Shared Games with Scotty Pippen Jr.,Shared Games with Thomas Bryant,Shared Games with Wenyen Gabriel,Anthony Davis,Austin Reaves,Cole Swider,Damian Jones,Dennis Schröder,Juan Toscano-Anderson,Kendrick Nunn,LeBron James,Lonnie Walker IV,Matt Ryan,Max Christie,Patrick Beverley,Russell Westbrook,Scotty Pippen Jr.,Sterling Brown,Thomas Bryant,Tristan Thompson,Wenyen Gabriel,co_inf with Anthony Davis,co_inf with Austin Reaves,co_inf with Cole Swider,co_inf with Damian Jones,co_inf with Dennis Schröder,co_inf with Juan Toscano-Anderson,co_inf with Kendrick Nunn,co_inf with LeBron James,co_inf with Lonnie Walker IV,co_inf with Matt Ryan,co_inf with Max Christie,co_inf with Patrick Beverley,co_inf with Russell Westbrook,co_inf with Scotty Pippen Jr.,co_inf with Sterling Brown,co_inf with Thomas Bryant,co_inf with Tristan Thompson,co_inf with Wenyen Gabriel,Shared Games with Davon Reed,Shared Games with D'Angelo Russell,Shared Games with Jarred Vanderbilt,Shared Games with Malik Beasley,Shared Games with Mo Bamba,D'Angelo Russell,Davon Reed,Jarred Vanderbilt,Malik Beasley,Mo Bamba,Onyeka Okongwu,Shaquille Harrison,co_inf with Davon Reed,co_inf with D'Angelo Russell,co_inf with Jarred Vanderbilt,co_inf with Malik Beasley,co_inf with Mo Bamba,co_inf with Onyeka Okongwu,co_inf with Shaquille Harrison,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
11.0,9.0,2022-11-09,23-104,LAL,LAC,1.0,31.883333333333333,6.0,10.0,0.6,2.0,6.0,0.333,0.0,0.0,,1.0,3.0,4.0,0.0,1.0,0.0,1.0,1.0,14.0,10.6,-1.0,4.0,4.0,1.0,53,61,4,19,62,24,33,50,54,9,36,39,46,3,37,63,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,68.0,0.9464285714285714,0.953125,0.5714285714285714,0.4634146341463415,0.9393939393939394,0.4615384615384615,0.4714285714285714,0.9090909090909092,0.9642857142857144,0.2647058823529412,0.8780487804878049,0.582089552238806,0.6301369863013698,0.5,0.0,0.6271186440677966,,0.9264705882352942,8,14,25,25,8,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1860465116279069,0.1971830985915492,0.3205128205128205,0.3086419753086419,0.1632653061224489,0.0,0.0,21,8.0,73.0,3.4761904761904763,10.599999999999996,73.79999999999998,3.5142857142857133,0.0563072439633638,L (-13),L (-13)
12.0,10.0,2022-11-11,23-106,LAL,SAC,1.0,22.916666666666668,1.0,6.0,0.167,0.0,2.0,0.0,0.0,0.0,,0.0,3.0,3.0,0.0,2.0,0.0,0.0,2.0,2.0,0.3,-14.0,4.0,1.0,0.25,53,61,4,19,62,24,33,50,54,9,36,39,46,3,37,63,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,68.0,0.9464285714285714,0.953125,0.5714285714285714,0.4634146341463415,0.9393939393939394,0.4615384615384615,0.4714285714285714,0.9090909090909092,0.9642857142857144,0.2647058823529412,0.8780487804878049,0.582089552238806,0.6301369863013698,0.5,0.0,0.6271186440677966,,0.9264705882352942,8,14,25,25,8,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1860465116279069,0.1971830985915492,0.3205128205128205,0.3086419753086419,0.1632653061224489,0.0,0.0,21,1.0,83.0,3.952380952380953,0.3000000000000005,92.79999999999998,4.419047619047618,0.0563072439633638,L (-6),L (-6)
13.0,11.0,2022-11-13,23-108,LAL,BRK,1.0,35.85,4.0,7.0,0.571,1.0,2.0,0.5,0.0,0.0,,1.0,3.0,4.0,1.0,2.0,0.0,0.0,0.0,9.0,10.0,22.0,5.0,3.0,0.6,53,61,4,19,62,24,33,50,54,9,36,39,46,3,37,63,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,68.0,0.9464285714285714,0.953125,0.5714285714285714,0.4634146341463415,0.9393939393939394,0.4615384615384615,0.4714285714285714,0.9090909090909092,0.9642857142857144,0.2647058823529412,0.8780487804878049,0.582089552238806,0.6301369863013698,0.5,0.0,0.6271186440677966,,0.9264705882352942,8,14,25,25,8,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1860465116279069,0.1971830985915492,0.3205128205128205,0.3086419753086419,0.1632653061224489,0.0,0.0,21,9.0,81.0,3.857142857142857,10.0,94.89999999999998,4.519047619047618,0.0563072439633638,W (+13),W (+13)
14.0,12.0,2022-11-18,23-113,LAL,DET,1.0,18.15,3.0,5.0,0.6,1.0,2.0,0.5,1.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,4.0,8.0,6.4,-2.0,3.0,2.0,0.6666666666666666,53,61,4,19,62,24,33,50,54,9,36,39,46,3,37,63,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,68.0,0.9464285714285714,0.953125,0.5714285714285714,0.4634146341463415,0.9393939393939394,0.4615384615384615,0.4714285714285714,0.9090909090909092,0.9642857142857144,0.2647058823529412,0.8780487804878049,0.582089552238806,0.6301369863013698,0.5,0.0,0.6271186440677966,,0.9264705882352942,8,14,25,25,8,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1860465116279069,0.1971830985915492,0.3205128205128205,0.3086419753086419,0.1632653061224489,0.0,0.0,21,6.0,117.0,5.571428571428571,5.999999999999998,135.6,6.457142857142857,0.0563072439633638,W (+7),W (+7)
15.0,13.0,2022-11-20,23-115,LAL,SAS,1.0,23.183333333333334,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,,1.0,6.0,7.0,2.0,0.0,0.0,3.0,1.0,2.0,0.1,10.0,2.0,1.0,0.5,53,61,4,19,62,24,33,50,54,9,36,39,46,3,37,63,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,68.0,0.9464285714285714,0.953125,0.5714285714285714,0.4634146341463415,0.9393939393939394,0.4615384615384615,0.4714285714285714,0.9090909090909092,0.9642857142857144,0.2647058823529412,0.8780487804878049,0.582089552238806,0.6301369863013698,0.5,0.0,0.6271186440677966,,0.9264705882352942,8,14,25,25,8,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1860465116279069,0.1971830985915492,0.3205128205128205,0.3086419753086419,0.1632653061224489,0.0,0.0,21,4.0,109.0,5.190476190476191,0.0999999999999992,109.3,5.204761904761905,0.0563072439633638,W (+31),W (+31)
16.0,14.0,2022-11-22,23-117,LAL,PHO,1.0,20.7,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,-3.5,-7.0,2.0,0.0,0.0,53,61,4,19,62,24,33,50,54,9,36,39,46,3,37,63,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,68.0,0.9464285714285714,0.953125,0.5714285714285714,0.4634146341463415,0.9393939393939394,0.4615384615384615,0.4714285714285714,0.9090909090909092,0.9642857142857144,0.2647058823529412,0.8780487804878049,0.582089552238806,0.6301369863013698,0.5,0.0,0.6271186440677966,,0.9264705882352942,8,14,25,25,8,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1860465116279069,0.1971830985915492,0.3205128205128205,0.3086419753086419,0.1632653061224489,0.0,0.0,21,-3.0,78.0,3.7142857142857135,-3.5,95.6,4.552380952380952,0.0563072439633638,L (-10),L (-10)
17.0,15.0,2022-11-25,23-120,LAL,SAS,1.0,29.216666666666665,4.0,5.0,0.8,2.0,2.0,1.0,0.0,0.0,,1.0,3.0,4.0,0.0,1.0,0.0,0.0,1.0,10.0,10.3,0.0,3.0,2.0,0.6666666666666666,53,61,4,19,62,24,33,50,54,9,36,39,46,3,37,63,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,68.0,0.9464285714285714,0.953125,0.5714285714285714,0.4634146341463415,0.9393939393939394,0.4615384615384615,0.4714285714285714,0.9090909090909092,0.9642857142857144,0.2647058823529412,0.8780487804878049,0.582089552238806,0.6301369863013698,0.5,0.0,0.6271186440677966,,0.9264705882352942,8,14,25,25,8,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1860465116279069,0.1971830985915492,0.3205128205128205,0.3086419753086419,0.1632653061224489,0.0,0.0,21,10.0,119.0,5.666666666666667,10.3,114.59999999999998,5.457142857142856,0.0563072439633638,W (+11),W (+11)
18.0,16.0,2022-11-26,23-121,LAL,SAS,1.0,22.933333333333334,2.0,3.0,0.667,0.0,1.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,3.0,1.0,0.0,1.0,1.0,6.0,7.0,11.0,2.0,2.0,1.0,53,61,4,19,62,24,33,50,54,9,36,39,46,3,37,63,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,68.0,0.9464285714285714,0.953125,0.5714285714285714,0.4634146341463415,0.9393939393939394,0.4615384615384615,0.4714285714285714,0.9090909090909092,0.9642857142857144,0.2647058823529412,0.8780487804878049,0.582089552238806,0.6301369863013698,0.5,0.0,0.6271186440677966,,0.9264705882352942,8,14,25,25,8,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1860465116279069,0.1971830985915492,0.3205128205128205,0.3086419753086419,0.1632653061224489,0.0,0.0,21,6.0,119.0,5.666666666666667,6.199999999999998,136.2,6.485714285714285,0.0563072439633638,W (+5),W (+5)
19.0,17.0,2022-11-28,23-123,LAL,IND,1.0,28.75,1.0,5.0,0.2,1.0,2.0,0.5,0.0,0.0,,4.0,6.0,10.0,1.0,0.0,1.0,1.0,1.0,3.0,4.5,-3.0,3.0,0.0,0.0,53,61,4,19,62,24,33,50,54,9,36,39,46,3,37,63,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,68.0,0.9464285714285714,0.953125,0.5714285714285714,0.4634146341463415,0.9393939393939394,0.4615384615384615,0.4714285714285714,0.9090909090909092,0.9642857142857144,0.2647058823529412,0.8780487804878049,0.582089552238806,0.6301369863013698,0.5,0.0,0.6271186440677966,,0.9264705882352942,8,14,25,25,8,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1860465116279069,0.1971830985915492,0.3205128205128205,0.3086419753086419,0.1632653061224489,0.0,0.0,21,9.0,97.0,4.619047619047619,4.499999999999998,93.0,4.428571428571429,0.0563072439633638,L (-1),L (-1)
20.0,,2022-11-30,23-125,LAL,POR,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,53,61,4,19,62,24,33,50,54,9,36,39,46,3,37,63,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,68.0,0.9464285714285714,0.953125,0.5714285714285714,0.4634146341463415,0.9393939393939394,0.4615384615384615,0.4714285714285714,0.9090909090909092,0.9642857142857144,0.2647058823529412,0.8780487804878049,0.582089552238806,0.6301369863013698,0.5,0.0,0.6271186440677966,,0.9264705882352942,8,14,25,25,8,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1860465116279069,0.1971830985915492,0.3205128205128205,0.3086419753086419,0.1632653061224489,0.0,0.0,21,,113.0,5.380952380952381,0.0,132.9,6.328571428571429,0.0563072439633638,W (+19),W (+19)
21.0,18.0,2022-12-02,23-127,LAL,MIL,1.0,24.3,4.0,5.0,0.8,1.0,2.0,0.5,0.0,0.0,,1.0,3.0,4.0,0.0,3.0,0.0,1.0,1.0,9.0,10.3,-10.0,3.0,3.0,1.0,53,61,4,19,62,24,33,50,54,9,36,39,46,3,37,63,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,68.0,0.9464285714285714,0.953125,0.5714285714285714,0.4634146341463415,0.9393939393939394,0.4615384615384615,0.4714285714285714,0.9090909090909092,0.9642857142857144,0.2647058823529412,0.8780487804878049,0.582089552238806,0.6301369863013698,0.5,0.0,0.6271186440677966,,0.9264705882352942,8,14,25,25,8,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1860465116279069,0.1971830985915492,0.3205128205128205,0.3086419753086419,0.1632653061224489,0.0,0.0,21,10.0,92.0,4.380952380952381,10.3,115.4,5.495238095238095,0.0563072439633638,,
22.0,19.0,2022-12-04,23-129,LAL,WAS,0.0,16.7,2.0,4.0,0.5,2.0,3.0,0.667,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,6.0,5.3,9.0,1.0,0.0,0.0,53,61,4,19,62,24,33,50,54,9,36,39,46,3,37,63,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,68.0,0.9464285714285714,0.953125,0.5714285714285714,0.4634146341463415,0.9393939393939394,0.4615384615384615,0.4714285714285714,0.9090909090909092,0.9642857142857144,0.2647058823529412,0.8780487804878049,0.582089552238806,0.6301369863013698,0.5,0.0,0.6271186440677966,,0.9264705882352942,8,14,25,25,8,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1860465116279069,0.1971830985915492,0.3205128205128205,0.3086419753086419,0.1632653061224489,0.0,0.0,21,5.0,112.0,5.333333333333333,5.3,119.89999999999998,5.709523809523809,0.0563072439633638,W (+4),W (+4)
23.0,20.0,2022-12-06,23-131,LAL,CLE,0.0,21.35,2.0,5.0,0.4,1.0,3.0,0.333,0.0,0.0,,1.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,5.0,4.9,6.0,2.0,1.0,0.5,53,61,4,19,62,24,33,50,54,9,36,39,46,3,37,63,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,68.0,0.9464285714285714,0.953125,0.5714285714285714,0.4634146341463415,0.9393939393939394,0.4615384615384615,0.4714285714285714,0.9090909090909092,0.9642857142857144,0.2647058823529412,0.8780487804878049,0.582089552238806,0.6301369863013698,0.5,0.0,0.6271186440677966,,0.9264705882352942,8,14,25,25,8,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1860465116279069,0.1971830985915492,0.3205128205128205,0.3086419753086419,0.1632653061224489,0.0,0.0,21,6.0,57.0,2.7142857142857144,4.899999999999999,68.10000000000001,3.242857142857144,0.0563072439633638,W (+11),W (+11)
