Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Admiral Schofield,Shared Games with Bol Bol,Shared Games with Caleb Houstan,Shared Games with Chuma Okeke,Shared Games with Franz Wagner,Shared Games with Gary Harris,Shared Games with Jalen Suggs,Shared Games with Jonathan Isaac,Shared Games with Kevon Harris,Shared Games with Markelle Fultz,Shared Games with Mo Bamba,Shared Games with Moritz Wagner,Shared Games with Paolo Banchero,Shared Games with R.J. Hampton,Shared Games with Terrence Ross,Shared Games with Wendell Carter Jr.,Admiral Schofield,Bol Bol,Caleb Houstan,Chuma Okeke,Franz Wagner,Gary Harris,Jalen Suggs,Jay Scrubb,Jonathan Isaac,Kevon Harris,Markelle Fultz,Michael Carter-Williams,Mo Bamba,Moritz Wagner,Paolo Banchero,R.J. Hampton,Terrence Ross,Wendell Carter Jr.,co_inf with Admiral Schofield,co_inf with Bol Bol,co_inf with Caleb Houstan,co_inf with Chuma Okeke,co_inf with Franz Wagner,co_inf with Gary Harris,co_inf with Jalen Suggs,co_inf with Jay Scrubb,co_inf with Jonathan Isaac,co_inf with Kevon Harris,co_inf with Markelle Fultz,co_inf with Michael Carter-Williams,co_inf with Mo Bamba,co_inf with Moritz Wagner,co_inf with Paolo Banchero,co_inf with R.J. Hampton,co_inf with Terrence Ross,co_inf with Wendell Carter Jr.,Shared Games with Goga Bitadze,Derrick White,Goga Bitadze,co_inf with Goga Bitadze,co_inf with Derrick White,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,,2022-11-07,22-176,ORL,HOU,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,23,48,32,10,59,41,36,10,20,56,25,51,59,11,27,43,37.0,70.0,51.0,27.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.6216216216216216,0.6857142857142857,0.6274509803921569,0.3703703703703703,0.7375,0.8541666666666666,0.6792452830188679,0.0,0.9090909090909092,0.5882352941176471,0.9333333333333332,0.0,0.5102040816326531,0.8947368421052632,0.8194444444444444,0.2340425531914893,0.4285714285714285,0.7543859649122807,16,82.0,38.0,0.4210526315789473,0.0,17,,59.0,3.4705882352941178,0.0,60.8,3.576470588235294,16.0,3.7,1.3,0.7,0.5,0.0854859894921191,0.57,0.338,0.279,1.3,2.1,L (-7),L (-7)
12.0,,2022-11-09,22-178,ORL,DAL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,23,48,32,10,59,41,36,10,20,56,25,51,59,11,27,43,37.0,70.0,51.0,27.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.6216216216216216,0.6857142857142857,0.6274509803921569,0.3703703703703703,0.7375,0.8541666666666666,0.6792452830188679,0.0,0.9090909090909092,0.5882352941176471,0.9333333333333332,0.0,0.5102040816326531,0.8947368421052632,0.8194444444444444,0.2340425531914893,0.4285714285714285,0.7543859649122807,16,82.0,38.0,0.4210526315789473,0.0,17,,53.0,3.117647058823529,0.0,48.1,2.8294117647058825,16.0,3.7,1.3,0.7,0.5,0.0854859894921191,0.57,0.338,0.279,1.3,2.1,W (+7),W (+7)
13.0,,2022-11-11,22-180,ORL,PHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,23,48,32,10,59,41,36,10,20,56,25,51,59,11,27,43,37.0,70.0,51.0,27.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.6216216216216216,0.6857142857142857,0.6274509803921569,0.3703703703703703,0.7375,0.8541666666666666,0.6792452830188679,0.0,0.9090909090909092,0.5882352941176471,0.9333333333333332,0.0,0.5102040816326531,0.8947368421052632,0.8194444444444444,0.2340425531914893,0.4285714285714285,0.7543859649122807,16,82.0,38.0,0.4210526315789473,0.0,17,,64.0,3.764705882352941,0.0,62.8,3.6941176470588233,16.0,3.7,1.3,0.7,0.5,0.0854859894921191,0.57,0.338,0.279,1.3,2.1,W (+17),W (+17)
14.0,,2022-11-14,22-183,ORL,CHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,23,48,32,10,59,41,36,10,20,56,25,51,59,11,27,43,37.0,70.0,51.0,27.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.6216216216216216,0.6857142857142857,0.6274509803921569,0.3703703703703703,0.7375,0.8541666666666666,0.6792452830188679,0.0,0.9090909090909092,0.5882352941176471,0.9333333333333332,0.0,0.5102040816326531,0.8947368421052632,0.8194444444444444,0.2340425531914893,0.4285714285714285,0.7543859649122807,16,82.0,38.0,0.4210526315789473,0.0,17,,54.0,3.176470588235294,0.0,49.8,2.929411764705882,16.0,3.7,1.3,0.7,0.5,0.0854859894921191,0.57,0.338,0.279,1.3,2.1,L (-7),L (-7)
15.0,,2022-11-16,22-185,ORL,MIN,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,23,48,32,10,59,41,36,10,20,56,25,51,59,11,27,43,37.0,70.0,51.0,27.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.6216216216216216,0.6857142857142857,0.6274509803921569,0.3703703703703703,0.7375,0.8541666666666666,0.6792452830188679,0.0,0.9090909090909092,0.5882352941176471,0.9333333333333332,0.0,0.5102040816326531,0.8947368421052632,0.8194444444444444,0.2340425531914893,0.4285714285714285,0.7543859649122807,16,82.0,38.0,0.4210526315789473,0.0,17,,71.0,4.176470588235294,0.0,64.3,3.782352941176472,16.0,3.7,1.3,0.7,0.5,0.0854859894921191,0.57,0.338,0.279,1.3,2.1,L (-18),L (-18)
16.0,,2022-11-18,22-187,ORL,CHI,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,23,48,32,10,59,41,36,10,20,56,25,51,59,11,27,43,37.0,70.0,51.0,27.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.6216216216216216,0.6857142857142857,0.6274509803921569,0.3703703703703703,0.7375,0.8541666666666666,0.6792452830188679,0.0,0.9090909090909092,0.5882352941176471,0.9333333333333332,0.0,0.5102040816326531,0.8947368421052632,0.8194444444444444,0.2340425531914893,0.4285714285714285,0.7543859649122807,16,82.0,38.0,0.4210526315789473,0.0,17,,77.0,4.529411764705882,0.0,60.59999999999999,3.5647058823529405,16.0,3.7,1.3,0.7,0.5,0.0854859894921191,0.57,0.338,0.279,1.3,2.1,W (+1),W (+1)
17.0,,2022-11-19,22-188,ORL,IND,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,23,48,32,10,59,41,36,10,20,56,25,51,59,11,27,43,37.0,70.0,51.0,27.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.6216216216216216,0.6857142857142857,0.6274509803921569,0.3703703703703703,0.7375,0.8541666666666666,0.6792452830188679,0.0,0.9090909090909092,0.5882352941176471,0.9333333333333332,0.0,0.5102040816326531,0.8947368421052632,0.8194444444444444,0.2340425531914893,0.4285714285714285,0.7543859649122807,16,82.0,38.0,0.4210526315789473,0.0,17,,55.0,3.235294117647059,0.0,60.20000000000001,3.541176470588236,16.0,3.7,1.3,0.7,0.5,0.0854859894921191,0.57,0.338,0.279,1.3,2.1,L (-1),L (-1)
18.0,,2022-11-21,22-190,ORL,IND,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,23,48,32,10,59,41,36,10,20,56,25,51,59,11,27,43,37.0,70.0,51.0,27.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.6216216216216216,0.6857142857142857,0.6274509803921569,0.3703703703703703,0.7375,0.8541666666666666,0.6792452830188679,0.0,0.9090909090909092,0.5882352941176471,0.9333333333333332,0.0,0.5102040816326531,0.8947368421052632,0.8194444444444444,0.2340425531914893,0.4285714285714285,0.7543859649122807,16,82.0,38.0,0.4210526315789473,0.0,17,,30.0,1.7647058823529411,0.0,39.4,2.317647058823529,16.0,3.7,1.3,0.7,0.5,0.0854859894921191,0.57,0.338,0.279,1.3,2.1,L (-21),L (-21)
19.0,,2022-11-25,22-194,ORL,PHI,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,23,48,32,10,59,41,36,10,20,56,25,51,59,11,27,43,37.0,70.0,51.0,27.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.6216216216216216,0.6857142857142857,0.6274509803921569,0.3703703703703703,0.7375,0.8541666666666666,0.6792452830188679,0.0,0.9090909090909092,0.5882352941176471,0.9333333333333332,0.0,0.5102040816326531,0.8947368421052632,0.8194444444444444,0.2340425531914893,0.4285714285714285,0.7543859649122807,16,82.0,38.0,0.4210526315789473,0.0,17,,51.0,3.0,0.0,55.400000000000006,3.258823529411765,16.0,3.7,1.3,0.7,0.5,0.0854859894921191,0.57,0.338,0.279,1.3,2.1,L (-8),L (-8)
20.0,,2022-11-27,22-196,ORL,PHI,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,23,48,32,10,59,41,36,10,20,56,25,51,59,11,27,43,37.0,70.0,51.0,27.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.6216216216216216,0.6857142857142857,0.6274509803921569,0.3703703703703703,0.7375,0.8541666666666666,0.6792452830188679,0.0,0.9090909090909092,0.5882352941176471,0.9333333333333332,0.0,0.5102040816326531,0.8947368421052632,0.8194444444444444,0.2340425531914893,0.4285714285714285,0.7543859649122807,16,82.0,38.0,0.4210526315789473,0.0,17,,52.0,3.0588235294117645,0.0,54.1,3.182352941176471,16.0,3.7,1.3,0.7,0.5,0.0854859894921191,0.57,0.338,0.279,1.3,2.1,L (-30),L (-30)
21.0,,2022-11-28,22-197,ORL,BRK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,23,48,32,10,59,41,36,10,20,56,25,51,59,11,27,43,37.0,70.0,51.0,27.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.6216216216216216,0.6857142857142857,0.6274509803921569,0.3703703703703703,0.7375,0.8541666666666666,0.6792452830188679,0.0,0.9090909090909092,0.5882352941176471,0.9333333333333332,0.0,0.5102040816326531,0.8947368421052632,0.8194444444444444,0.2340425531914893,0.4285714285714285,0.7543859649122807,16,82.0,38.0,0.4210526315789473,0.0,17,,66.0,3.882352941176471,0.0,73.1,4.3,16.0,3.7,1.3,0.7,0.5,0.0854859894921191,0.57,0.338,0.279,1.3,2.1,,
22.0,5.0,2022-11-30,22-199,ORL,ATL,0,23.95,3.0,7.0,.429,0.0,1.0,.000,5,5.0,1.000,0.0,4.0,4.0,2.0,1.0,0.0,2.0,6.0,11.0,6.5,-15,6.0,3.0,0.5,23,48,32,10,59,41,36,10,20,56,25,51,59,11,27,43,37.0,70.0,51.0,27.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.6216216216216216,0.6857142857142857,0.6274509803921569,0.3703703703703703,0.7375,0.8541666666666666,0.6792452830188679,0.0,0.9090909090909092,0.5882352941176471,0.9333333333333332,0.0,0.5102040816326531,0.8947368421052632,0.8194444444444444,0.2340425531914893,0.4285714285714285,0.7543859649122807,16,82.0,38.0,0.4210526315789473,0.0,17,4.0,54.0,3.176470588235294,4.499999999999998,56.3,3.3117647058823527,16.0,3.7,1.3,0.7,0.5,0.0854859894921191,0.57,0.338,0.279,1.3,2.1,L (-7),L (-7)
23.0,6.0,2022-12-02,22-201,ORL,CLE,0,28.73333333333333,7.0,11.0,.636,3.0,4.0,.750,2,2.0,1.000,0.0,6.0,6.0,3.0,3.0,1.0,1.0,4.0,19.0,19.1,-5,7.0,4.0,0.5714285714285714,23,48,32,10,59,41,36,10,20,56,25,51,59,11,27,43,37.0,70.0,51.0,27.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.6216216216216216,0.6857142857142857,0.6274509803921569,0.3703703703703703,0.7375,0.8541666666666666,0.6792452830188679,0.0,0.9090909090909092,0.5882352941176471,0.9333333333333332,0.0,0.5102040816326531,0.8947368421052632,0.8194444444444444,0.2340425531914893,0.4285714285714285,0.7543859649122807,16,82.0,38.0,0.4210526315789473,0.0,17,18.0,44.0,2.588235294117647,18.3,48.3,2.841176470588235,16.0,3.7,1.3,0.7,0.5,0.0854859894921191,0.57,0.338,0.279,1.3,2.1,L (-17),L (-17)
24.0,7.0,2022-12-03,22-202,ORL,TOR,0,23.73333333333333,4.0,10.0,.400,1.0,3.0,.333,3,3.0,1.000,0.0,3.0,3.0,5.0,1.0,0.0,0.0,2.0,12.0,11.2,+5,7.0,3.0,0.4285714285714285,23,48,32,10,59,41,36,10,20,56,25,51,59,11,27,43,37.0,70.0,51.0,27.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.6216216216216216,0.6857142857142857,0.6274509803921569,0.3703703703703703,0.7375,0.8541666666666666,0.6792452830188679,0.0,0.9090909090909092,0.5882352941176471,0.9333333333333332,0.0,0.5102040816326531,0.8947368421052632,0.8194444444444444,0.2340425531914893,0.4285714285714285,0.7543859649122807,16,82.0,38.0,0.4210526315789473,0.0,17,8.0,24.0,1.411764705882353,10.0,40.400000000000006,2.3764705882352946,16.0,3.7,1.3,0.7,0.5,0.0854859894921191,0.57,0.338,0.279,1.3,2.1,L (-11),L (-11)
25.0,8.0,2022-12-05,22-204,ORL,MIL,0,21.35,0.0,9.0,.000,0.0,4.0,.000,0,0.0,,1.0,3.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,-2.4,-15,5.0,0.0,0.0,23,48,32,10,59,41,36,10,20,56,25,51,59,11,27,43,37.0,70.0,51.0,27.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.6216216216216216,0.6857142857142857,0.6274509803921569,0.3703703703703703,0.7375,0.8541666666666666,0.6792452830188679,0.0,0.9090909090909092,0.5882352941176471,0.9333333333333332,0.0,0.5102040816326531,0.8947368421052632,0.8194444444444444,0.2340425531914893,0.4285714285714285,0.7543859649122807,16,82.0,38.0,0.4210526315789473,0.0,17,-2.0,62.0,3.647058823529412,-2.4,66.0,3.882352941176471,16.0,3.7,1.3,0.7,0.5,0.0854859894921191,0.57,0.338,0.279,1.3,2.1,L (-13),L (-13)
