Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alondes Williams,Shared Games with Ben Simmons,Shared Games with Cam Thomas,Shared Games with David Duke Jr.,Shared Games with Day'Ron Sharpe,Shared Games with Edmond Sumner,Shared Games with Joe Harris,Shared Games with Kessler Edwards,Shared Games with Kevin Durant,Shared Games with Kyrie Irving,Shared Games with Markieff Morris,Shared Games with Nic Claxton,Shared Games with RaiQuan Gray,Shared Games with Royce O'Neale,Shared Games with Seth Curry,Shared Games with T.J. Warren,Shared Games with Yuta Watanabe,Alondes Williams,Ben Simmons,Cam Thomas,David Duke Jr.,Day'Ron Sharpe,Edmond Sumner,Joe Harris,Kessler Edwards,Kevin Durant,Kyrie Irving,Markieff Morris,Nic Claxton,RaiQuan Gray,Royce O'Neale,Seth Curry,T.J. Warren,Yuta Watanabe,co_inf with Alondes Williams,co_inf with Ben Simmons,co_inf with Cam Thomas,co_inf with David Duke Jr.,co_inf with Day'Ron Sharpe,co_inf with Edmond Sumner,co_inf with Joe Harris,co_inf with Kessler Edwards,co_inf with Kevin Durant,co_inf with Kyrie Irving,co_inf with Markieff Morris,co_inf with Nic Claxton,co_inf with RaiQuan Gray,co_inf with Royce O'Neale,co_inf with Seth Curry,co_inf with T.J. Warren,co_inf with Yuta Watanabe,Shared Games with Dorian Finney-Smith,Shared Games with Spencer Dinwiddie,Shared Games with Nerlens Noel,Shared Games with Cameron Johnson,Shared Games with Dru Smith,Shared Games with Mikal Bridges,Bogdan Bogdanović,Cameron Johnson,Dorian Finney-Smith,Dru Smith,Mikal Bridges,Moses Brown,Nerlens Noel,Payton Pritchard,Spencer Dinwiddie,co_inf with Dorian Finney-Smith,co_inf with Spencer Dinwiddie,co_inf with Nerlens Noel,co_inf with Moses Brown,co_inf with Bogdan Bogdanović,co_inf with Cameron Johnson,co_inf with Dru Smith,co_inf with Mikal Bridges,co_inf with Payton Pritchard,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,11,2022-11-07,34-088,BRK,@,DAL,L (-2),0,7:59,0.0,2.0,.000,0.0,2.0,.000,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,-5,0.0,0.0,,1,24,31,18,30,31,34,13,24,20,20,35,1,35,21,9,32,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,1,76.0,61.0,42.0,58.0,1.0,0.5714285714285714,0.543859649122807,0.782608695652174,0.625,0.5849056603773585,0.4594594594594595,0.3611111111111111,0.5106382978723404,0.3333333333333333,0.5714285714285714,0.4605263157894737,1.0,0.4605263157894737,0.3442622950819672,0.2142857142857142,0.5517241379310345,3,4,1,4,5,4,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.0454545454545454,0.050632911392405,0.0588235294117647,0.0,0.0,0.0952380952380952,0.3333333333333333,0.0481927710843373,0.0,23,-1.0,99.0,4.304347826086956,-1.1,113.5,4.934782608695652
11,12,12,2022-11-09,34-090,BRK,,NYK,W (+27),0,8:52,0.0,3.0,.000,0.0,2.0,.000,0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.1,0,1.0,0.0,0.0,1,24,31,18,30,31,34,13,24,20,20,35,1,35,21,9,32,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,1,76.0,61.0,42.0,58.0,1.0,0.5714285714285714,0.543859649122807,0.782608695652174,0.625,0.5849056603773585,0.4594594594594595,0.3611111111111111,0.5106382978723404,0.3333333333333333,0.5714285714285714,0.4605263157894737,1.0,0.4605263157894737,0.3442622950819672,0.2142857142857142,0.5517241379310345,3,4,1,4,5,4,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.0454545454545454,0.050632911392405,0.0588235294117647,0.0,0.0,0.0952380952380952,0.3333333333333333,0.0481927710843373,0.0,23,-1.0,108.0,4.695652173913044,-1.0999999999999996,106.49999999999996,4.630434782608694
12,13,13,2022-11-12,34-093,BRK,@,LAC,W (+15),0,11:33,2.0,5.0,.400,2.0,4.0,.500,0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,4.7,-3,1.0,0.0,0.0,1,24,31,18,30,31,34,13,24,20,20,35,1,35,21,9,32,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,1,76.0,61.0,42.0,58.0,1.0,0.5714285714285714,0.543859649122807,0.782608695652174,0.625,0.5849056603773585,0.4594594594594595,0.3611111111111111,0.5106382978723404,0.3333333333333333,0.5714285714285714,0.4605263157894737,1.0,0.4605263157894737,0.3442622950819672,0.2142857142857142,0.5517241379310345,3,4,1,4,5,4,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.0454545454545454,0.050632911392405,0.0588235294117647,0.0,0.0,0.0952380952380952,0.3333333333333333,0.0481927710843373,0.0,23,3.0,87.0,3.782608695652174,4.699999999999999,104.0,4.521739130434782
13,14,14,2022-11-13,34-094,BRK,@,LAL,L (-13),0,12:56,1.0,6.0,.167,0.0,4.0,.000,0,0.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.6,-17,2.0,1.0,0.5,1,24,31,18,30,31,34,13,24,20,20,35,1,35,21,9,32,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,1,76.0,61.0,42.0,58.0,1.0,0.5714285714285714,0.543859649122807,0.782608695652174,0.625,0.5849056603773585,0.4594594594594595,0.3611111111111111,0.5106382978723404,0.3333333333333333,0.5714285714285714,0.4605263157894737,1.0,0.4605263157894737,0.3442622950819672,0.2142857142857142,0.5517241379310345,3,4,1,4,5,4,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.0454545454545454,0.050632911392405,0.0588235294117647,0.0,0.0,0.0952380952380952,0.3333333333333333,0.0481927710843373,0.0,23,-1.0,81.0,3.5217391304347827,0.6000000000000005,92.89999999999998,4.039130434782607
14,15,15,2022-11-15,34-096,BRK,@,SAC,L (-32),0,4:07,1.0,1.0,1.000,1.0,1.0,1.000,0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,0,0.0,0.0,,1,24,31,18,30,31,34,13,24,20,20,35,1,35,21,9,32,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,1,76.0,61.0,42.0,58.0,1.0,0.5714285714285714,0.543859649122807,0.782608695652174,0.625,0.5849056603773585,0.4594594594594595,0.3611111111111111,0.5106382978723404,0.3333333333333333,0.5714285714285714,0.4605263157894737,1.0,0.4605263157894737,0.3442622950819672,0.2142857142857142,0.5517241379310345,3,4,1,4,5,4,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.0454545454545454,0.050632911392405,0.0588235294117647,0.0,0.0,0.0952380952380952,0.3333333333333333,0.0481927710843373,0.0,23,5.0,79.0,3.4347826086956523,4.0,99.3,4.317391304347826
15,16,16,2022-11-17,34-098,BRK,@,POR,W (+2),0,3:42,1.0,2.0,.500,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,2.4,-3,1.0,1.0,1.0,1,24,31,18,30,31,34,13,24,20,20,35,1,35,21,9,32,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,1,76.0,61.0,42.0,58.0,1.0,0.5714285714285714,0.543859649122807,0.782608695652174,0.625,0.5849056603773585,0.4594594594594595,0.3611111111111111,0.5106382978723404,0.3333333333333333,0.5714285714285714,0.4605263157894737,1.0,0.4605263157894737,0.3442622950819672,0.2142857142857142,0.5517241379310345,3,4,1,4,5,4,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.0454545454545454,0.050632911392405,0.0588235294117647,0.0,0.0,0.0952380952380952,0.3333333333333333,0.0481927710843373,0.0,23,2.0,89.0,3.869565217391304,2.4,82.19999999999999,3.57391304347826
16,17,17,2022-11-20,34-101,BRK,,MEM,W (+12),0,6:22,2.0,2.0,1.000,0.0,0.0,,0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,3.4,+6,2.0,2.0,1.0,1,24,31,18,30,31,34,13,24,20,20,35,1,35,21,9,32,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,1,76.0,61.0,42.0,58.0,1.0,0.5714285714285714,0.543859649122807,0.782608695652174,0.625,0.5849056603773585,0.4594594594594595,0.3611111111111111,0.5106382978723404,0.3333333333333333,0.5714285714285714,0.4605263157894737,1.0,0.4605263157894737,0.3442622950819672,0.2142857142857142,0.5517241379310345,3,4,1,4,5,4,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.0454545454545454,0.050632911392405,0.0588235294117647,0.0,0.0,0.0952380952380952,0.3333333333333333,0.0481927710843373,0.0,23,3.0,115.0,5.0,3.4000000000000004,114.2,4.965217391304348
17,18,18,2022-11-22,34-103,BRK,@,PHI,L (-9),0,13:15,1.0,3.0,.333,1.0,3.0,.333,0,0.0,,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,3.0,2.6,0,0.0,0.0,,1,24,31,18,30,31,34,13,24,20,20,35,1,35,21,9,32,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,1,76.0,61.0,42.0,58.0,1.0,0.5714285714285714,0.543859649122807,0.782608695652174,0.625,0.5849056603773585,0.4594594594594595,0.3611111111111111,0.5106382978723404,0.3333333333333333,0.5714285714285714,0.4605263157894737,1.0,0.4605263157894737,0.3442622950819672,0.2142857142857142,0.5517241379310345,3,4,1,4,5,4,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.0454545454545454,0.050632911392405,0.0588235294117647,0.0,0.0,0.0952380952380952,0.3333333333333333,0.0481927710843373,0.0,23,3.0,77.0,3.347826086956522,2.6000000000000005,83.19999999999999,3.6173913043478256
18,19,19,2022-11-23,34-104,BRK,@,TOR,W (+14),0,6:24,0.0,2.0,.000,0.0,2.0,.000,0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.4,-11,0.0,0.0,,1,24,31,18,30,31,34,13,24,20,20,35,1,35,21,9,32,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,1,76.0,61.0,42.0,58.0,1.0,0.5714285714285714,0.543859649122807,0.782608695652174,0.625,0.5849056603773585,0.4594594594594595,0.3611111111111111,0.5106382978723404,0.3333333333333333,0.5714285714285714,0.4605263157894737,1.0,0.4605263157894737,0.3442622950819672,0.2142857142857142,0.5517241379310345,3,4,1,4,5,4,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.0454545454545454,0.050632911392405,0.0588235294117647,0.0,0.0,0.0952380952380952,0.3333333333333333,0.0481927710843373,0.0,23,-1.0,101.0,4.391304347826087,-1.4,114.60000000000002,4.982608695652175
19,20,20,2022-11-25,34-106,BRK,@,IND,L (-11),0,5:05,1.0,1.0,1.000,1.0,1.0,1.000,0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,3.0,2.7,-3,0.0,0.0,,1,24,31,18,30,31,34,13,24,20,20,35,1,35,21,9,32,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,1,76.0,61.0,42.0,58.0,1.0,0.5714285714285714,0.543859649122807,0.782608695652174,0.625,0.5849056603773585,0.4594594594594595,0.3611111111111111,0.5106382978723404,0.3333333333333333,0.5714285714285714,0.4605263157894737,1.0,0.4605263157894737,0.3442622950819672,0.2142857142857142,0.5517241379310345,3,4,1,4,5,4,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.0454545454545454,0.050632911392405,0.0588235294117647,0.0,0.0,0.0952380952380952,0.3333333333333333,0.0481927710843373,0.0,23,3.0,74.0,3.217391304347826,2.7,74.9,3.256521739130435
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,1,24,31,18,30,31,34,13,24,20,20,35,1,35,21,9,32,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,1,76.0,61.0,42.0,58.0,1.0,0.5714285714285714,0.543859649122807,0.782608695652174,0.625,0.5849056603773585,0.4594594594594595,0.3611111111111111,0.5106382978723404,0.3333333333333333,0.5714285714285714,0.4605263157894737,1.0,0.4605263157894737,0.3442622950819672,0.2142857142857142,0.5517241379310345,3,4,1,4,5,4,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.0454545454545454,0.050632911392405,0.0588235294117647,0.0,0.0,0.0952380952380952,0.3333333333333333,0.0481927710843373,0.0,23,,0.0,0.0,0.0,0.0,0.0
21,21,,2022-11-27,34-108,BRK,,POR,W (+14),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,24,31,18,30,31,34,13,24,20,20,35,1,35,21,9,32,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,1,76.0,61.0,42.0,58.0,1.0,0.5714285714285714,0.543859649122807,0.782608695652174,0.625,0.5849056603773585,0.4594594594594595,0.3611111111111111,0.5106382978723404,0.3333333333333333,0.5714285714285714,0.4605263157894737,1.0,0.4605263157894737,0.3442622950819672,0.2142857142857142,0.5517241379310345,3,4,1,4,5,4,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.0454545454545454,0.050632911392405,0.0588235294117647,0.0,0.0,0.0952380952380952,0.3333333333333333,0.0481927710843373,0.0,23,,58.0,2.5217391304347827,0.0,64.7,2.8130434782608695
22,22,,2022-11-28,34-109,BRK,,ORL,W (+7),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,24,31,18,30,31,34,13,24,20,20,35,1,35,21,9,32,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,1,76.0,61.0,42.0,58.0,1.0,0.5714285714285714,0.543859649122807,0.782608695652174,0.625,0.5849056603773585,0.4594594594594595,0.3611111111111111,0.5106382978723404,0.3333333333333333,0.5714285714285714,0.4605263157894737,1.0,0.4605263157894737,0.3442622950819672,0.2142857142857142,0.5517241379310345,3,4,1,4,5,4,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.0454545454545454,0.050632911392405,0.0588235294117647,0.0,0.0,0.0952380952380952,0.3333333333333333,0.0481927710843373,0.0,23,,71.0,3.0869565217391304,0.0,65.89999999999999,2.8652173913043475
