Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Ben Simmons,Shared Games with Cam Thomas,Shared Games with David Duke Jr.,Shared Games with Day'Ron Sharpe,Shared Games with Edmond Sumner,Shared Games with Joe Harris,Shared Games with Kessler Edwards,Shared Games with Kevin Durant,Shared Games with Kyrie Irving,Shared Games with Markieff Morris,Shared Games with Patty Mills,Shared Games with RaiQuan Gray,Shared Games with Royce O'Neale,Shared Games with Seth Curry,Shared Games with T.J. Warren,Shared Games with Yuta Watanabe,Alondes Williams,Ben Simmons,Cam Thomas,David Duke Jr.,Day'Ron Sharpe,Edmond Sumner,Joe Harris,Kessler Edwards,Kevin Durant,Kyrie Irving,Markieff Morris,Patty Mills,RaiQuan Gray,Royce O'Neale,Seth Curry,T.J. Warren,Yuta Watanabe,co_inf with Alondes Williams,co_inf with Ben Simmons,co_inf with Cam Thomas,co_inf with David Duke Jr.,co_inf with Day'Ron Sharpe,co_inf with Edmond Sumner,co_inf with Joe Harris,co_inf with Kessler Edwards,co_inf with Kevin Durant,co_inf with Kyrie Irving,co_inf with Markieff Morris,co_inf with Patty Mills,co_inf with RaiQuan Gray,co_inf with Royce O'Neale,co_inf with Seth Curry,co_inf with T.J. Warren,co_inf with Yuta Watanabe,Shared Games with Dorian Finney-Smith,Shared Games with Spencer Dinwiddie,Shared Games with Nerlens Noel,Shared Games with Moses Brown,Shared Games with Cameron Johnson,Shared Games with Dru Smith,Shared Games with Mikal Bridges,Bogdan Bogdanović,Cameron Johnson,Dorian Finney-Smith,Dru Smith,Mikal Bridges,Moses Brown,Nerlens Noel,Payton Pritchard,Spencer Dinwiddie,co_inf with Dorian Finney-Smith,co_inf with Spencer Dinwiddie,co_inf with Nerlens Noel,co_inf with Moses Brown,co_inf with Bogdan Bogdanović,co_inf with Cameron Johnson,co_inf with Dru Smith,co_inf with Mikal Bridges,co_inf with Payton Pritchard,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,11,2022-11-07,23-204,BRK,@,DAL,L (-2),1,31:56,5.0,8.0,.625,0.0,0.0,,0,0.0,,7.0,7.0,14.0,1.0,3.0,1.0,2.0,4.0,10.0,14.2,+5,8.0,5.0,0.625,39,52,19,42,50,70,12,37,38,25,35,1,73,58,25,53,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.9285714285714286,0.912280701754386,0.8260869565217391,0.875,0.9433962264150944,0.945945945945946,0.3333333333333333,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.875,1.0,0.9605263157894736,0.9508196721311476,0.5952380952380952,0.913793103448276,24,23,2,2,22,9,23,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3636363636363636,0.2911392405063291,0.1176470588235294,0.0555555555555555,0.0,0.5238095238095238,0.6,0.2771084337349397,0.0,23,19.0,79.0,3.4347826086956523,14.199999999999996,98.2,4.269565217391304
11,12,12,2022-11-09,23-206,BRK,,NYK,W (+27),1,19:31,5.0,7.0,.714,0.0,0.0,,2,5.0,.400,1.0,5.0,6.0,2.0,0.0,1.0,2.0,4.0,12.0,8.6,+14,7.0,5.0,0.7142857142857143,39,52,19,42,50,70,12,37,38,25,35,1,73,58,25,53,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.9285714285714286,0.912280701754386,0.8260869565217391,0.875,0.9433962264150944,0.945945945945946,0.3333333333333333,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.875,1.0,0.9605263157894736,0.9508196721311476,0.5952380952380952,0.913793103448276,24,23,2,2,22,9,23,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3636363636363636,0.2911392405063291,0.1176470588235294,0.0555555555555555,0.0,0.5238095238095238,0.6,0.2771084337349397,0.0,23,7.0,100.0,4.3478260869565215,7.799999999999999,97.59999999999998,4.243478260869565
12,13,13,2022-11-12,23-209,BRK,@,LAC,W (+15),1,31:46,6.0,9.0,.667,0.0,0.0,,1,5.0,.200,2.0,12.0,14.0,2.0,1.0,3.0,0.0,1.0,13.0,16.6,+14,9.0,6.0,0.6666666666666666,39,52,19,42,50,70,12,37,38,25,35,1,73,58,25,53,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.9285714285714286,0.912280701754386,0.8260869565217391,0.875,0.9433962264150944,0.945945945945946,0.3333333333333333,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.875,1.0,0.9605263157894736,0.9508196721311476,0.5952380952380952,0.913793103448276,24,23,2,2,22,9,23,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3636363636363636,0.2911392405063291,0.1176470588235294,0.0555555555555555,0.0,0.5238095238095238,0.6,0.2771084337349397,0.0,23,19.0,71.0,3.0869565217391304,16.2,92.5,4.021739130434782
13,14,14,2022-11-13,23-210,BRK,@,LAL,L (-13),1,15:51,4.0,4.0,1.000,0.0,0.0,,0,2.0,.000,2.0,3.0,5.0,0.0,0.0,0.0,1.0,2.0,8.0,6.5,-16,4.0,4.0,1.0,39,52,19,42,50,70,12,37,38,25,35,1,73,58,25,53,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.9285714285714286,0.912280701754386,0.8260869565217391,0.875,0.9433962264150944,0.945945945945946,0.3333333333333333,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.875,1.0,0.9605263157894736,0.9508196721311476,0.5952380952380952,0.913793103448276,24,23,2,2,22,9,23,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3636363636363636,0.2911392405063291,0.1176470588235294,0.0555555555555555,0.0,0.5238095238095238,0.6,0.2771084337349397,0.0,23,6.0,74.0,3.217391304347826,6.500000000000001,86.99999999999999,3.7826086956521734
14,15,15,2022-11-15,23-212,BRK,@,SAC,L (-32),1,17:54,3.0,5.0,.600,0.0,0.0,,0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,6.0,2.5,-30,5.0,3.0,0.6,39,52,19,42,50,70,12,37,38,25,35,1,73,58,25,53,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.9285714285714286,0.912280701754386,0.8260869565217391,0.875,0.9433962264150944,0.945945945945946,0.3333333333333333,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.875,1.0,0.9605263157894736,0.9508196721311476,0.5952380952380952,0.913793103448276,24,23,2,2,22,9,23,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3636363636363636,0.2911392405063291,0.1176470588235294,0.0555555555555555,0.0,0.5238095238095238,0.6,0.2771084337349397,0.0,23,2.0,82.0,3.565217391304348,2.499999999999999,100.8,4.3826086956521735
15,16,16,2022-11-17,23-214,BRK,@,POR,W (+2),1,25:20,5.0,8.0,.625,0.0,0.0,,1,2.0,.500,1.0,4.0,5.0,2.0,2.0,0.0,1.0,3.0,11.0,10.1,-16,8.0,5.0,0.625,39,52,19,42,50,70,12,37,38,25,35,1,73,58,25,53,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.9285714285714286,0.912280701754386,0.8260869565217391,0.875,0.9433962264150944,0.945945945945946,0.3333333333333333,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.875,1.0,0.9605263157894736,0.9508196721311476,0.5952380952380952,0.913793103448276,24,23,2,2,22,9,23,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3636363636363636,0.2911392405063291,0.1176470588235294,0.0555555555555555,0.0,0.5238095238095238,0.6,0.2771084337349397,0.0,23,9.0,82.0,3.565217391304348,9.699999999999996,74.89999999999999,3.2565217391304344
16,17,,2022-11-20,23-217,BRK,,MEM,W (+12),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,39,52,19,42,50,70,12,37,38,25,35,1,73,58,25,53,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.9285714285714286,0.912280701754386,0.8260869565217391,0.875,0.9433962264150944,0.945945945945946,0.3333333333333333,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.875,1.0,0.9605263157894736,0.9508196721311476,0.5952380952380952,0.913793103448276,24,23,2,2,22,9,23,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3636363636363636,0.2911392405063291,0.1176470588235294,0.0555555555555555,0.0,0.5238095238095238,0.6,0.2771084337349397,0.0,23,,118.0,5.130434782608695,0.0,117.6,5.113043478260869
17,18,17,2022-11-22,23-219,BRK,@,PHI,L (-9),1,21:16,6.0,7.0,.857,0.0,0.0,,0,0.0,,0.0,4.0,4.0,0.0,0.0,3.0,0.0,3.0,12.0,11.6,+1,7.0,6.0,0.8571428571428571,39,52,19,42,50,70,12,37,38,25,35,1,73,58,25,53,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.9285714285714286,0.912280701754386,0.8260869565217391,0.875,0.9433962264150944,0.945945945945946,0.3333333333333333,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.875,1.0,0.9605263157894736,0.9508196721311476,0.5952380952380952,0.913793103448276,24,23,2,2,22,9,23,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3636363636363636,0.2911392405063291,0.1176470588235294,0.0555555555555555,0.0,0.5238095238095238,0.6,0.2771084337349397,0.0,23,12.0,68.0,2.9565217391304346,11.6,74.19999999999999,3.2260869565217387
18,19,18,2022-11-23,23-220,BRK,@,TOR,W (+14),1,30:16,6.0,7.0,.857,0.0,0.0,,2,2.0,1.000,4.0,8.0,12.0,3.0,1.0,4.0,4.0,2.0,14.0,17.8,+24,7.0,6.0,0.8571428571428571,39,52,19,42,50,70,12,37,38,25,35,1,73,58,25,53,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.9285714285714286,0.912280701754386,0.8260869565217391,0.875,0.9433962264150944,0.945945945945946,0.3333333333333333,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.875,1.0,0.9605263157894736,0.9508196721311476,0.5952380952380952,0.913793103448276,24,23,2,2,22,9,23,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3636363636363636,0.2911392405063291,0.1176470588235294,0.0555555555555555,0.0,0.5238095238095238,0.6,0.2771084337349397,0.0,23,21.0,79.0,3.4347826086956523,16.999999999999996,96.20000000000002,4.182608695652175
19,20,19,2022-11-25,23-222,BRK,@,IND,L (-11),1,28:04,6.0,6.0,1.000,0.0,0.0,,0,0.0,,2.0,9.0,11.0,1.0,0.0,5.0,1.0,5.0,12.0,15.5,-21,6.0,6.0,1.0,39,52,19,42,50,70,12,37,38,25,35,1,73,58,25,53,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.9285714285714286,0.912280701754386,0.8260869565217391,0.875,0.9433962264150944,0.945945945945946,0.3333333333333333,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.875,1.0,0.9605263157894736,0.9508196721311476,0.5952380952380952,0.913793103448276,24,23,2,2,22,9,23,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3636363636363636,0.2911392405063291,0.1176470588235294,0.0555555555555555,0.0,0.5238095238095238,0.6,0.2771084337349397,0.0,23,22.0,55.0,2.391304347826087,15.5,62.10000000000001,2.7
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,39,52,19,42,50,70,12,37,38,25,35,1,73,58,25,53,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.9285714285714286,0.912280701754386,0.8260869565217391,0.875,0.9433962264150944,0.945945945945946,0.3333333333333333,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.875,1.0,0.9605263157894736,0.9508196721311476,0.5952380952380952,0.913793103448276,24,23,2,2,22,9,23,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3636363636363636,0.2911392405063291,0.1176470588235294,0.0555555555555555,0.0,0.5238095238095238,0.6,0.2771084337349397,0.0,23,,0.0,0.0,0.0,0.0,0.0
21,21,20,2022-11-27,23-224,BRK,,POR,W (+14),1,31:45,4.0,6.0,.667,0.0,0.0,,4,6.0,.667,2.0,5.0,7.0,2.0,2.0,1.0,2.0,3.0,12.0,12.4,+12,6.0,4.0,0.6666666666666666,39,52,19,42,50,70,12,37,38,25,35,1,73,58,25,53,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.9285714285714286,0.912280701754386,0.8260869565217391,0.875,0.9433962264150944,0.945945945945946,0.3333333333333333,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.875,1.0,0.9605263157894736,0.9508196721311476,0.5952380952380952,0.913793103448276,24,23,2,2,22,9,23,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3636363636363636,0.2911392405063291,0.1176470588235294,0.0555555555555555,0.0,0.5238095238095238,0.6,0.2771084337349397,0.0,23,10.0,48.0,2.0869565217391304,10.799999999999995,53.9,2.3434782608695652
22,22,21,2022-11-28,23-225,BRK,,ORL,W (+7),1,36:20,7.0,10.0,.700,0.0,0.0,,3,5.0,.600,5.0,8.0,13.0,1.0,0.0,3.0,1.0,4.0,17.0,18.1,-3,10.0,7.0,0.7,39,52,19,42,50,70,12,37,38,25,35,1,73,58,25,53,1.0,42.0,57.0,23.0,48.0,53.0,74.0,36.0,47.0,60.0,35.0,40.0,1,76.0,61.0,42.0,58.0,0.0,0.9285714285714286,0.912280701754386,0.8260869565217391,0.875,0.9433962264150944,0.945945945945946,0.3333333333333333,0.7872340425531915,0.6333333333333333,0.7142857142857143,0.875,1.0,0.9605263157894736,0.9508196721311476,0.5952380952380952,0.913793103448276,24,23,2,2,22,9,23,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.3636363636363636,0.2911392405063291,0.1176470588235294,0.0555555555555555,0.0,0.5238095238095238,0.6,0.2771084337349397,0.0,23,18.0,53.0,2.3043478260869565,16.9,48.99999999999999,2.1304347826086953
