Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anfernee Simons,Shared Games with Damian Lillard,Shared Games with Drew Eubanks,Shared Games with Gary Payton II,Shared Games with Greg Brown III,Shared Games with Jeenathan Williams,Shared Games with Jerami Grant,Shared Games with John Butler,Shared Games with Josh Hart,Shared Games with Justin Minaya,Shared Games with Justise Winslow,Shared Games with Jusuf Nurkić,Shared Games with Keon Johnson,Shared Games with Nassir Little,Shared Games with Shaedon Sharpe,Shared Games with Skylar Mays,Shared Games with Trendon Watford,Anfernee Simons,Chance Comanche,Damian Lillard,Drew Eubanks,Gary Payton II,Greg Brown III,Jeenathan Williams,Jerami Grant,John Butler,Josh Hart,Justin Minaya,Justise Winslow,Jusuf Nurkić,Keon Johnson,Nassir Little,Olivier Sarr,Shaedon Sharpe,Shaquille Harrison,Skylar Mays,Trendon Watford,co_inf with Anfernee Simons,co_inf with Chance Comanche,co_inf with Damian Lillard,co_inf with Drew Eubanks,co_inf with Gary Payton II,co_inf with Greg Brown III,co_inf with Jeenathan Williams,co_inf with Jerami Grant,co_inf with John Butler,co_inf with Josh Hart,co_inf with Justin Minaya,co_inf with Justise Winslow,co_inf with Jusuf Nurkić,co_inf with Keon Johnson,co_inf with Nassir Little,co_inf with Olivier Sarr,co_inf with Shaedon Sharpe,co_inf with Shaquille Harrison,co_inf with Skylar Mays,co_inf with Trendon Watford,Shared Games with Kevin Knox,Shared Games with Cam Reddish,Shared Games with Matisse Thybulle,Shared Games with Ryan Arcidiacono,Cam Reddish,Jayson Tatum,Kevin Knox,Matisse Thybulle,Ryan Arcidiacono,co_inf with Kevin Knox,co_inf with Cam Reddish,co_inf with Jayson Tatum,co_inf with Matisse Thybulle,co_inf with Ryan Arcidiacono,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,6,2022-11-09,20-102,POR,@,CHO,W (+10),0,17:34,2.0,3.0,.667,1.0,2.0,.500,0,0.0,,1.0,2.0,3.0,2.0,0.0,0.0,1.0,3.0,5.0,4.2,+22,1.0,1.0,1.0,39,36,53,11,16,2,39,12,31,1,15,31,34,34,54,3,44,62.0,1,58.0,78.0,22.0,16.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.6290322580645161,0.0,0.6206896551724138,0.6794871794871795,0.5,1.0,0.4,0.6190476190476191,0.631578947368421,0.4078947368421052,0.25,0.5172413793103449,0.5961538461538461,0.85,0.6296296296296297,0.0,0.675,0.0,0.5,0.7096774193548387,16,14,16,8,40.0,74.0,63.0,71.0,20.0,0.2539682539682539,0.35,0.0,0.2253521126760563,0.4,21,6.0,67.0,3.1904761904761907,4.2,68.6,3.2666666666666666
11,12,7,2022-11-10,20-103,POR,@,NOP,W (+11),0,8:11,2.0,4.0,.500,0.0,2.0,.000,0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,1.6,-5,2.0,2.0,1.0,39,36,53,11,16,2,39,12,31,1,15,31,34,34,54,3,44,62.0,1,58.0,78.0,22.0,16.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.6290322580645161,0.0,0.6206896551724138,0.6794871794871795,0.5,1.0,0.4,0.6190476190476191,0.631578947368421,0.4078947368421052,0.25,0.5172413793103449,0.5961538461538461,0.85,0.6296296296296297,0.0,0.675,0.0,0.5,0.7096774193548387,16,14,16,8,40.0,74.0,63.0,71.0,20.0,0.2539682539682539,0.35,0.0,0.2253521126760563,0.4,21,1.0,68.0,3.238095238095238,1.5999999999999996,65.3,3.1095238095238096
12,13,8,2022-11-12,20-105,POR,@,DAL,L (-5),0,8:01,1.0,2.0,.500,0.0,0.0,,3,4.0,.750,2.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,5.0,6.3,-2,2.0,1.0,0.5,39,36,53,11,16,2,39,12,31,1,15,31,34,34,54,3,44,62.0,1,58.0,78.0,22.0,16.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.6290322580645161,0.0,0.6206896551724138,0.6794871794871795,0.5,1.0,0.4,0.6190476190476191,0.631578947368421,0.4078947368421052,0.25,0.5172413793103449,0.5961538461538461,0.85,0.6296296296296297,0.0,0.675,0.0,0.5,0.7096774193548387,16,14,16,8,40.0,74.0,63.0,71.0,20.0,0.2539682539682539,0.35,0.0,0.2253521126760563,0.4,21,4.0,86.0,4.095238095238095,5.1,95.4,4.542857142857143
13,14,,2022-11-15,20-108,POR,,SAS,W (+7),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,39,36,53,11,16,2,39,12,31,1,15,31,34,34,54,3,44,62.0,1,58.0,78.0,22.0,16.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.6290322580645161,0.0,0.6206896551724138,0.6794871794871795,0.5,1.0,0.4,0.6190476190476191,0.631578947368421,0.4078947368421052,0.25,0.5172413793103449,0.5961538461538461,0.85,0.6296296296296297,0.0,0.675,0.0,0.5,0.7096774193548387,16,14,16,8,40.0,74.0,63.0,71.0,20.0,0.2539682539682539,0.35,0.0,0.2253521126760563,0.4,21,,81.0,3.857142857142857,0.0,95.4,4.542857142857143
14,15,,2022-11-17,20-110,POR,,BRK,L (-2),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,39,36,53,11,16,2,39,12,31,1,15,31,34,34,54,3,44,62.0,1,58.0,78.0,22.0,16.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.6290322580645161,0.0,0.6206896551724138,0.6794871794871795,0.5,1.0,0.4,0.6190476190476191,0.631578947368421,0.4078947368421052,0.25,0.5172413793103449,0.5961538461538461,0.85,0.6296296296296297,0.0,0.675,0.0,0.5,0.7096774193548387,16,14,16,8,40.0,74.0,63.0,71.0,20.0,0.2539682539682539,0.35,0.0,0.2253521126760563,0.4,21,,58.0,2.761904761904762,0.0,69.5,3.3095238095238093
15,16,,2022-11-19,20-112,POR,,UTA,L (-5),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,39,36,53,11,16,2,39,12,31,1,15,31,34,34,54,3,44,62.0,1,58.0,78.0,22.0,16.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.6290322580645161,0.0,0.6206896551724138,0.6794871794871795,0.5,1.0,0.4,0.6190476190476191,0.631578947368421,0.4078947368421052,0.25,0.5172413793103449,0.5961538461538461,0.85,0.6296296296296297,0.0,0.675,0.0,0.5,0.7096774193548387,16,14,16,8,40.0,74.0,63.0,71.0,20.0,0.2539682539682539,0.35,0.0,0.2253521126760563,0.4,21,,77.0,3.6666666666666665,0.0,81.9,3.9000000000000004
16,17,9,2022-11-21,20-114,POR,@,MIL,L (-8),0,1:23,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,+6,0.0,0.0,,39,36,53,11,16,2,39,12,31,1,15,31,34,34,54,3,44,62.0,1,58.0,78.0,22.0,16.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.6290322580645161,0.0,0.6206896551724138,0.6794871794871795,0.5,1.0,0.4,0.6190476190476191,0.631578947368421,0.4078947368421052,0.25,0.5172413793103449,0.5961538461538461,0.85,0.6296296296296297,0.0,0.675,0.0,0.5,0.7096774193548387,16,14,16,8,40.0,74.0,63.0,71.0,20.0,0.2539682539682539,0.35,0.0,0.2253521126760563,0.4,21,1.0,49.0,2.333333333333333,0.7,54.89999999999999,2.614285714285714
17,18,10,2022-11-23,20-116,POR,@,CLE,L (-18),0,2:42,0.0,1.0,.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-3,1.0,0.0,0.0,39,36,53,11,16,2,39,12,31,1,15,31,34,34,54,3,44,62.0,1,58.0,78.0,22.0,16.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.6290322580645161,0.0,0.6206896551724138,0.6794871794871795,0.5,1.0,0.4,0.6190476190476191,0.631578947368421,0.4078947368421052,0.25,0.5172413793103449,0.5961538461538461,0.85,0.6296296296296297,0.0,0.675,0.0,0.5,0.7096774193548387,16,14,16,8,40.0,74.0,63.0,71.0,20.0,0.2539682539682539,0.35,0.0,0.2253521126760563,0.4,21,-1.0,77.0,3.6666666666666665,-0.7,71.39999999999999,3.3999999999999995
18,19,,2022-11-25,20-118,POR,@,NYK,W (+3),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,39,36,53,11,16,2,39,12,31,1,15,31,34,34,54,3,44,62.0,1,58.0,78.0,22.0,16.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.6290322580645161,0.0,0.6206896551724138,0.6794871794871795,0.5,1.0,0.4,0.6190476190476191,0.631578947368421,0.4078947368421052,0.25,0.5172413793103449,0.5961538461538461,0.85,0.6296296296296297,0.0,0.675,0.0,0.5,0.7096774193548387,16,14,16,8,40.0,74.0,63.0,71.0,20.0,0.2539682539682539,0.35,0.0,0.2253521126760563,0.4,21,,71.0,3.380952380952381,0.0,91.7,4.366666666666667
19,20,,2022-11-27,20-120,POR,@,BRK,L (-14),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,39,36,53,11,16,2,39,12,31,1,15,31,34,34,54,3,44,62.0,1,58.0,78.0,22.0,16.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.6290322580645161,0.0,0.6206896551724138,0.6794871794871795,0.5,1.0,0.4,0.6190476190476191,0.631578947368421,0.4078947368421052,0.25,0.5172413793103449,0.5961538461538461,0.85,0.6296296296296297,0.0,0.675,0.0,0.5,0.7096774193548387,16,14,16,8,40.0,74.0,63.0,71.0,20.0,0.2539682539682539,0.35,0.0,0.2253521126760563,0.4,21,,66.0,3.142857142857143,0.0,84.39999999999999,4.019047619047619
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,39,36,53,11,16,2,39,12,31,1,15,31,34,34,54,3,44,62.0,1,58.0,78.0,22.0,16.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.6290322580645161,0.0,0.6206896551724138,0.6794871794871795,0.5,1.0,0.4,0.6190476190476191,0.631578947368421,0.4078947368421052,0.25,0.5172413793103449,0.5961538461538461,0.85,0.6296296296296297,0.0,0.675,0.0,0.5,0.7096774193548387,16,14,16,8,40.0,74.0,63.0,71.0,20.0,0.2539682539682539,0.35,0.0,0.2253521126760563,0.4,21,,0.0,0.0,0.0,0.0,0.0
21,21,,2022-11-29,20-122,POR,,LAC,L (-6),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,39,36,53,11,16,2,39,12,31,1,15,31,34,34,54,3,44,62.0,1,58.0,78.0,22.0,16.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.6290322580645161,0.0,0.6206896551724138,0.6794871794871795,0.5,1.0,0.4,0.6190476190476191,0.631578947368421,0.4078947368421052,0.25,0.5172413793103449,0.5961538461538461,0.85,0.6296296296296297,0.0,0.675,0.0,0.5,0.7096774193548387,16,14,16,8,40.0,74.0,63.0,71.0,20.0,0.2539682539682539,0.35,0.0,0.2253521126760563,0.4,21,,87.0,4.142857142857143,0.0,85.3,4.061904761904762
22,22,11,2022-11-30,20-123,POR,@,LAL,L (-19),0,14:29,1.0,4.0,.250,0.0,1.0,.000,0,0.0,,1.0,4.0,5.0,0.0,0.0,0.0,1.0,4.0,2.0,-1.1,-7,3.0,1.0,0.3333333333333333,39,36,53,11,16,2,39,12,31,1,15,31,34,34,54,3,44,62.0,1,58.0,78.0,22.0,16.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.6290322580645161,0.0,0.6206896551724138,0.6794871794871795,0.5,1.0,0.4,0.6190476190476191,0.631578947368421,0.4078947368421052,0.25,0.5172413793103449,0.5961538461538461,0.85,0.6296296296296297,0.0,0.675,0.0,0.5,0.7096774193548387,16,14,16,8,40.0,74.0,63.0,71.0,20.0,0.2539682539682539,0.35,0.0,0.2253521126760563,0.4,21,2.0,90.0,4.285714285714286,-1.1,78.10000000000002,3.71904761904762
23,23,12,2022-12-03,20-126,POR,@,UTA,W (+5),0,12:50,0.0,4.0,.000,0.0,2.0,.000,0,0.0,,1.0,3.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,-1.9,+12,2.0,0.0,0.0,39,36,53,11,16,2,39,12,31,1,15,31,34,34,54,3,44,62.0,1,58.0,78.0,22.0,16.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.6290322580645161,0.0,0.6206896551724138,0.6794871794871795,0.5,1.0,0.4,0.6190476190476191,0.631578947368421,0.4078947368421052,0.25,0.5172413793103449,0.5961538461538461,0.85,0.6296296296296297,0.0,0.675,0.0,0.5,0.7096774193548387,16,14,16,8,40.0,74.0,63.0,71.0,20.0,0.2539682539682539,0.35,0.0,0.2253521126760563,0.4,21,0.0,63.0,3.0,-1.9,82.00000000000001,3.9047619047619055
24,24,13,2022-12-04,20-127,POR,,IND,W (+16),0,2:09,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,,39,36,53,11,16,2,39,12,31,1,15,31,34,34,54,3,44,62.0,1,58.0,78.0,22.0,16.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.6290322580645161,0.0,0.6206896551724138,0.6794871794871795,0.5,1.0,0.4,0.6190476190476191,0.631578947368421,0.4078947368421052,0.25,0.5172413793103449,0.5961538461538461,0.85,0.6296296296296297,0.0,0.675,0.0,0.5,0.7096774193548387,16,14,16,8,40.0,74.0,63.0,71.0,20.0,0.2539682539682539,0.35,0.0,0.2253521126760563,0.4,21,0.0,83.0,3.952380952380953,0.0,83.6,3.9809523809523806
25,25,,2022-12-08,20-131,POR,,DEN,L (-1),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,39,36,53,11,16,2,39,12,31,1,15,31,34,34,54,3,44,62.0,1,58.0,78.0,22.0,16.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.6290322580645161,0.0,0.6206896551724138,0.6794871794871795,0.5,1.0,0.4,0.6190476190476191,0.631578947368421,0.4078947368421052,0.25,0.5172413793103449,0.5961538461538461,0.85,0.6296296296296297,0.0,0.675,0.0,0.5,0.7096774193548387,16,14,16,8,40.0,74.0,63.0,71.0,20.0,0.2539682539682539,0.35,0.0,0.2253521126760563,0.4,21,,97.0,4.619047619047619,0.0,97.6,4.647619047619047
